dataset,kir,metric,metric_label,n_seeds,trainable_mean,trainable_std,adb_mean,adb_std,delta_mean,delta_std,ci95_low,ci95_high,trainable_wins,ties,adb_wins
banking77,0.25,oos_f1,OOS F1,5,0.9165382964914104,0.01797609026854935,0.8280055457089505,0.02279060103091537,0.08853275078245984,0.017681255841629946,0.07459510576812109,0.10303870125354449,5,0,0
banking77,0.25,f1_all,F1-All,5,0.7851015718978598,0.025622005001927704,0.6857670398342208,0.02193481907522483,0.0993345320636391,0.03256375416710321,0.0723985587112245,0.12307103482176507,5,0,0
banking77,0.25,known_recall,Known Recall,5,0.8184210526315789,0.00778431550407842,0.874736842105263,0.013171046059202345,-0.05631578947368421,0.017638451135197585,-0.06973684210526314,-0.04289473684210528,0,0,5
banking77,0.25,false_accept_rate,False Acceptance,5,0.10327586206896547,0.033607700850852316,0.26405172413793104,0.033050255844924735,-0.1607758620689656,0.027779160852078676,-0.18163793103448284,-0.14043103448275868,0,0,5
banking77,0.25,false_reject_rate,False Rejection,5,0.181578947368421,0.0077843155040784335,0.1252631578947368,0.013171046059202334,0.05631578947368422,0.017638451135197596,0.04289473684210528,0.06973684210526317,5,0,0
banking77,0.25,accuracy,Accuracy,5,0.8752597402597402,0.023364670465048167,0.7667532467532467,0.026182805395220256,0.10850649350649348,0.022703373333832374,0.09110389610389605,0.1263636363636364,5,0,0
banking77,0.5,oos_f1,OOS F1,5,0.8356406184886493,0.018251144545811386,0.7496820404988094,0.019240674290641867,0.0859585779898399,0.020411185296679905,0.07044338972413973,0.10216244336250993,5,0,0
banking77,0.5,f1_all,F1-All,5,0.8167355797722488,0.010483055215298546,0.7878720847185539,0.015286470247596303,0.028863495053694833,0.011144826009247901,0.020184252637747167,0.0375427374696425,5,0,0
banking77,0.5,known_recall,Known Recall,5,0.8221052631578948,0.0048030821706431465,0.8914473684210525,0.006693088799136797,-0.06934210526315791,0.011180339887498971,-0.0777631578947369,-0.06065789473684211,0,0,5
banking77,0.5,false_accept_rate,False Acceptance,5,0.15743589743589742,0.03434605574205228,0.33666666666666667,0.027072995295925942,-0.17923076923076925,0.03621823235650229,-0.2094871794871796,-0.15269230769230768,0,0,5
banking77,0.5,false_reject_rate,False Rejection,5,0.17789473684210524,0.004803082170643147,0.10855263157894732,0.006693088799136771,0.06934210526315789,0.011180339887498936,0.06065789473684208,0.07776315789473681,5,0,0
banking77,0.5,accuracy,Accuracy,5,0.8216883116883118,0.015263884488375887,0.7592207792207792,0.016247721274637767,0.06246753246753245,0.015167238285872676,0.0505194805194805,0.07441558441558441,5,0,0
banking77,0.75,oos_f1,OOS F1,5,0.6865343253584565,0.027084540089959898,0.662673105650599,0.02337087377019558,0.02386121970785755,0.03697585271148209,-0.004128609990758836,0.05329625238907145,3,0,2
banking77,0.75,f1_all,F1-All,5,0.8413111725848881,0.00771237040458175,0.8589122301177214,0.003517531230813837,-0.01760105753283352,0.008985378855023627,-0.024663485892855275,-0.010538629172811764,0,0,5
banking77,0.75,known_recall,Known Recall,5,0.824137931034483,0.00405493269875577,0.9035344827586208,0.0027498513634028844,-0.07939655172413793,0.004325404725621404,-0.08267241379310344,-0.07568965517241381,0,0,5
banking77,0.75,false_accept_rate,False Acceptance,5,0.19605263157894734,0.0458076189092874,0.35815789473684206,0.032141373135508876,-0.16210526315789478,0.05774801983630133,-0.2065789473684211,-0.11763157894736845,0,0,5
banking77,0.75,false_reject_rate,False Rejection,5,0.1758620689655172,0.0040549326987557735,0.09646551724137928,0.002749851363402829,0.07939655172413793,0.0043254047256213925,0.0756896551724138,0.0826724137931034,5,0,0
