dataset,kir,seed,method,n_known,n_oos,oos_precision,oos_recall,oos_f1,known_acceptance,oos_correct,oos_false_accept,known_rejected
banking77,0.2500000000,13,ADB,760,2320,0.9463276836,0.7219827586,0.8190709046,0.8750000000,1675,645,95
banking77,0.2500000000,13,Trainable-K1,760,2320,0.9404545455,0.8918103448,0.9154867257,0.8276315789,2069,251,131
banking77,0.2500000000,42,ADB,760,2320,0.9537088678,0.7370689655,0.8315098468,0.8907894737,1710,610,83
banking77,0.2500000000,42,Trainable-K1,760,2320,0.9376681614,0.9012931034,0.9191208791,0.8171052632,2091,229,139
banking77,0.2500000000,87,ADB,760,2320,0.9421023047,0.7224137931,0.8177604294,0.8644736842,1676,644,103
banking77,0.2500000000,87,Trainable-K1,760,2320,0.9378283713,0.9232758621,0.9304952215,0.8131578947,2142,178,142
banking77,0.2500000000,100,ADB,760,2320,0.9542857143,0.7918103448,0.8654888104,0.8842105263,1837,483,88
banking77,0.2500000000,100,Trainable-K1,760,2320,0.9367088608,0.9250000000,0.9308176101,0.8092105263,2146,174,145
banking77,0.2500000000,123,ADB,760,2320,0.9387170676,0.7064655172,0.8061977373,0.8592105263,1639,681,107
banking77,0.2500000000,123,Trainable-K1,760,2320,0.9362721610,0.8422413793,0.8867710461,0.8250000000,1954,366,133
banking77,0.5000000000,13,ADB,1520,1560,0.8745003997,0.7012820513,0.7783706866,0.8967105263,1094,466,157
banking77,0.5000000000,13,Trainable-K1,1520,1560,0.8290282903,0.8641025641,0.8462021343,0.8171052632,1348,212,278
banking77,0.5000000000,42,ADB,1520,1560,0.8647214854,0.6269230769,0.7268673356,0.8993421053,978,582,153
banking77,0.5000000000,42,Trainable-K1,1520,1560,0.8293897883,0.8538461538,0.8414403032,0.8197368421,1332,228,274
banking77,0.5000000000,87,ADB,1520,1560,0.8634868421,0.6730769231,0.7564841499,0.8907894737,1050,510,166
banking77,0.5000000000,87,Trainable-K1,1520,1560,0.8338405356,0.8782051282,0.8554480175,0.8203947368,1370,190,273
banking77,0.5000000000,100,ADB,1520,1560,0.8575000000,0.6596153846,0.7456521739,0.8875000000,1029,531,171
banking77,0.5000000000,100,Trainable-K1,1520,1560,0.8275418275,0.8243589744,0.8259473346,0.8236842105,1286,274,268
banking77,0.5000000000,123,ADB,1520,1560,0.8517901749,0.6557692308,0.7410358566,0.8828947368,1023,537,178
banking77,0.5000000000,123,Trainable-K1,1520,1560,0.8267558528,0.7923076923,0.8091653028,0.8296052632,1236,324,259
banking77,0.7500000000,13,ADB,2320,760,0.6935028249,0.6460526316,0.6689373297,0.9064655172,491,269,217
banking77,0.7500000000,13,Trainable-K1,2320,760,0.5878725591,0.7526315789,0.6601269475,0.8271551724,572,188,401
banking77,0.7500000000,42,ADB,2320,760,0.6925170068,0.6697368421,0.6809364548,0.9025862069,509,251,226
banking77,0.7500000000,42,Trainable-K1,2320,760,0.6255924171,0.8684210526,0.7272727273,0.8297413793,660,100,395
banking77,0.7500000000,87,ADB,2320,760,0.6602658789,0.5881578947,0.6221294363,0.9008620690,447,313,230
banking77,0.7500000000,87,Trainable-K1,2320,760,0.6034482759,0.8289473684,0.6984478936,0.8215517241,630,130,414
banking77,0.7500000000,100,ADB,2320,760,0.6921985816,0.6421052632,0.6662116041,0.9064655172,488,272,217
banking77,0.7500000000,100,Trainable-K1,2320,760,0.5937193327,0.7960526316,0.6801573918,0.8215517241,605,155,414
banking77,0.7500000000,123,ADB,2320,760,0.6875852660,0.6631578947,0.6751507033,0.9012931034,504,256,229
banking77,0.7500000000,123,Trainable-K1,2320,760,0.5856573705,0.7736842105,0.6666666667,0.8206896552,588,172,416
clinc150,0.2500000000,13,ADB,1140,4560,0.9771414218,0.8530701754,0.9109003630,0.9201754386,3890,670,91
clinc150,0.2500000000,13,Trainable-K1,1140,4560,0.9364675985,0.9697368421,0.9528118940,0.7368421053,4422,138,300
clinc150,0.2500000000,42,ADB,1140,4560,0.9769018328,0.8532894737,0.9109212221,0.9192982456,3891,669,92
clinc150,0.2500000000,42,Trainable-K1,1140,4560,0.9336452573,0.9627192982,0.9479594040,0.7263157895,4390,170,312
clinc150,0.2500000000,87,ADB,1140,4560,0.9726542900,0.8502192982,0.9073250644,0.9043859649,3877,683,109
clinc150,0.2500000000,87,Trainable-K1,1140,4560,0.9358151476,0.9592105263,0.9473684211,0.7368421053,4374,186,300
clinc150,0.2500000000,100,ADB,1140,4560,0.9730315435,0.8861842105,0.9275794789,0.9017543860,4041,519,112
clinc150,0.2500000000,100,Trainable-K1,1140,4560,0.9401923881,0.9859649123,0.9625347891,0.7491228070,4496,64,286
clinc150,0.2500000000,123,ADB,1140,4560,0.9732620321,0.8780701754,0.9232188148,0.9035087719,4004,556,110
clinc150,0.2500000000,123,Trainable-K1,1140,4560,0.9348986126,0.9605263158,0.9475392104,0.7324561404,4380,180,305
clinc150,0.5000000000,13,ADB,2250,3450,0.9370946822,0.8376811594,0.8846036119,0.9137777778,2890,560,194
clinc150,0.5000000000,13,Trainable-K1,2250,3450,0.8535276074,0.9678260870,0.9070904645,0.7453333333,3339,111,573
clinc150,0.5000000000,42,ADB,2250,3450,0.9386327504,0.8556521739,0.8952236543,0.9142222222,2952,498,193
clinc150,0.5000000000,42,Trainable-K1,2250,3450,0.8483595970,0.9518840580,0.8971451987,0.7391111111,3284,166,587
clinc150,0.5000000000,87,ADB,2250,3450,0.9309180227,0.8788405797,0.9041300134,0.9000000000,3032,418,225
clinc150,0.5000000000,87,Trainable-K1,2250,3450,0.8531806616,0.9718840580,0.9086720867,0.7435555556,3353,97,577
clinc150,0.5000000000,100,ADB,2250,3450,0.9334990677,0.8707246377,0.9010197960,0.9048888889,3004,446,214
clinc150,0.5000000000,100,Trainable-K1,2250,3450,0.8541666667,0.9626086957,0.9051512674,0.7480000000,3321,129,567
clinc150,0.5000000000,123,ADB,2250,3450,0.9342147694,0.8397101449,0.8844451229,0.9093333333,2897,553,204
clinc150,0.5000000000,123,Trainable-K1,2250,3450,0.8531000772,0.9611594203,0.9039116805,0.7462222222,3316,134,571
clinc150,0.7500000000,13,ADB,3360,2340,0.8706401766,0.8427350427,0.8564603692,0.9127976190,1972,368,293
clinc150,0.7500000000,13,Trainable-K1,3360,2340,0.7237354086,0.9538461538,0.8230088496,0.7464285714,2232,108,852
clinc150,0.7500000000,42,ADB,3360,2340,0.8713099631,0.8072649573,0.8380656610,0.9169642857,1889,451,279
clinc150,0.7500000000,42,Trainable-K1,3360,2340,0.7200512492,0.9606837607,0.8231417063,0.7398809524,2248,92,874
clinc150,0.7500000000,87,ADB,3360,2340,0.8750000000,0.8465811966,0.8605560382,0.9157738095,1981,359,283
clinc150,0.7500000000,87,Trainable-K1,3360,2340,0.7293014230,0.9636752137,0.8302650957,0.7508928571,2255,85,837
clinc150,0.7500000000,100,ADB,3360,2340,0.8746081505,0.8346153846,0.8541438880,0.9166666667,1953,387,280
clinc150,0.7500000000,100,Trainable-K1,3360,2340,0.7372574811,0.9581196581,0.8333023602,0.7622023810,2242,98,799
clinc150,0.7500000000,123,ADB,3360,2340,0.8662628145,0.7944444444,0.8288007133,0.9145833333,1859,481,287
clinc150,0.7500000000,123,Trainable-K1,3360,2340,0.7336372517,0.9628205128,0.8327481057,0.7565476190,2253,87,818
stackoverflow,0.2500000000,13,ADB,1500,4500,0.9330494441,0.8764444444,0.9038615790,0.8113333333,3944,556,283
stackoverflow,0.2500000000,13,Trainable-K1,1500,4500,0.9434261145,0.9264444444,0.9348581680,0.8333333333,4169,331,250
stackoverflow,0.2500000000,42,ADB,1500,4500,0.9418314020,0.9211111111,0.9313560274,0.8293333333,4145,355,256
stackoverflow,0.2500000000,42,Trainable-K1,1500,4500,0.9486504279,0.9606666667,0.9546207353,0.8440000000,4323,177,234
stackoverflow,0.2500000000,87,ADB,1500,4500,0.9402985075,0.9240000000,0.9320780094,0.8240000000,4158,342,264
stackoverflow,0.2500000000,87,Trainable-K1,1500,4500,0.9505315687,0.9735555556,0.9619058074,0.8480000000,4381,119,228
