dataset,kir,component,metric,n_seeds,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
banking77,0.25,euclidean_mean,oos_f1,5,0.013546323975643194,0.017914197540567,0.01714990125207737,-0.0013268531975006326,0.025287528778249514,4,0,1,20260725,10000
banking77,0.25,euclidean_mean,f1_all,5,0.22634433973076148,0.24443921648790823,0.03133658633913606,0.20274250545732678,0.24994617400419622,5,0,0,20260725,10000
banking77,0.25,euclidean_mean,f1_k,5,0.23754423529682037,0.255834165261264,0.03222789636911127,0.2132126732380412,0.26187579735559946,5,0,0,20260725,10000
banking77,0.25,euclidean_mean,id_recall,5,0.41868421052631577,0.42499999999999993,0.025093316146644635,0.3989473684210527,0.4376315789473685,5,0,0,20260725,10000
banking77,0.25,euclidean_mean,false_accept_rate,5,0.08827586206896551,0.08836206896551721,0.031263225501021216,0.06655172413793109,0.11474137931034481,5,0,0,20260725,10000
banking77,0.25,euclidean_mean,false_reject_rate,5,-0.41868421052631577,-0.425,0.02509331614664463,-0.4376315789473685,-0.3997368421052631,0,0,5,20260725,10000
banking77,0.25,euclidean_mean,accuracy,5,0.03506493506493504,0.04123376623376618,0.02235902972298851,0.016103896103896065,0.05058441558441558,4,0,1,20260725,10000
banking77,0.25,euclidean_mean,auroc,5,0.0539333030852994,0.05168216878402876,0.03133062397437952,0.02886808076225047,0.07830455989110696,5,0,0,20260725,10000
banking77,0.25,euclidean_mean,aupr_oos,5,0.030821049912699516,0.02609565369603739,0.01758435807845966,0.01866273981293971,0.04605013355037006,5,0,0,20260725,10000
banking77,0.5,euclidean_mean,oos_f1,5,0.08570376379212186,0.09622044476300284,0.017664379841200162,0.06974518504583802,0.09699394989919967,5,0,0,20260725,10000
banking77,0.5,euclidean_mean,f1_all,5,0.33072742649414905,0.33353934674742824,0.023472396101378898,0.31199210754911094,0.34929372776613504,5,0,0,20260725,10000
banking77,0.5,euclidean_mean,f1_k,5,0.3371754176178867,0.33977707676567204,0.023748650648110655,0.31880286029395816,0.35496617688364773,5,0,0,20260725,10000
banking77,0.5,euclidean_mean,id_recall,5,0.48802631578947375,0.48486842105263167,0.019962525487089933,0.4727631578947368,0.5035526315789474,5,0,0,20260725,10000
banking77,0.5,euclidean_mean,false_accept_rate,5,0.14653846153846156,0.1378205128205128,0.029801143476907575,0.12474358974358975,0.1702564102564103,5,0,0,20260725,10000
banking77,0.5,euclidean_mean,false_reject_rate,5,-0.48802631578947364,-0.4848684210526316,0.01996252548708994,-0.5035526315789474,-0.4727631578947368,0,0,5,20260725,10000
banking77,0.5,euclidean_mean,accuracy,5,0.15655844155844154,0.16038961038961042,0.01598906482449432,0.1424025974025974,0.1671428571428571,5,0,0,20260725,10000
banking77,0.5,euclidean_mean,auroc,5,0.06579579959514177,0.07026906207827277,0.013533302037405336,0.05470352564102576,0.07511285425101218,5,0,0,20260725,10000
banking77,0.5,euclidean_mean,aupr_oos,5,0.09914921652046031,0.11163588266264313,0.020049415074893853,0.08130077131629694,0.11265211132589208,5,0,0,20260725,10000
banking77,0.75,euclidean_mean,oos_f1,5,0.21018989377259484,0.20787427246962198,0.02776370948821111,0.1909396252324563,0.23362063613635278,5,0,0,20260725,10000
banking77,0.75,euclidean_mean,f1_all,5,0.41738292213519407,0.4192764640020485,0.018386144778745454,0.40364932806115333,0.4319292453938247,5,0,0,20260725,10000
banking77,0.75,euclidean_mean,f1_k,5,0.42095521572765265,0.42322026487449177,0.018401149307039923,0.4063761592652906,0.4355342721900148,5,0,0,20260725,10000
banking77,0.75,euclidean_mean,id_recall,5,0.5364655172413793,0.5387931034482758,0.013168085811828592,0.525603448275862,0.5460344827586207,5,0,0,20260725,10000
