dataset,kir,method,n_seeds,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,id_recall_mean,id_recall_std,false_accept_rate_mean,false_accept_rate_std,accuracy_mean,accuracy_std,auroc_mean,auroc_std
banking77,0.25,fixed_k2,5,0.8577784166123713,0.03175919520536074,0.7109974813224451,0.022029938729008977,0.8189473684210526,0.019771898690801922,0.2032758620689655,0.05330347459857209,0.7975974025974026,0.03756887754457832,0.8880257486388384,0.021953849487349755
banking77,0.25,mogb_minilm,5,0.9029919725157672,0.004345545482740958,0.5587572321670984,0.02977453622624809,0.39973684210526306,0.02262622335652819,0.01499999999999994,0.0064106870491649265,0.8401948051948052,0.007490084523308216,0.8690423094373866,0.02554765002981928
banking77,0.25,mogb_partition_ours_boundary,5,0.9205598966754222,0.004509605546132503,0.711496683111129,0.030328603017370847,0.616842105263158,0.03248961052773284,0.0401724137931034,0.0047354979196455845,0.8742857142857142,0.00787429704085837,0.8916474591651543,0.012543410063866613
banking77,0.25,trainable_k1,5,0.9165382964914104,0.01797609026854935,0.7851015718978598,0.025622005001927704,0.8184210526315789,0.00778431550407842,0.10327586206896547,0.033607700850852316,0.8752597402597402,0.023364670465048167,0.922975612522686,0.01404400578794969
banking77,0.5,fixed_k2,5,0.7546157036165422,0.021528536775831147,0.7616393362174011,0.010872629981106371,0.8255263157894737,0.007030552635469774,0.2905128205128205,0.03548121800378637,0.747922077922078,0.015205415875648547,0.859762230094467,0.013002373982499567
banking77,0.5,mogb_minilm,5,0.7499368546965274,0.006406834213942431,0.48600815327809965,0.025079511841738577,0.33407894736842103,0.02139119217091644,0.01089743589743584,0.004902903378454607,0.6651298701298701,0.010930039410323082,0.8356215418353576,0.012156138383550084
banking77,0.5,mogb_partition_ours_boundary,5,0.7939747596576892,0.007797331809627127,0.6480972658162544,0.01976537364287046,0.5218421052631579,0.020199618424305312,0.03499999999999994,0.00870238051874111,0.7438311688311688,0.011074712922604249,0.8545895748987855,0.00975397775110571
banking77,0.5,trainable_k1,5,0.8356406184886493,0.018251144545811386,0.8167355797722488,0.010483055215298546,0.8221052631578948,0.0048030821706431465,0.15743589743589742,0.03434605574205228,0.8216883116883118,0.015263884488375887,0.9014173414304993,0.011115850513844118
banking77,0.75,fixed_k2,5,0.5931096142882415,0.025728699487870394,0.802629197197889,0.007806121199534448,0.8313793103448276,0.0037502477127855584,0.3607894736842105,0.04020592767862238,0.7449999999999999,0.01025326525910667,0.8322200544464609,0.015458994332941428
banking77,0.75,mogb_minilm,5,0.4763444315858617,0.004103773735430727,0.42392825044969384,0.016952957950860673,0.28767241379310343,0.012201397797159081,0.00763157894736838,0.003767847648230626,0.4599350649350649,0.009159067315142915,0.7977400181488203,0.02025121227313486
banking77,0.75,mogb_partition_ours_boundary,5,0.5313316683894658,0.005918725520325329,0.5860713489392462,0.023848313965377736,0.45862068965517244,0.024356308956183875,0.040526315789473646,0.019302232443044447,0.5781818181818182,0.014288296696932696,0.8104557622504537,0.017405568283162295
banking77,0.75,trainable_k1,5,0.6865343253584565,0.027084540089959898,0.8413111725848881,0.00771237040458175,0.824137931034483,0.00405493269875577,0.19605263157894734,0.0458076189092874,0.7968831168831169,0.012071199777073514,0.8890411751361162,0.016986688566853314
clinc150,0.25,fixed_k2,5,0.9447183904938932,0.007981186969528386,0.7801346791980823,0.01960645733360547,0.7435087719298246,0.0065231552430098805,0.04728070175438592,0.014850555949313596,0.9096491228070175,0.012533120172643644,0.9344876500461681,0.009191535369763625
clinc150,0.25,mogb_minilm,5,0.9238361040438378,0.0029534277865939187,0.5224035964713534,0.032761230904904355,0.37105263157894736,0.026693200095970083,0.006578947368420999,0.002176472943122702,0.8688771929824561,0.005504132586605518,0.9060657894736842,0.014568116456954671
