dataset,kir,method,layer,representation,partition,distance,oos_f1,oos_f1_std,known_macro_f1,known_recall,f1_all,accuracy,scope
banking77,0.25,Frozen MiniLM K=1,current_protocol,frozen_minilm,fixed_kmeans,mahalanobis_diag,0.9157798459993336,0.007970406509244,,0.8638888888888889,,,protocol_v2_textoir_v1 / 3 seeds / Gate-only
banking77,0.25,Frozen MiniLM K=2,current_protocol,frozen_minilm,fixed_kmeans,mahalanobis_diag,0.9079520406410694,0.0125286649470168,,0.8340277777777777,,,protocol_v2_textoir_v1 / 3 seeds / Gate-only
banking77,0.25,Frozen fixed K=2,current_protocol,frozen_minilm,fixed_kmeans,mixed_by_method,0.8577784166123713,0.03175919520536074,0.7032721689387648,0.8189473684210526,0.7109974813224451,0.7975974025974025,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
banking77,0.25,Frozen random partition K=2,current_protocol,frozen_minilm,random_balanced,mixed_by_method,0.8500483735063608,0.02443395835719756,0.6848886702622957,0.8473684210526315,0.693146655424499,0.7888961038961039,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
banking77,0.25,Frozen single centroid,current_protocol,frozen_minilm,single,mixed_by_method,0.8517237093485583,0.025265382256290114,0.6844928927544645,0.8389473684210526,0.6928544335841691,0.7904545454545454,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
banking77,0.25,MOGB partition + s2c boundary,current_protocol,frozen_minilm,mogb_adaptive,mixed_by_method,0.9205598966754222,0.004509605546132505,0.7004933560814293,0.616842105263158,0.7114966831111289,0.8742857142857142,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
banking77,0.25,MOGB-MiniLM,current_protocol,frozen_minilm,mogb_adaptive,mixed_by_method,0.9029919725157672,0.004345545482740943,0.5406396142540106,0.3997368421052631,0.5587572321670984,0.8401948051948052,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
banking77,0.25,Trainable MiniLM K=1,current_protocol,last2_minilm_plus_projection,single_centroid,mahalanobis_diag,0.921700942110359,0.0078298327528756,0.7858831105978346,0.8192982456140351,0.7926740021734607,0.8824675324675324,protocol_v2_textoir_v1 / 3 seeds / Known-only
banking77,0.25,s2c partition + MOGB boundary,current_protocol,frozen_minilm,fixed_kmeans,mixed_by_method,0.9067732430505278,0.009602934276313787,0.6416504515979425,0.5386842105263158,0.6549065911705718,0.8508441558441557,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
banking77,0.5,Frozen MiniLM K=1,current_protocol,frozen_minilm,fixed_kmeans,mahalanobis_diag,0.8482265965039684,0.0144313586085912,,0.8883333333333333,,,protocol_v2_textoir_v1 / 3 seeds / Gate-only
banking77,0.5,Frozen MiniLM K=2,current_protocol,frozen_minilm,fixed_kmeans,mahalanobis_diag,0.8557166723785059,0.0137124178016304,,0.8610000000000001,,,protocol_v2_textoir_v1 / 3 seeds / Gate-only
banking77,0.5,Frozen fixed K=2,current_protocol,frozen_minilm,fixed_kmeans,mixed_by_method,0.7546157036165422,0.02152853677583116,0.7618241686542658,0.8255263157894737,0.7616393362174011,0.7479220779220779,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
banking77,0.5,Frozen random partition K=2,current_protocol,frozen_minilm,random_balanced,mixed_by_method,0.7162208519261768,0.026683360105673216,0.7480158231905856,0.8596052631578948,0.7472005675171391,0.7205194805194806,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
banking77,0.5,Frozen single centroid,current_protocol,frozen_minilm,single,mixed_by_method,0.7242801509490058,0.027673309741623107,0.7456883726374406,0.8501315789473685,0.7451394438761987,0.7238961038961038,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
banking77,0.5,MOGB partition + s2c boundary,current_protocol,frozen_minilm,mogb_adaptive,mixed_by_method,0.7939747596576892,0.007797331809627128,0.6442583843993744,0.5218421052631579,0.6480972658162543,0.7438311688311688,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
