dataset,kir,method,method_label,contract,n_seeds,oos_f1,f1_all,known_recall,oos_f1_std,f1_all_std,known_recall_std
banking77,0.25,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.9029919725157672,0.5587572321670984,0.3997368421052631,0.004345545482740943,0.029774536226248104,0.022626223356528193
banking77,0.25,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.9165382964914104,0.7851015718978599,0.8184210526315789,0.017976090268549384,0.02562200500192768,0.007784315504078432
banking77,0.5,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.7499368546965275,0.48600815327809965,0.33407894736842103,0.006406834213942418,0.02507951184173857,0.02139119217091644
banking77,0.5,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.8356406184886493,0.8167355797722488,0.8221052631578948,0.01825114454581141,0.010483055215298541,0.004803082170643177
banking77,0.75,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.4763444315858617,0.42392825044969384,0.2876724137931034,0.0041037737354307265,0.016952957950860666,0.012201397797159093
banking77,0.75,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.6865343253584566,0.8413111725848881,0.8241379310344827,0.02708454008995989,0.0077123704045817245,0.004054932698755789
clinc150,0.25,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.9238361040438375,0.5224035964713533,0.37105263157894736,0.0029534277865939165,0.032761230904904334,0.026693200095970083
clinc150,0.25,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.9516427437131567,0.7968993956538231,0.7363157894736843,0.006493831244298967,0.019459710746000582,0.008358687192681824
clinc150,0.5,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.8131951016346013,0.44953800389890197,0.3157333333333333,0.0029937394053626406,0.017795263450771055,0.013693649965685421
clinc150,0.5,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.9043941395821135,0.8181661694793956,0.7444444444444445,0.004441963320551506,0.00920341014264694,0.0033847880470506474
clinc150,0.75,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.6593154230507091,0.4179709109786164,0.29196428571428573,0.004187552090302015,0.01552778390349888,0.012156927538988137
clinc150,0.75,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.828493223497581,0.8291245798894671,0.7511904761904762,0.005076623944875152,0.007668826723022182,0.008669352180731848
stackoverflow,0.25,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.8944000569448456,0.540703865522772,0.3261333333333333,0.005949655171098938,0.04633819785305139,0.048486882533091163
stackoverflow,0.25,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.9547969095009252,0.8763726851882936,0.8429333333333332,0.0121014663289031,0.023711704285174266,0.005899152481501032
stackoverflow,0.5,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.729199427573284,0.43298039378929865,0.2709333333333333,0.006249432392941407,0.03399553971951928,0.023698804470549447
stackoverflow,0.5,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.8767066651336372,0.8655077750537566,0.8389333333333333,0.016570048659295993,0.012976894988666438,0.0035699361961307454
stackoverflow,0.75,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.4558840331344417,0.33093232311807846,0.21173333333333327,0.004201451885150502,0.020763371557782045,0.014546986451317514
stackoverflow,0.75,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.7630378449085173,0.87280021593395,0.8411555555555555,0.02911415051443791,0.006839113989012046,0.006726399069669037
banking77,0.25,adb,ADB,BERT/TextOIR 外部合同（3 seeds）,3,0.8382530288550956,0.6922740931054786,0.8798245614035087,0.024568322407703326,0.01744725196105265,0.013695171049119327
banking77,0.5,adb,ADB,BERT/TextOIR 外部合同（3 seeds）,3,0.7430012197773129,0.7818126636536253,0.8925438596491228,0.014985312495494948,0.016650918706745323,0.006112877133669491
banking77,0.75,adb,ADB,BERT/TextOIR 外部合同（3 seeds）,3,0.6564258317569133,0.8582490983970019,0.9033045977011495,0.030600447090085674,0.0035747051815200504,0.002869969016585967
clinc150,0.25,adb,ADB,BERT/TextOIR 外部合同（3 seeds）,3,0.915275255116751,0.7687845632733564,0.9084795321637427,0.010806411543770284,0.01375102446254192,0.009461222039393789
clinc150,0.5,adb,ADB,BERT/TextOIR 外部合同（3 seeds）,3,0.9001244879143854,0.8600340038250106,0.9063703703703704,0.0045201759636656035,0.0044323587777213794,0.007225924976745026
clinc150,0.75,adb,ADB,BERT/TextOIR 外部合同（3 seeds）,3,0.8509218624377142,0.8853548216784374,0.9164682539682539,0.011586213926923935,0.004597907080690897,0.0006195434522220612
stackoverflow,0.25,adb,ADB,BERT/TextOIR 外部合同（3 seeds）,3,0.9335578244824326,0.8320549830227462,0.8364444444444444,0.0032087404771904957,0.012567941748147406,0.01714426801954303
stackoverflow,0.5,adb,ADB,BERT/TextOIR 外部合同（3 seeds）,3,0.87364018250007,0.8565977087597924,0.8077777777777778,0.016085425329068034,0.01590368014292444,0.014353990282741463
stackoverflow,0.75,adb,ADB,BERT/TextOIR 外部合同（3 seeds）,3,0.73080740845574,0.8584613770230102,0.8022222222222223,0.007416004864817222,0.004606747025356841,0.005047918529600274
