dataset,kir,child,parent,comparison,delta_oos_f1,delta_f1_all,delta_f1_k,delta_known_recall,delta_false_accept_rate,delta_false_reject_rate,delta_accuracy,delta_auroc,delta_aupr_oos
banking77,0.25,mogb_minilm,single_centroid,MOGB-MiniLM minus Frozen K=1,5.126826316720889,-13.409720141707071,-14.385327850045382,-43.921052631578945,-20.33620689655173,43.92105263157895,4.974025974025976,-2.2523820326678767,-1.635011530772279
banking77,0.5,mogb_minilm,single_centroid,MOGB-MiniLM minus Frozen K=1,2.5656703747521714,-25.913129059809908,-26.66257115019312,-51.605263157894754,-33.756410256410255,51.60526315789473,-5.876623376623369,-1.6985998650472345,-4.042282298990085
banking77,0.75,mogb_minilm,single_centroid,MOGB-MiniLM minus Frozen K=1,-6.026273981196706,-35.81902896584438,-36.33269715523485,-57.64655172413794,-47.236842105263165,57.64655172413793,-26.032467532467535,-1.9770757713248654,-7.276189275335987
clinc150,0.25,mogb_minilm,single_centroid,MOGB-MiniLM minus Frozen K=1,-1.8236147090829546,-26.1986331741643,-26.840081028508543,-40.842105263157904,-5.37719298245615,40.84210526315791,-3.715789473684228,-3.7419205909510533,-1.9034383883241413
clinc150,0.5,mogb_minilm,single_centroid,MOGB-MiniLM minus Frozen K=1,-7.623820404803805,-35.31553874957093,-35.684761660834525,-47.18222222222222,-7.91304347826087,47.18222222222222,-12.936842105263157,-5.251058293075673,-6.206495774051057
clinc150,0.75,mogb_minilm,single_centroid,MOGB-MiniLM minus Frozen K=1,-15.815025817043116,-39.943866954794125,-40.15930303638119,-49.875,-9.273504273504281,49.875,-23.89122807017543,-5.568556674806691,-12.269737851362162
stackoverflow,0.25,mogb_minilm,single_centroid,MOGB-MiniLM minus Frozen K=1,-0.042069605738603855,-26.941208923057548,-32.321036786521354,-53.000000000000014,-14.017777777777779,53.000000000000014,-2.2233333333333327,-5.268370370370357,-2.913825966302175
stackoverflow,0.5,mogb_minilm,single_centroid,MOGB-MiniLM minus Frozen K=1,-3.629652838770714,-36.681606866964714,-39.98680226978413,-60.053333333333335,-28.91333333333334,60.053333333333335,-13.52,-3.997637777777785,-5.367732467674424
stackoverflow,0.75,mogb_minilm,single_centroid,MOGB-MiniLM minus Frozen K=1,-20.016898118779302,-48.14473900934109,-50.01992840204521,-66.4488888888889,-32.16,66.4488888888889,-36.67,-7.841419259259263,-17.96212102397282
banking77,0.25,mogb_partition_ours_boundary,mogb_minilm,MOGB partition + S2C boundary minus MOGB-MiniLM,1.7567924159654913,15.273945094403052,15.985374182741863,21.710526315789487,2.5172413793103496,-21.710526315789487,3.409090909090906,2.2605149727767726,1.4239534742950033
