dataset,kir,method_label,layer,status,directly_comparable,source,n_seeds,oos_f1_mean,f1_all_mean,f1_k_mean,known_recall_mean,false_accept_rate_mean,false_reject_rate_mean,accuracy_mean,auroc_mean,aupr_oos_mean
banking77,0.25,Frozen K=2,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.8577784166123713,0.7109974813224451,0.7032721689387648,0.8189473684210526,0.2032758620689654,0.1810526315789473,0.7975974025974025,0.8880257486388384,0.9518511325826772
banking77,0.25,MOGB-MiniLM,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.9029919725157672,0.5587572321670984,0.5406396142540106,0.3997368421052631,0.0149999999999999,0.6002631578947368,0.8401948051948052,0.8690423094373866,0.936193092893446
banking77,0.25,MOGB partition + S2C boundary,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.9205598966754222,0.7114966831111289,0.7004933560814293,0.616842105263158,0.0401724137931034,0.383157894736842,0.8742857142857142,0.8916474591651543,0.950432627636396
banking77,0.25,S2C partition + MOGB boundary,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.9067732430505278,0.6549065911705718,0.6416504515979425,0.5386842105263158,0.0450862068965517,0.4613157894736842,0.8508441558441557,0.8775311932849366,0.9467843141034916
banking77,0.25,Random K=2,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.8500483735063608,0.693146655424499,0.6848886702622957,0.8473684210526315,0.2231034482758621,0.1526315789473683,0.7888961038961039,0.8943634301270418,0.9538458219553928
banking77,0.25,Frozen K=1,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.8517237093485583,0.6928544335841691,0.6844928927544645,0.8389473684210526,0.2183620689655172,0.1610526315789473,0.7904545454545454,0.8915661297640654,0.9525432082011688
banking77,0.25,S2C Trainable K=1,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.9165382964914104,0.7851015718978599,0.7781838495508309,0.8184210526315789,0.1032758620689654,0.181578947368421,0.8752597402597402,0.922975612522686,0.9670141428061454
banking77,0.5,Frozen K=2,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.7546157036165422,0.7616393362174011,0.7618241686542658,0.8255263157894737,0.2905128205128205,0.1744736842105262,0.7479220779220779,0.859762230094467,0.8357888390365009
banking77,0.5,MOGB-MiniLM,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.7499368546965275,0.4860081532780996,0.4790626611355094,0.334078947368421,0.0108974358974358,0.6659210526315789,0.6651298701298701,0.8356215418353576,0.7871540272941482
banking77,0.5,MOGB partition + S2C boundary,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.7939747596576892,0.6480972658162543,0.6442583843993744,0.5218421052631579,0.0349999999999999,0.478157894736842,0.7438311688311688,0.8545895748987855,0.8139938584826117
