dataset,kir,method,method_label,contract,n_seeds,oos_f1,f1_all,known_recall,oos_f1_std,f1_all_std,known_recall_std
banking77,0.25,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.9029919725157672,0.5587572321670984,0.3997368421052631,0.004345545482740943,0.029774536226248104,0.022626223356528193
banking77,0.25,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.9165382964914104,0.7851015718978599,0.8184210526315789,0.017976090268549384,0.02562200500192768,0.007784315504078432
banking77,0.5,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.7499368546965275,0.48600815327809965,0.33407894736842103,0.006406834213942418,0.02507951184173857,0.02139119217091644
banking77,0.5,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.8356406184886493,0.8167355797722488,0.8221052631578948,0.01825114454581141,0.010483055215298541,0.004803082170643177
banking77,0.75,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.4763444315858617,0.42392825044969384,0.2876724137931034,0.0041037737354307265,0.016952957950860666,0.012201397797159093
banking77,0.75,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.6865343253584566,0.8413111725848881,0.8241379310344827,0.02708454008995989,0.0077123704045817245,0.004054932698755789
clinc150,0.25,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.9238361040438375,0.5224035964713533,0.37105263157894736,0.0029534277865939165,0.032761230904904334,0.026693200095970083
clinc150,0.25,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.9516427437131567,0.7968993956538231,0.7363157894736843,0.006493831244298967,0.019459710746000582,0.008358687192681824
clinc150,0.5,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.8131951016346013,0.44953800389890197,0.3157333333333333,0.0029937394053626406,0.017795263450771055,0.013693649965685421
clinc150,0.5,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.9043941395821135,0.8181661694793956,0.7444444444444445,0.004441963320551506,0.00920341014264694,0.0033847880470506474
clinc150,0.75,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.6593154230507091,0.4179709109786164,0.29196428571428573,0.004187552090302015,0.01552778390349888,0.012156927538988137
clinc150,0.75,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.828493223497581,0.8291245798894671,0.7511904761904762,0.005076623944875152,0.007668826723022182,0.008669352180731848
stackoverflow,0.25,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.8944000569448456,0.540703865522772,0.3261333333333333,0.005949655171098938,0.04633819785305139,0.048486882533091163
stackoverflow,0.25,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.9547969095009252,0.8763726851882936,0.8429333333333332,0.0121014663289031,0.023711704285174266,0.005899152481501032
stackoverflow,0.5,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.729199427573284,0.43298039378929865,0.2709333333333333,0.006249432392941407,0.03399553971951928,0.023698804470549447
stackoverflow,0.5,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.8767066651336372,0.8655077750537566,0.8389333333333333,0.016570048659295993,0.012976894988666438,0.0035699361961307454
stackoverflow,0.75,mogb_minilm,MOGB-MiniLM,当前 MiniLM fair（5 seeds）,5,0.4558840331344417,0.33093232311807846,0.21173333333333327,0.004201451885150502,0.020763371557782045,0.014546986451317514
stackoverflow,0.75,trainable_k1,Trainable K=1,当前 MiniLM fair（5 seeds）,5,0.7630378449085173,0.87280021593395,0.8411555555555555,0.02911415051443791,0.006839113989012046,0.006726399069669037
banking77,0.25,adb,ADB,BERT/TextOIR 外部合同（5 seeds）,5,0.8280055457089505,0.6857670398342207,0.874736842105263,0.02279060103091537,0.02193481907522483,0.013171046059202345
banking77,0.5,adb,ADB,BERT/TextOIR 外部合同（5 seeds）,5,0.7496820404988094,0.787872084718554,0.8914473684210525,0.019240674290641867,0.015286470247596303,0.0066930887991367965
banking77,0.75,adb,ADB,BERT/TextOIR 外部合同（5 seeds）,5,0.662673105650599,0.8589122301177214,0.9035344827586208,0.02337087377019558,0.003517531230813837,0.002749851363402885
clinc150,0.25,adb,ADB,BERT/TextOIR 外部合同（5 seeds）,5,0.9159889886308769,0.7660720279508785,0.9098245614035088,0.00884943226859352,0.011466047338042894,0.009103386887101446
clinc150,0.5,adb,ADB,BERT/TextOIR 外部合同（5 seeds）,5,0.8938844397002995,0.8548784512673052,0.9084444444444445,0.009122952561006852,0.0077244232283480325,0.006053261543056118
clinc150,0.75,adb,ADB,BERT/TextOIR 外部合同（5 seeds）,5,0.8476053339614913,0.8852315877334231,0.9153571428571429,0.013541641289364007,0.00639657579275186,0.001704502507532893
stackoverflow,0.25,adb,ADB,BERT/TextOIR 外部合同（5 seeds）,5,0.9313556999623411,0.8311761611180477,0.8352,0.01751688304456152,0.030543508503060025,0.019795622411701682
stackoverflow,0.5,adb,ADB,BERT/TextOIR 外部合同（5 seeds）,5,0.8721189792487543,0.8580505106759599,0.8137333333333334,0.011686969381661435,0.011476033515163037,0.013323746553511956
stackoverflow,0.75,adb,ADB,BERT/TextOIR 外部合同（5 seeds）,5,0.7369953964853626,0.8598580811458512,0.8084444444444443,0.010011719038573586,0.003945772852671906,0.009370297174359107
