dataset,kir,oos_f1,oos_f1_std,known_recall,false_accept_rate,false_reject_rate,oos_recall,oos_precision,n_seeds,method,method_label,contract_layer,backbone,supervision,f1_all_mean,f1_all_std,f1_k_mean,f1_k_std,accuracy_mean,accuracy_std,known_recall_std,false_accept_rate_std,false_reject_rate_std
banking77,0.25,0.9165382964914104,0.0179760902685493,0.8184210526315789,0.1032758620689654,0.181578947368421,0.8967241379310346,0.9372478739401366,5,S2C-Trainable-K1,S2C Trainable K=1,same_protocol_fair,MiniLM,Known-only,,,,,,,,,
banking77,0.5,0.8356406184886493,0.0182511445458114,0.8221052631578948,0.1574358974358974,0.1778947368421052,0.8425641025641026,0.8288299898156692,5,S2C-Trainable-K1,S2C Trainable K=1,same_protocol_fair,MiniLM,Known-only,,,,,,,,,
banking77,0.75,0.6865343253584566,0.0270845400899598,0.8241379310344827,0.1960526315789473,0.1758620689655172,0.8039473684210527,0.5990462118009604,5,S2C-Trainable-K1,S2C Trainable K=1,same_protocol_fair,MiniLM,Known-only,,,,,,,,,
clinc150,0.25,0.9516427437131568,0.0064938312442989,0.7363157894736843,0.0323684210526315,0.2636842105263158,0.9676315789473685,0.9361737082888331,5,S2C-Trainable-K1,S2C Trainable K=1,same_protocol_fair,MiniLM,Known-only,,,,,,,,,
clinc150,0.5,0.9043941395821136,0.0044419633205515,0.7444444444444445,0.036927536231884,0.2555555555555555,0.963072463768116,0.8524555131186291,5,S2C-Trainable-K1,S2C Trainable K=1,same_protocol_fair,MiniLM,Known-only,,,,,,,,,
clinc150,0.75,0.828493223497581,0.0050766239448751,0.7511904761904762,0.0401709401709401,0.2488095238095237,0.9598290598290599,0.7287733270952239,5,S2C-Trainable-K1,S2C Trainable K=1,same_protocol_fair,MiniLM,Known-only,,,,,,,,,
stackoverflow,0.25,0.9547969095009252,0.0121014663289031,0.8429333333333332,0.0384888888888888,0.1570666666666666,0.9615111111111112,0.9481758277517259,5,S2C-Trainable-K1,S2C Trainable K=1,same_protocol_fair,MiniLM,Known-only,,,,,,,,,
stackoverflow,0.5,0.8767066651336372,0.0165700486592959,0.8389333333333333,0.0933999999999999,0.1610666666666666,0.9066000000000001,0.8487217506183065,5,S2C-Trainable-K1,S2C Trainable K=1,same_protocol_fair,MiniLM,Known-only,,,,,,,,,
stackoverflow,0.75,0.7630378449085173,0.0291141505144379,0.8411555555555555,0.0879999999999999,0.1588444444444444,0.9120000000000001,0.6559051246239446,5,S2C-Trainable-K1,S2C Trainable K=1,same_protocol_fair,MiniLM,Known-only,,,,,,,,,
banking77,0.25,0.8280055457089505,0.0227906010309153,0.874736842105263,0.264051724137931,0.1252631578947368,0.735948275862069,0.9463857206826094,5,ADB,ADB,external_backbone_reference,BERT/TextOIR,Known-only,0.6857670398342207,0.0219348190752248,0.9159520240813126,0.0063440194639779,0.7667532467532467,0.0261828053952202,0.0131710460592023,0.0330502558449247,0.0131710460592023
