dataset,kir,comparison,from_state,to_state,count,n_seeds,rate_all
stackoverflow,0.5,ADB→DA-ADB,known_correct,known_correct,6088,3,0.3382222222222222
stackoverflow,0.5,ADB→DA-ADB,known_correct,known_rejected,1113,3,0.06183333333333333
stackoverflow,0.5,ADB→DA-ADB,known_correct,known_wrong,22,3,0.0012222222222222222
stackoverflow,0.5,ADB→DA-ADB,known_correct,oos_correct_rejected,0,3,0.0
stackoverflow,0.5,ADB→DA-ADB,known_correct,oos_false_accept,0,3,0.0
stackoverflow,0.5,ADB→DA-ADB,known_rejected,known_correct,528,3,0.029333333333333333
stackoverflow,0.5,ADB→DA-ADB,known_rejected,known_rejected,1028,3,0.05711111111111111
stackoverflow,0.5,ADB→DA-ADB,known_rejected,known_wrong,174,3,0.009666666666666667
stackoverflow,0.5,ADB→DA-ADB,known_rejected,oos_correct_rejected,0,3,0.0
stackoverflow,0.5,ADB→DA-ADB,known_rejected,oos_false_accept,0,3,0.0
stackoverflow,0.5,ADB→DA-ADB,known_wrong,known_correct,2,3,0.00011111111111111112
stackoverflow,0.5,ADB→DA-ADB,known_wrong,known_rejected,22,3,0.0012222222222222222
stackoverflow,0.5,ADB→DA-ADB,known_wrong,known_wrong,23,3,0.0012777777777777779
stackoverflow,0.5,ADB→DA-ADB,known_wrong,oos_correct_rejected,0,3,0.0
stackoverflow,0.5,ADB→DA-ADB,known_wrong,oos_false_accept,0,3,0.0
stackoverflow,0.5,ADB→DA-ADB,oos_correct_rejected,known_correct,0,3,0.0
stackoverflow,0.5,ADB→DA-ADB,oos_correct_rejected,known_rejected,0,3,0.0
stackoverflow,0.5,ADB→DA-ADB,oos_correct_rejected,known_wrong,0,3,0.0
stackoverflow,0.5,ADB→DA-ADB,oos_correct_rejected,oos_correct_rejected,6123,3,0.3401666666666667
stackoverflow,0.5,ADB→DA-ADB,oos_correct_rejected,oos_false_accept,2200,3,0.12222222222222222
stackoverflow,0.5,ADB→DA-ADB,oos_false_accept,known_correct,0,3,0.0
stackoverflow,0.5,ADB→DA-ADB,oos_false_accept,known_rejected,0,3,0.0
stackoverflow,0.5,ADB→DA-ADB,oos_false_accept,known_wrong,0,3,0.0
stackoverflow,0.5,ADB→DA-ADB,oos_false_accept,oos_correct_rejected,261,3,0.0145
stackoverflow,0.5,ADB→DA-ADB,oos_false_accept,oos_false_accept,416,3,0.02311111111111111
stackoverflow,0.5,S2C→ADB,known_correct,known_correct,7002,3,0.389
stackoverflow,0.5,S2C→ADB,known_correct,known_rejected,434,3,0.02411111111111111
stackoverflow,0.5,S2C→ADB,known_correct,known_wrong,2,3,0.00011111111111111112
stackoverflow,0.5,S2C→ADB,known_correct,oos_correct_rejected,0,3,0.0
stackoverflow,0.5,S2C→ADB,known_correct,oos_false_accept,0,3,0.0
stackoverflow,0.5,S2C→ADB,known_rejected,known_correct,209,3,0.01161111111111111
stackoverflow,0.5,S2C→ADB,known_rejected,known_rejected,1240,3,0.06888888888888889
stackoverflow,0.5,S2C→ADB,known_rejected,known_wrong,20,3,0.0011111111111111111
stackoverflow,0.5,S2C→ADB,known_rejected,oos_correct_rejected,0,3,0.0
stackoverflow,0.5,S2C→ADB,known_rejected,oos_false_accept,0,3,0.0
stackoverflow,0.5,S2C→ADB,known_wrong,known_correct,12,3,0.0006666666666666666
stackoverflow,0.5,S2C→ADB,known_wrong,known_rejected,56,3,0.003111111111111111
stackoverflow,0.5,S2C→ADB,known_wrong,known_wrong,25,3,0.001388888888888889
stackoverflow,0.5,S2C→ADB,known_wrong,oos_correct_rejected,0,3,0.0
stackoverflow,0.5,S2C→ADB,known_wrong,oos_false_accept,0,3,0.0
stackoverflow,0.5,S2C→ADB,oos_correct_rejected,known_correct,0,3,0.0
stackoverflow,0.5,S2C→ADB,oos_correct_rejected,known_rejected,0,3,0.0
stackoverflow,0.5,S2C→ADB,oos_correct_rejected,known_wrong,0,3,0.0
stackoverflow,0.5,S2C→ADB,oos_correct_rejected,oos_correct_rejected,7884,3,0.438
stackoverflow,0.5,S2C→ADB,oos_correct_rejected,oos_false_accept,380,3,0.021111111111111112
stackoverflow,0.5,S2C→ADB,oos_false_accept,known_correct,0,3,0.0
stackoverflow,0.5,S2C→ADB,oos_false_accept,known_rejected,0,3,0.0
stackoverflow,0.5,S2C→ADB,oos_false_accept,known_wrong,0,3,0.0
stackoverflow,0.5,S2C→ADB,oos_false_accept,oos_correct_rejected,439,3,0.02438888888888889
stackoverflow,0.5,S2C→ADB,oos_false_accept,oos_false_accept,297,3,0.0165
stackoverflow,0.5,S2C→DA-ADB,known_correct,known_correct,6193,3,0.34405555555555556
stackoverflow,0.5,S2C→DA-ADB,known_correct,known_rejected,1204,3,0.06688888888888889
stackoverflow,0.5,S2C→DA-ADB,known_correct,known_wrong,41,3,0.002277777777777778
stackoverflow,0.5,S2C→DA-ADB,known_correct,oos_correct_rejected,0,3,0.0
stackoverflow,0.5,S2C→DA-ADB,known_correct,oos_false_accept,0,3,0.0
stackoverflow,0.5,S2C→DA-ADB,known_rejected,known_correct,414,3,0.023
stackoverflow,0.5,S2C→DA-ADB,known_rejected,known_rejected,914,3,0.050777777777777776
stackoverflow,0.5,S2C→DA-ADB,known_rejected,known_wrong,141,3,0.007833333333333333
stackoverflow,0.5,S2C→DA-ADB,known_rejected,oos_correct_rejected,0,3,0.0
stackoverflow,0.5,S2C→DA-ADB,known_rejected,oos_false_accept,0,3,0.0
stackoverflow,0.5,S2C→DA-ADB,known_wrong,known_correct,11,3,0.0006111111111111111
stackoverflow,0.5,S2C→DA-ADB,known_wrong,known_rejected,45,3,0.0025
stackoverflow,0.5,S2C→DA-ADB,known_wrong,known_wrong,37,3,0.0020555555555555557
stackoverflow,0.5,S2C→DA-ADB,known_wrong,oos_correct_rejected,0,3,0.0
stackoverflow,0.5,S2C→DA-ADB,known_wrong,oos_false_accept,0,3,0.0
stackoverflow,0.5,S2C→DA-ADB,oos_correct_rejected,known_correct,0,3,0.0
stackoverflow,0.5,S2C→DA-ADB,oos_correct_rejected,known_rejected,0,3,0.0
stackoverflow,0.5,S2C→DA-ADB,oos_correct_rejected,known_wrong,0,3,0.0
stackoverflow,0.5,S2C→DA-ADB,oos_correct_rejected,oos_correct_rejected,6118,3,0.3398888888888889
stackoverflow,0.5,S2C→DA-ADB,oos_correct_rejected,oos_false_accept,2146,3,0.11922222222222222
stackoverflow,0.5,S2C→DA-ADB,oos_false_accept,known_correct,0,3,0.0
