dataset,kir,seed,method,state,count,n_test,n_known,n_oos,rate_all,rate_known,rate_oos
stackoverflow,0.5,42,S2C-Trainable-K1,known_correct,2468,6000,3000,3000,0.41133333333333333,0.8226666666666667,
stackoverflow,0.5,42,S2C-Trainable-K1,known_wrong,37,6000,3000,3000,0.006166666666666667,0.012333333333333333,
stackoverflow,0.5,42,S2C-Trainable-K1,known_rejected,495,6000,3000,3000,0.0825,0.165,
stackoverflow,0.5,42,S2C-Trainable-K1,oos_correct_rejected,2721,6000,3000,3000,0.4535,,0.907
stackoverflow,0.5,42,S2C-Trainable-K1,oos_false_accept,279,6000,3000,3000,0.0465,,0.093
stackoverflow,0.5,42,ADB,known_correct,2362,6000,3000,3000,0.39366666666666666,0.7873333333333333,
stackoverflow,0.5,42,ADB,known_wrong,17,6000,3000,3000,0.0028333333333333335,0.005666666666666667,
stackoverflow,0.5,42,ADB,known_rejected,621,6000,3000,3000,0.1035,0.207,
stackoverflow,0.5,42,ADB,oos_correct_rejected,2729,6000,3000,3000,0.4548333333333333,,0.9096666666666666
stackoverflow,0.5,42,ADB,oos_false_accept,271,6000,3000,3000,0.04516666666666667,,0.09033333333333333
stackoverflow,0.5,42,DA-ADB,known_correct,2119,6000,3000,3000,0.3531666666666667,0.7063333333333334,
stackoverflow,0.5,42,DA-ADB,known_wrong,69,6000,3000,3000,0.0115,0.023,
stackoverflow,0.5,42,DA-ADB,known_rejected,812,6000,3000,3000,0.13533333333333333,0.27066666666666667,
stackoverflow,0.5,42,DA-ADB,oos_correct_rejected,2090,6000,3000,3000,0.34833333333333333,,0.6966666666666667
stackoverflow,0.5,42,DA-ADB,oos_false_accept,910,6000,3000,3000,0.15166666666666667,,0.30333333333333334
stackoverflow,0.5,87,S2C-Trainable-K1,known_correct,2486,6000,3000,3000,0.41433333333333333,0.8286666666666667,
stackoverflow,0.5,87,S2C-Trainable-K1,known_wrong,34,6000,3000,3000,0.005666666666666667,0.011333333333333334,
stackoverflow,0.5,87,S2C-Trainable-K1,known_rejected,480,6000,3000,3000,0.08,0.16,
stackoverflow,0.5,87,S2C-Trainable-K1,oos_correct_rejected,2675,6000,3000,3000,0.44583333333333336,,0.8916666666666667
stackoverflow,0.5,87,S2C-Trainable-K1,oos_false_accept,325,6000,3000,3000,0.05416666666666667,,0.10833333333333334
stackoverflow,0.5,87,ADB,known_correct,2408,6000,3000,3000,0.4013333333333333,0.8026666666666666,
stackoverflow,0.5,87,ADB,known_wrong,18,6000,3000,3000,0.003,0.006,
stackoverflow,0.5,87,ADB,known_rejected,574,6000,3000,3000,0.09566666666666666,0.19133333333333333,
stackoverflow,0.5,87,ADB,oos_correct_rejected,2753,6000,3000,3000,0.4588333333333333,,0.9176666666666666
stackoverflow,0.5,87,ADB,oos_false_accept,247,6000,3000,3000,0.041166666666666664,,0.08233333333333333
stackoverflow,0.5,87,DA-ADB,known_correct,2296,6000,3000,3000,0.38266666666666665,0.7653333333333333,
stackoverflow,0.5,87,DA-ADB,known_wrong,123,6000,3000,3000,0.0205,0.041,
stackoverflow,0.5,87,DA-ADB,known_rejected,581,6000,3000,3000,0.09683333333333333,0.19366666666666665,
stackoverflow,0.5,87,DA-ADB,oos_correct_rejected,1813,6000,3000,3000,0.30216666666666664,,0.6043333333333333
stackoverflow,0.5,87,DA-ADB,oos_false_accept,1187,6000,3000,3000,0.19783333333333333,,0.39566666666666667
stackoverflow,0.5,100,S2C-Trainable-K1,known_correct,2484,6000,3000,3000,0.414,0.828,
stackoverflow,0.5,100,S2C-Trainable-K1,known_wrong,22,6000,3000,3000,0.0036666666666666666,0.007333333333333333,
stackoverflow,0.5,100,S2C-Trainable-K1,known_rejected,494,6000,3000,3000,0.08233333333333333,0.16466666666666666,
stackoverflow,0.5,100,S2C-Trainable-K1,oos_correct_rejected,2868,6000,3000,3000,0.478,,0.956
stackoverflow,0.5,100,S2C-Trainable-K1,oos_false_accept,132,6000,3000,3000,0.022,,0.044
stackoverflow,0.5,100,ADB,known_correct,2453,6000,3000,3000,0.4088333333333333,0.8176666666666667,
stackoverflow,0.5,100,ADB,known_wrong,12,6000,3000,3000,0.002,0.004,
stackoverflow,0.5,100,ADB,known_rejected,535,6000,3000,3000,0.08916666666666667,0.17833333333333334,
stackoverflow,0.5,100,ADB,oos_correct_rejected,2841,6000,3000,3000,0.4735,,0.947
stackoverflow,0.5,100,ADB,oos_false_accept,159,6000,3000,3000,0.0265,,0.053
stackoverflow,0.5,100,DA-ADB,known_correct,2203,6000,3000,3000,0.36716666666666664,0.7343333333333333,
stackoverflow,0.5,100,DA-ADB,known_wrong,27,6000,3000,3000,0.0045,0.009,
stackoverflow,0.5,100,DA-ADB,known_rejected,770,6000,3000,3000,0.12833333333333333,0.25666666666666665,
stackoverflow,0.5,100,DA-ADB,oos_correct_rejected,2481,6000,3000,3000,0.4135,,0.827
stackoverflow,0.5,100,DA-ADB,oos_false_accept,519,6000,3000,3000,0.0865,,0.173
