dataset,seed,gold_type,count,frozen_k1_accept_rate,frozen_k2_accept_rate,mogb_accept_rate,k2_added_acceptance_rate,k2_removed_acceptance_rate,mogb_added_acceptance_rate,mogb_removed_acceptance_rate,k2_added_known_count,k2_added_oos_count
clinc150,13,Known,2250,0.7653333333333333,0.764,0.3164444444444444,0.05733333333333333,0.058666666666666666,0.0008888888888888889,0.4497777777777778,129,0
clinc150,13,OOS,3450,0.06057971014492754,0.06811594202898551,0.010434782608695653,0.022608695652173914,0.015072463768115942,0.0,0.050144927536231884,0,78
clinc150,42,Known,2250,0.7306666666666667,0.7311111111111112,0.30044444444444446,0.060444444444444446,0.06,0.0017777777777777779,0.432,136,0
clinc150,42,OOS,3450,0.06869565217391305,0.05536231884057971,0.008985507246376812,0.01565217391304348,0.028985507246376812,0.0,0.059710144927536235,0,54
clinc150,87,Known,2250,0.772,0.76,0.3328888888888889,0.052444444444444446,0.06444444444444444,0.00044444444444444447,0.43955555555555553,118,0
clinc150,87,OOS,3450,0.06492753623188406,0.06173913043478261,0.007536231884057971,0.01884057971014493,0.022028985507246378,0.0,0.057391304347826085,0,65
banking77,13,Known,1520,0.8486842105263158,0.8335526315789473,0.33223684210526316,0.046052631578947366,0.06118421052631579,0.001973684210526316,0.5184210526315789,70,0
banking77,13,OOS,1560,0.27564102564102566,0.32564102564102565,0.010256410256410256,0.11217948717948718,0.06217948717948718,0.0,0.2653846153846154,0,175
banking77,42,Known,1520,0.8355263157894737,0.8302631578947368,0.30657894736842106,0.045394736842105265,0.0506578947368421,0.0059210526315789476,0.5348684210526315,69,0
banking77,42,OOS,1560,0.22756410256410256,0.2782051282051282,0.008333333333333333,0.11538461538461539,0.06474358974358975,0.000641025641025641,0.21987179487179487,0,180
banking77,87,Known,1520,0.8315789473684211,0.8243421052631579,0.35657894736842105,0.053289473684210525,0.060526315789473685,0.0006578947368421052,0.4756578947368421,81,0
banking77,87,OOS,1560,0.20064102564102565,0.2846153846153846,0.004487179487179487,0.14487179487179488,0.060897435897435896,0.0,0.19615384615384615,0,226
stackoverflow,13,Known,3000,0.8353333333333334,0.8816666666666667,0.2896666666666667,0.091,0.04466666666666667,0.0,0.5456666666666666,273,0
stackoverflow,13,OOS,3000,0.347,0.54,0.010666666666666666,0.2703333333333333,0.07733333333333334,0.0,0.3363333333333333,0,811
stackoverflow,42,Known,3000,0.838,0.869,0.2813333333333333,0.09433333333333334,0.06333333333333334,0.0,0.5566666666666666,283,0
stackoverflow,42,OOS,3000,0.193,0.4706666666666667,0.008666666666666666,0.316,0.03833333333333333,0.0,0.18433333333333332,0,948
stackoverflow,87,Known,3000,0.838,0.871,0.2793333333333333,0.071,0.038,0.0,0.5586666666666666,213,0
stackoverflow,87,OOS,3000,0.25633333333333336,0.45,0.008333333333333333,0.229,0.035333333333333335,0.0,0.248,0,687
