dataset,seed,gold_type,method,count,score_spearman_with_s2c,s2c_only_correct_rate,baseline_only_correct_rate,both_correct_rate,both_wrong_rate
clinc150,13,Known,msp,2250,0.7465016904365479,0.0,0.21333333333333335,0.7413333333333333,0.04533333333333334
clinc150,13,OOS,msp,3450,0.6355844322747028,0.19014492753623188,0.0,0.7776811594202898,0.03217391304347826
clinc150,13,Known,energy,2250,0.7778506148840721,0.00044444444444444447,0.20977777777777779,0.7408888888888889,0.04888888888888889
clinc150,13,OOS,energy,3450,0.6806345260115032,0.16608695652173913,0.0008695652173913044,0.8017391304347826,0.03130434782608696
clinc150,13,Known,knn,2250,0.7648298960651646,0.006666666666666667,0.2,0.7346666666666667,0.058666666666666666
clinc150,13,OOS,knn,3450,0.7252241222255275,0.18666666666666668,0.0,0.7811594202898551,0.03217391304347826
clinc150,13,Known,lof,2250,0.7805929313148852,0.008888888888888889,0.21244444444444444,0.7324444444444445,0.04622222222222222
clinc150,13,OOS,lof,3450,0.7628885543481084,0.34695652173913044,0.0002898550724637681,0.6208695652173913,0.03188405797101449
clinc150,42,Known,msp,2250,0.7781020174687113,0.00044444444444444447,0.2111111111111111,0.7293333333333333,0.059111111111111114
clinc150,42,OOS,msp,3450,0.5583788645159087,0.14173913043478262,0.004347826086956522,0.8101449275362319,0.043768115942028986
clinc150,42,Known,energy,2250,0.8349907774796598,0.0008888888888888889,0.20044444444444445,0.7288888888888889,0.06977777777777777
clinc150,42,OOS,energy,3450,0.6003460233526334,0.14666666666666667,0.002318840579710145,0.8052173913043478,0.04579710144927536
clinc150,42,Known,knn,2250,0.758153046022001,0.008444444444444444,0.20177777777777778,0.7213333333333334,0.06844444444444445
clinc150,42,OOS,knn,3450,0.6936902825123568,0.1701449275362319,0.0005797101449275362,0.7817391304347826,0.04753623188405797
clinc150,42,Known,lof,2250,0.7448105606704585,0.014222222222222223,0.21244444444444444,0.7155555555555555,0.057777777777777775
clinc150,42,OOS,lof,3450,0.5892329153807916,0.2663768115942029,0.005797101449275362,0.6855072463768116,0.042318840579710144
clinc150,87,Known,msp,2250,0.8047801451417571,0.00044444444444444447,0.18977777777777777,0.7368888888888889,0.07288888888888889
clinc150,87,OOS,msp,3450,0.5137077412501139,0.11072463768115942,0.0002898550724637681,0.861159420289855,0.02782608695652174
clinc150,87,Known,energy,2250,0.8445734630268569,0.00044444444444444447,0.19066666666666668,0.7368888888888889,0.072
clinc150,87,OOS,energy,3450,0.5668230560146491,0.1336231884057971,0.0005797101449275362,0.8382608695652174,0.02753623188405797
clinc150,87,Known,knn,2250,0.835053687121716,0.0035555555555555557,0.18488888888888888,0.7337777777777778,0.07777777777777778
clinc150,87,OOS,knn,3450,0.6665409437565791,0.15391304347826087,0.0005797101449275362,0.8179710144927537,0.02753623188405797
clinc150,87,Known,lof,2250,0.775660780927943,0.0057777777777777775,0.19377777777777777,0.7315555555555555,0.06888888888888889
clinc150,87,OOS,lof,3450,0.6280131147801327,0.2808695652173913,0.0002898550724637681,0.6910144927536231,0.02782608695652174
banking77,13,Known,msp,1520,0.6718918948037683,0.005263157894736842,0.12631578947368421,0.7927631578947368,0.0756578947368421
banking77,13,OOS,msp,1560,0.6384827163390516,0.275,0.016666666666666666,0.5891025641025641,0.11923076923076924
banking77,13,Known,energy,1520,0.7885760945265575,0.0059210526315789476,0.10855263157894737,0.7921052631578948,0.09342105263157895
banking77,13,OOS,energy,1560,0.7287950890841095,0.29935897435897435,0.007692307692307693,0.5647435897435897,0.1282051282051282
banking77,13,Known,knn,1520,0.8648316723844618,0.009868421052631578,0.12368421052631579,0.7881578947368421,0.07828947368421052
banking77,13,OOS,knn,1560,0.8637497543603272,0.34423076923076923,0.001282051282051282,0.5198717948717949,0.1346153846153846
banking77,13,Known,lof,1520,0.7198813900699144,0.011842105263157895,0.13815789473684212,0.7861842105263158,0.06381578947368421
banking77,13,OOS,lof,1560,0.703546711857581,0.46089743589743587,0.007051282051282051,0.4032051282051282,0.12884615384615383
banking77,42,Known,msp,1520,0.6548970619615073,0.009210526315789473,0.12697368421052632,0.7842105263157895,0.07960526315789473
banking77,42,OOS,msp,1560,0.6210293036394624,0.2705128205128205,0.01987179487179487,0.5833333333333334,0.12628205128205128
banking77,42,Known,energy,1520,0.7554214862467391,0.01118421052631579,0.1118421052631579,0.7822368421052631,0.09473684210526316
