dataset,seed,method,gold_type,state,count,score_median,score_q25,score_q75,margin_median,margin_q25,margin_q75
clinc150,13,trainable_k1,Known,Known correct,1668,0.8109842579617672,0.7271656732930835,0.8888077705116162,0.5486606691174547,0.44815953834080907,0.6571637343564141
clinc150,13,trainable_k1,Known,Known rejected,573,1.0927510919086243,1.0436269002105196,1.1887130924464104,0.24433555202335122,0.12171225711646771,0.3554299586164895
clinc150,13,trainable_k1,Known,Known wrong intent,9,0.9848345188842831,0.9479165094756064,0.9960259258052815,-0.2386099301930854,-0.2544801814841263,-0.08178347298816668
clinc150,13,trainable_k1,OOS,OOS accepted,111,0.9324388284074414,0.8622635172868445,0.9700659135306746,0.4238941828624829,0.31213669864075483,0.5106450788306156
clinc150,13,trainable_k1,OOS,OOS rejected,3339,1.3741516355521113,1.2578983869130658,1.481637362151094,0.0726818773929303,0.028553459302664397,0.1426278631134711
clinc150,13,mogb,Known,Known correct,706,0.9007223680426859,0.8156914817436789,0.9539394513890529,0.4354557702190902,0.3687247784715847,0.5154939135312944
clinc150,13,mogb,Known,Known rejected,1538,1.1688517472969735,1.083743351761483,1.2922415596266714,0.15693813007414759,0.025717620270007457,0.26051846486301544
clinc150,13,mogb,Known,Known wrong intent,6,0.9634678774511989,0.9303538042679417,0.979292417483229,-0.608446903172019,-0.6560286835230638,-0.5243621146963706
clinc150,13,mogb,OOS,OOS accepted,36,0.9465764563337784,0.9003137245039223,0.9709120695185119,0.3640540051705831,0.13437050756919536,0.45309708846554336
clinc150,13,mogb,OOS,OOS rejected,3414,1.4106624514681387,1.3173212156465293,1.5374833925955553,0.08830961450934804,-0.06711781562363334,0.22127538968964133
clinc150,42,trainable_k1,Known,Known correct,1642,0.8317585387906099,0.7512890743767521,0.9074863307431027,0.4031414697566243,0.31729059531073756,0.49884128593824767
clinc150,42,trainable_k1,Known,Known rejected,587,1.0952302040309174,1.0461434271084473,1.17595690366228,0.1469298452178367,0.05889842508536269,0.2406230590835431
clinc150,42,trainable_k1,Known,Known wrong intent,21,0.9127901945460885,0.896672232402186,0.9632975755574836,-0.13480832472618698,-0.2917875772233628,-0.04559745643935187
clinc150,42,trainable_k1,OOS,OOS accepted,166,0.9480625272506931,0.8973802833875375,0.9769264925154777,0.2931267150511483,0.20237779255901026,0.36790927809705976
clinc150,42,trainable_k1,OOS,OOS rejected,3284,1.2954719848198466,1.216445164320084,1.3669090345724286,0.07016638049729762,0.03025563383273694,0.11886821927861879
clinc150,42,mogb,Known,Known correct,671,0.8983106367167989,0.8222294621744728,0.9498159576716594,0.4552363483070746,0.3751096219009463,0.5275485270488934
clinc150,42,mogb,Known,Known rejected,1574,1.1739471264478492,1.0880351132202755,1.3097365944700452,0.16861808955419832,0.021786043276478817,0.2708084567398402
clinc150,42,mogb,Known,Known wrong intent,5,0.9758128384491505,0.9450807891495393,0.9863162727069898,-0.29305842963066897,-0.32269367058024834,-0.25861595466089327
clinc150,42,mogb,OOS,OOS accepted,31,0.9573946094213986,0.9373921442277711,0.9770013059739471,0.23119691325946623,0.20378844879099245,0.25790657274138323
clinc150,42,mogb,OOS,OOS rejected,3419,1.4499487194438265,1.3492287160697476,1.5642958261275832,0.06361957319579181,-0.06258039125052373,0.2030916471760681
clinc150,87,trainable_k1,Known,Known correct,1659,0.8092563434856157,0.7275833635156645,0.8908808057675999,0.4676534400924731,0.37584296681288865,0.5682032224181641
