dataset,seed,comparison,gold_type,transition,count,rate_within_gold_type,mean_embedding_movement_norm,median_embedding_movement_norm,mean_delta_score,mean_delta_distance,mean_delta_radius
clinc150,13,trainable_vs_frozen,Known,baseline_only_correct,125,0.05555555555555555,0.4177839485874757,0.41346263351106094,0.09972975444322031,2.7481652044238687,0.5091698516578508
clinc150,13,trainable_vs_frozen,Known,both_correct,1535,0.6822222222222222,0.44858351896681775,0.44140421246065564,-0.03851365323672429,-0.35998920639846715,0.6057229421402205
clinc150,13,trainable_vs_frozen,Known,both_wrong,457,0.2031111111111111,0.47002163270912267,0.4663191154263194,0.06719883730369507,2.7448823984485156,1.1177067575300785
clinc150,13,trainable_vs_frozen,Known,trainable_only_correct,133,0.059111111111111114,0.5139067445163702,0.4995211023910374,-0.09038023279064196,-1.133804312726342,0.9017706609736718
clinc150,13,trainable_vs_frozen,OOS,baseline_only_correct,16,0.00463768115942029,0.5817660640756309,0.5894442582926165,-0.04985388142818311,-0.2398168960762661,0.8705249327211597
clinc150,13,trainable_vs_frozen,OOS,both_correct,3225,0.9347826086956522,0.4460638786812116,0.4377821716217875,0.22026930878326317,6.0369573020007445,0.9874957095116487
clinc150,13,trainable_vs_frozen,OOS,both_wrong,95,0.02753623188405797,0.45504541144834443,0.4733742076077054,0.02447177588442476,1.1434186504566164,0.6763989743863887
clinc150,13,trainable_vs_frozen,OOS,trainable_only_correct,114,0.03304347826086956,0.3994195663164301,0.38531200515247876,0.1577214509267273,4.131547828495456,0.6010796705748738
clinc150,13,trainable_vs_mogb,Known,baseline_only_correct,9,0.004,0.44790470781610786,0.4251566386787363,0.11964593497932546,3.2653264156389796,0.5882611101431507
clinc150,13,trainable_vs_mogb,Known,both_correct,697,0.30977777777777776,0.42729569564474407,0.4147844392767068,-0.032875391141794594,-0.2785307020533878,0.6015674816013961
clinc150,13,trainable_vs_mogb,Known,both_wrong,573,0.25466666666666665,0.4589733636145873,0.4536161402789645,0.07347168331304932,2.7374240294994836,0.9932702786338373
clinc150,13,trainable_vs_mogb,Known,trainable_only_correct,971,0.4315555555555556,0.4728117392073696,0.46814764332208636,-0.04966517101307553,-0.5244526324233154,0.6492561065072746
clinc150,13,trainable_vs_mogb,OOS,baseline_only_correct,77,0.022318840579710144,0.49562287392252924,0.506658858358973,-0.011185033848767303,0.4597422411932293,0.7510250948279533
clinc150,13,trainable_vs_mogb,OOS,both_correct,3337,0.9672463768115942,0.44452451847748203,0.4362138204537594,0.2181578906357789,5.973007205849989,0.9747731716400392
clinc150,13,trainable_vs_mogb,OOS,both_wrong,34,0.009855072463768115,0.4227826417872961,0.4135095804701582,0.07024718272130899,2.0408102613023424,0.598746152602738
clinc150,13,trainable_vs_mogb,OOS,trainable_only_correct,2,0.0005797101449275362,0.3557605738114542,0.3557605738114542,0.17794259003829294,4.1293527397353085,0.18933592889598572
clinc150,42,trainable_vs_frozen,Known,baseline_only_correct,93,0.04133333333333333,0.3506492138625766,0.3370711791234042,0.08438803321225125,2.133220777912692,0.25021997208356406
clinc150,42,trainable_vs_frozen,Known,both_correct,1504,0.6684444444444444,0.377159406004822,0.3692036346850005,-0.025270679989754526,-0.20702431127426202,0.4184628357280247
clinc150,42,trainable_vs_frozen,Known,both_wrong,515,0.2288888888888889,0.3872453460693491,0.3865747001997152,0.042294764179398966,1.788000526209908,0.783080079812983
clinc150,42,trainable_vs_frozen,Known,trainable_only_correct,138,0.06133333333333333,0.4298838223390269,0.43342429090064843,-0.07518378167670033,-0.7999911794802864,0.8643748046468822
clinc150,42,trainable_vs_frozen,OOS,baseline_only_correct,16,0.00463768115942029,0.44192307054087143,0.4521893757791637,-0.055051141070053926,-0.586774854434633,0.5926940731018164
clinc150,42,trainable_vs_frozen,OOS,both_correct,3197,0.9266666666666666,0.3602658683383127,0.35262974813074777,0.11980351969854365,3.2590591979269665,0.578832676631683
clinc150,42,trainable_vs_frozen,OOS,both_wrong,150,0.043478260869565216,0.39111649427629713,0.3769998054085816,0.015894673105191822,0.7679206096865646,0.4422166387344377
clinc150,42,trainable_vs_frozen,OOS,trainable_only_correct,87,0.025217391304347827,0.35197329884354067,0.3488983739313837,0.09697320299746276,2.524093409849676,0.37412851488105997
clinc150,42,trainable_vs_mogb,Known,baseline_only_correct,8,0.0035555555555555557,0.33575821443408826,0.3061724240217061,0.070890146766651,1.7411713132144602,0.1549512298207123
clinc150,42,trainable_vs_mogb,Known,both_correct,663,0.2946666666666667,0.35201324029905773,0.341490573924221,-0.01644431581811951,-0.07357388947558838,0.3838299752940763
clinc150,42,trainable_vs_mogb,Known,both_wrong,600,0.26666666666666666,0.38225944066576945,0.37990211348320313,0.04843794911166104,1.8421340547304452,0.7088618144481533
clinc150,42,trainable_vs_mogb,Known,trainable_only_correct,979,0.4351111111111111,0.4016209762980212,0.39657863324469467,-0.03828384391068663,-0.3809845334039372,0.50477278279494
clinc150,42,trainable_vs_mogb,OOS,baseline_only_correct,136,0.03942028985507246,0.4082384337986531,0.3879566193815438,-0.0015618038264956788,0.4458862977298693,0.49513817288318
clinc150,42,trainable_vs_mogb,OOS,both_correct,3283,0.9515942028985507,0.36006705951346674,0.35260034178209315,0.11918633933258829,3.2394560886442383,0.5735396355519923
clinc150,42,trainable_vs_mogb,OOS,both_wrong,30,0.008695652173913044,0.34059387578272304,0.34771479307300224,0.057192934302044106,1.5053052430256115,0.2825603155894074
clinc150,42,trainable_vs_mogb,OOS,trainable_only_correct,1,0.0002898550724637681,0.29150169426254174,0.29150169426254174,0.15976910813586853,3.6740434104006034,0.1466244689519982
clinc150,87,trainable_vs_frozen,Known,baseline_only_correct,123,0.05466666666666667,0.40718962085823385,0.4014067910516734,0.09221119872712147,2.464078594969724,0.3995823450216322
clinc150,87,trainable_vs_frozen,Known,both_correct,1546,0.6871111111111111,0.4281674597041846,0.42442149419445596,-0.028089228545411873,-0.21457200745480492,0.5045522248559839
clinc150,87,trainable_vs_frozen,Known,both_wrong,468,0.208,0.44738402408740124,0.4417303305756549,0.06408722553262883,2.251303294313537,0.7737702502546483
clinc150,87,trainable_vs_frozen,Known,trainable_only_correct,113,0.050222222222222224,0.49541530188914035,0.49236626715387954,-0.06865410560842523,-0.6974949762873675,0.8739423384405876
clinc150,87,trainable_vs_frozen,OOS,baseline_only_correct,6,0.0017391304347826088,0.4470393857980628,0.43255130123830154,-0.09367948606512794,-0.30538405772760474,1.7026407915398387
clinc150,87,trainable_vs_frozen,OOS,both_correct,3220,0.9333333333333333,0.42063086472919,0.4153492727433442,0.14839416180401951,3.690318616245265,0.44436033426359134
clinc150,87,trainable_vs_frozen,OOS,both_wrong,91,0.0263768115942029,0.4366357759222677,0.4284044208610761,0.025356739316315848,1.1257615907956018,0.6066431237235165
clinc150,87,trainable_vs_frozen,OOS,trainable_only_correct,133,0.03855072463768116,0.423074721938888,0.41869682760060345,0.13881628925171433,3.5653964229768134,0.479049925750158
clinc150,87,trainable_vs_mogb,Known,baseline_only_correct,4,0.0017777777777777779,0.43479504382375334,0.4036454907495625,0.16317177802833444,3.333959201002213,-0.34246195758914766
clinc150,87,trainable_vs_mogb,Known,both_correct,745,0.33111111111111113,0.406366436037855,0.3966611668741592,-0.021088221717075695,-0.1101919210999673,0.4821315138079951
