dataset,kir,method,method_label,n_seeds,oos_f1_mean,oos_f1_std,known_recall_mean,known_recall_std,f1_all_mean,f1_all_std,accuracy_mean,accuracy_std,false_accept_mean,false_accept_std,auroc_mean,auroc_std
banking77,0.25,fixed_k2,Fixed K=2,5,0.8577784166123713,0.03175919520536074,0.8189473684210526,0.019771898690801946,0.7109974813224451,0.022029938729008988,0.7975974025974025,0.03756887754457831,0.20327586206896547,0.05330347459857209,0.8880257486388384,0.02195384948734977
banking77,0.25,mogb_minilm,MOGB-MiniLM,5,0.9029919725157672,0.004345545482740943,0.3997368421052631,0.022626223356528193,0.5587572321670984,0.029774536226248104,0.8401948051948052,0.0074900845233082216,0.01499999999999994,0.0064106870491649265,0.8690423094373866,0.025547650029819256
banking77,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.9205598966754222,0.004509605546132505,0.616842105263158,0.03248961052773283,0.7114966831111289,0.03032860301737084,0.8742857142857142,0.007874297040858383,0.0401724137931034,0.0047354979196455845,0.8916474591651543,0.012543410063866606
banking77,0.25,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.9067732430505278,0.009602934276313787,0.5386842105263158,0.01921683385995492,0.6549065911705718,0.019568953029171277,0.8508441558441557,0.013474221560151413,0.0450862068965517,0.01866085626332246,0.8775311932849366,0.023857419438173138
banking77,0.25,random_partition,Random partition,5,0.8500483735063608,0.02443395835719756,0.8473684210526315,0.008217102629471576,0.693146655424499,0.027109730408082476,0.7888961038961039,0.02862800626051965,0.2231034482758621,0.04080578657002089,0.8943634301270418,0.00936768794405229
banking77,0.25,single_centroid,Single centroid,5,0.8517237093485583,0.025265382256290114,0.8389473684210526,0.008757663838049344,0.6928544335841691,0.030262672116638623,0.7904545454545454,0.030026412165949087,0.21836206896551724,0.04175209237389305,0.8915661297640654,0.010464869829698532
banking77,0.5,fixed_k2,Fixed K=2,5,0.7546157036165422,0.02152853677583116,0.8255263157894737,0.007030552635469753,0.7616393362174011,0.010872629981106366,0.7479220779220779,0.01520541587564855,0.2905128205128205,0.03548121800378637,0.859762230094467,0.013002373982499552
banking77,0.5,mogb_minilm,MOGB-MiniLM,5,0.7499368546965275,0.006406834213942418,0.33407894736842103,0.02139119217091644,0.48600815327809965,0.02507951184173857,0.6651298701298701,0.01093003941032308,0.01089743589743584,0.004902903378454608,0.8356215418353576,0.012156138383550072
banking77,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,5,0.7939747596576892,0.007797331809627128,0.5218421052631579,0.020199618424305323,0.6480972658162543,0.019765373642870485,0.7438311688311688,0.011074712922604237,0.03499999999999994,0.008702380518741112,0.8545895748987855,0.009753977751105713
banking77,0.5,ours_partition_mogb_boundary,s2c partition + MOGB boundary,5,0.7885946611939285,0.008579758994922679,0.5325,0.012154149001478381,0.656780700176241,0.008903644780417778,0.7361038961038961,0.008716187107485545,0.05243589743589738,0.01632666007056647,0.8464349696356275,0.016610261889607267
