dataset,stage,count,rate,method,method_label,seed
banking77_oos,correct_oos_rejection,2263,0.5546568627450981,frozen_k1,Frozen K=1,13
banking77_oos,oos_accepted_by_gate,817,0.2002450980392157,frozen_k1,Frozen K=1,13
banking77_oos,known_rejected_by_gate,91,0.0223039215686274,frozen_k1,Frozen K=1,13
banking77_oos,known_wrong_domain,0,0.0,frozen_k1,Frozen K=1,13
banking77_oos,known_wrong_expert,103,0.0252450980392156,frozen_k1,Frozen K=1,13
banking77_oos,correct_known_prediction,806,0.1975490196078431,frozen_k1,Frozen K=1,13
banking77_oos,correct_oos_rejection,2424,0.5941176470588235,frozen_k1,Frozen K=1,42
banking77_oos,oos_accepted_by_gate,656,0.1607843137254902,frozen_k1,Frozen K=1,42
banking77_oos,known_rejected_by_gate,123,0.0301470588235294,frozen_k1,Frozen K=1,42
banking77_oos,known_wrong_domain,0,0.0,frozen_k1,Frozen K=1,42
banking77_oos,known_wrong_expert,103,0.0252450980392156,frozen_k1,Frozen K=1,42
banking77_oos,correct_known_prediction,774,0.1897058823529411,frozen_k1,Frozen K=1,42
banking77_oos,correct_oos_rejection,2367,0.5801470588235295,frozen_k1,Frozen K=1,87
banking77_oos,oos_accepted_by_gate,713,0.1747549019607843,frozen_k1,Frozen K=1,87
banking77_oos,known_rejected_by_gate,121,0.029656862745098,frozen_k1,Frozen K=1,87
banking77_oos,known_wrong_domain,0,0.0,frozen_k1,Frozen K=1,87
banking77_oos,known_wrong_expert,120,0.0294117647058823,frozen_k1,Frozen K=1,87
banking77_oos,correct_known_prediction,759,0.1860294117647059,frozen_k1,Frozen K=1,87
clinc150,correct_oos_rejection,2964,0.5389090909090909,frozen_k1,Frozen K=1,13
clinc150,oos_accepted_by_gate,286,0.052,frozen_k1,Frozen K=1,13
clinc150,known_rejected_by_gate,603,0.1096363636363636,frozen_k1,Frozen K=1,13
clinc150,known_wrong_domain,47,0.0085454545454545,frozen_k1,Frozen K=1,13
clinc150,known_wrong_expert,65,0.0118181818181818,frozen_k1,Frozen K=1,13
