dataset,seed,gate,stage,count,rate
clinc150,13,frozen_k1,correct_oos_rejection,1960,0.3563636363636364
clinc150,13,frozen_k1,oos_accepted_by_gate,180,0.03272727272727273
clinc150,13,frozen_k1,known_rejected_by_gate,855,0.15545454545454546
clinc150,13,frozen_k1,known_wrong_domain,75,0.013636363636363636
clinc150,13,frozen_k1,known_wrong_expert,104,0.01890909090909091
clinc150,13,frozen_k1,correct_known_prediction,2326,0.4229090909090909
clinc150,42,frozen_k1,correct_oos_rejection,1996,0.3629090909090909
clinc150,42,frozen_k1,oos_accepted_by_gate,144,0.02618181818181818
clinc150,42,frozen_k1,known_rejected_by_gate,855,0.15545454545454546
clinc150,42,frozen_k1,known_wrong_domain,70,0.012727272727272728
clinc150,42,frozen_k1,known_wrong_expert,119,0.021636363636363638
clinc150,42,frozen_k1,correct_known_prediction,2316,0.42109090909090907
clinc150,87,frozen_k1,correct_oos_rejection,1889,0.34345454545454546
clinc150,87,frozen_k1,oos_accepted_by_gate,251,0.045636363636363635
clinc150,87,frozen_k1,known_rejected_by_gate,829,0.15072727272727274
clinc150,87,frozen_k1,known_wrong_domain,83,0.01509090909090909
clinc150,87,frozen_k1,known_wrong_expert,105,0.019090909090909092
clinc150,87,frozen_k1,correct_known_prediction,2343,0.426
stackoverflow,13,frozen_k1,correct_oos_rejection,899,0.15008347245409015
stackoverflow,13,frozen_k1,oos_accepted_by_gate,600,0.1001669449081803
stackoverflow,13,frozen_k1,known_rejected_by_gate,759,0.1267111853088481
stackoverflow,13,frozen_k1,known_wrong_domain,0,0.0
stackoverflow,13,frozen_k1,known_wrong_expert,279,0.04657762938230384
stackoverflow,13,frozen_k1,correct_known_prediction,3453,0.5764607679465776
stackoverflow,42,frozen_k1,correct_oos_rejection,1089,0.18180300500834726
stackoverflow,42,frozen_k1,oos_accepted_by_gate,410,0.06844741235392321
stackoverflow,42,frozen_k1,known_rejected_by_gate,731,0.12203672787979966
stackoverflow,42,frozen_k1,known_wrong_domain,0,0.0
stackoverflow,42,frozen_k1,known_wrong_expert,328,0.054757929883138566
stackoverflow,42,frozen_k1,correct_known_prediction,3432,0.5729549248747913
stackoverflow,87,frozen_k1,correct_oos_rejection,1113,0.18580968280467447
stackoverflow,87,frozen_k1,oos_accepted_by_gate,384,0.06410684474123539
stackoverflow,87,frozen_k1,known_rejected_by_gate,721,0.12036727879799666
stackoverflow,87,frozen_k1,known_wrong_domain,0,0.0
stackoverflow,87,frozen_k1,known_wrong_expert,250,0.041736227045075125
stackoverflow,87,frozen_k1,correct_known_prediction,3522,0.5879799666110184
banking77_oos,13,frozen_k1,correct_oos_rejection,1906,0.46715686274509804
banking77_oos,13,frozen_k1,oos_accepted_by_gate,654,0.16029411764705884
banking77_oos,13,frozen_k1,known_rejected_by_gate,134,0.03284313725490196
banking77_oos,13,frozen_k1,known_wrong_domain,0,0.0
banking77_oos,13,frozen_k1,known_wrong_expert,210,0.051470588235294115
banking77_oos,13,frozen_k1,correct_known_prediction,1176,0.28823529411764703
banking77_oos,42,frozen_k1,correct_oos_rejection,2047,0.5017156862745098
banking77_oos,42,frozen_k1,oos_accepted_by_gate,513,0.12573529411764706
banking77_oos,42,frozen_k1,known_rejected_by_gate,155,0.03799019607843137
banking77_oos,42,frozen_k1,known_wrong_domain,0,0.0
banking77_oos,42,frozen_k1,known_wrong_expert,211,0.0517156862745098
banking77_oos,42,frozen_k1,correct_known_prediction,1154,0.28284313725490196
banking77_oos,87,frozen_k1,correct_oos_rejection,1891,0.46348039215686276
banking77_oos,87,frozen_k1,oos_accepted_by_gate,669,0.16397058823529412
banking77_oos,87,frozen_k1,known_rejected_by_gate,172,0.04215686274509804
banking77_oos,87,frozen_k1,known_wrong_domain,0,0.0
banking77_oos,87,frozen_k1,known_wrong_expert,200,0.049019607843137254
banking77_oos,87,frozen_k1,correct_known_prediction,1148,0.28137254901960784
