dataset,kir,seed,gate,known_f1,oos_f1,f1_all,accuracy,known_recall,false_acceptance,router_error,expert_error
clinc150,0.25,13,frozen_k1,71.69982360247691,94.20421100294317,71.71954699196024,89.60000000000001,72.54385964912281,4.564220183486238,2.2974607013301087,4.957678355501813
clinc150,0.25,42,frozen_k1,71.36111857210011,94.68228931951329,71.38155781026612,90.01818181818182,72.45614035087719,3.6238532110091746,3.5108958837772395,5.811138014527845
clinc150,0.25,87,frozen_k1,75.55703053007151,93.99382221713762,75.57318898027928,89.87272727272727,76.05263157894737,5.779816513761468,1.6147635524798154,2.0761245674740483
stackoverflow,0.25,13,frozen_k1,82.46184019123042,96.14035087719299,82.47096528174808,92.23706176961602,83.71161548731642,2.404274265360641,0.0,9.011164274322168
stackoverflow,0.25,42,frozen_k1,72.25860342146304,91.27318238707474,72.27129673185395,85.17529215358931,80.96192384769539,10.727798798130426,0.0,9.983498349834983
stackoverflow,0.25,87,frozen_k1,82.87555707102882,94.14268115130474,82.88308857108248,90.50083472454091,84.54849498327759,6.496106785317019,0.0,3.6392405063291138
banking77_oos,0.25,13,frozen_k1,64.4416839577406,92.49815770081061,64.5000134249819,86.83823529411765,90.20833333333333,12.833333333333332,0.0,6.466512702078522
banking77_oos,0.25,42,frozen_k1,58.2690839636319,91.13322441705036,58.337408579959174,84.50980392156863,86.45833333333334,14.777777777777779,0.0,8.433734939759036
banking77_oos,0.25,87,frozen_k1,58.99392198942914,91.10257168193911,59.060675938893816,84.63235294117646,82.5,14.38888888888889,0.0,6.313131313131313
clinc150,0.25,13,trainable_k1,75.30724575152165,95.40011191941802,75.32485562546371,91.58181818181819,72.54385964912281,2.2477064220183487,2.176541717049577,4.111245465538089
clinc150,0.25,42,trainable_k1,73.40906029813408,95.20723941459055,73.4281647495946,91.01818181818182,71.05263157894737,2.2706422018348627,2.7160493827160495,5.3086419753086425
clinc150,0.25,87,trainable_k1,77.44823898909443,94.68423443889141,77.46334503243342,90.98181818181818,75.78947368421053,4.4036697247706424,1.3888888888888888,1.8518518518518516
stackoverflow,0.25,13,trainable_k1,82.42506691462994,96.19975906253423,82.43425616889805,92.28714524207011,83.51134846461949,2.226179875333927,0.0,9.192645883293366
stackoverflow,0.25,42,trainable_k1,82.74228613330175,95.98596183373547,82.75112703830871,92.17028380634392,83.36673346693387,2.6040507456042734,0.0,8.253205128205128
stackoverflow,0.25,87,trainable_k1,82.65865428063026,93.94380387327885,82.66619782982322,90.28380634390652,83.81270903010034,6.6518353726362625,0.0,3.2721468475658417
banking77_oos,0.25,13,trainable_k1,65.50511884647746,92.71873165002937,65.5616960040732,87.25490196078431,88.75,12.277777777777779,0.0,5.633802816901409
banking77_oos,0.25,42,trainable_k1,63.32167631219357,93.59492210040392,63.3846144531254,88.38235294117646,81.66666666666667,9.88888888888889,0.0,7.653061224489796
banking77_oos,0.25,87,trainable_k1,59.661108463728475,91.42099056603774,59.72713732464803,85.09803921568627,82.70833333333333,13.86111111111111,0.0,6.54911838790932
clinc150,0.5,13,frozen_k1,73.69990275083227,86.95907290597037,73.70579309741385,81.81818181818183,73.2,8.799999999999999,2.792956891317547,3.9465695203400117
clinc150,0.5,42,frozen_k1,75.14300013530239,88.16362053959965,75.14878450687249,83.30909090909091,73.11111111111111,6.4923076923076914,2.7963525835866263,3.404255319148936
clinc150,0.5,87,frozen_k1,75.96236039540713,88.95027624309392,75.96813023807604,84.10909090909091,74.71111111111111,5.8769230769230765,2.498512790005949,4.283164782867341
stackoverflow,0.5,13,frozen_k1,72.6032905158814,76.62360644133783,72.60463196263665,74.09015025041737,83.5781041388518,27.688710754843022,0.0,9.225239616613418
stackoverflow,0.5,42,frozen_k1,78.40393128191407,84.35800230756551,78.40591994959131,81.0517529215359,82.92682926829268,14.614614614614615,0.0,7.4939564867042705
stackoverflow,0.5,87,frozen_k1,75.5044993030179,76.08426270136307,75.50469288011249,75.07512520868114,83.16633266533067,28.27102803738318,0.0,5.7028112449799195
banking77_oos,0.5,13,frozen_k1,62.91996937640489,83.29039381670961,62.94031945077083,75.24509803921569,90.9,26.525974025974026,0.0,11.221122112211221
banking77_oos,0.5,42,frozen_k1,63.41554925189929,86.15603341034299,63.43826701829134,78.40686274509804,87.7,21.298701298701296,0.0,11.630558722919043
banking77_oos,0.5,87,frozen_k1,60.963980152721525,85.02155172413794,60.988013690754904,76.59313725490196,87.9,23.14935064935065,0.0,13.765642775881684
clinc150,0.5,13,trainable_k1,75.75446195158415,88.62948551664505,75.76018164219501,83.89090909090909,72.71111111111111,5.384615384615385,2.3227383863080684,3.606356968215159
clinc150,0.5,42,trainable_k1,77.20796327744148,89.56248212753789,77.21345173539353,85.14545454545454,72.8,3.6307692307692303,2.442002442002442,2.8693528693528694
clinc150,0.5,87,trainable_k1,77.97328209481888,90.30033050725679,77.9787583491114,85.83636363636363,74.8,3.323076923076923,2.3172905525846703,3.8621509209744507
stackoverflow,0.5,13,trainable_k1,81.53687738861211,88.77534727766246,81.539292627147,84.97495826377296,83.67823765020027,7.147628590514363,0.0,7.857997606701236
stackoverflow,0.5,42,trainable_k1,85.43891180027164,91.49367878882472,85.44093410053502,88.41402337228715,83.99599064483796,2.2022022022022023,0.0,5.926809864757359
stackoverflow,0.5,87,trainable_k1,83.16598664916503,86.08255832925437,83.16696046274771,84.29048414023373,83.46693386773548,11.949265687583445,0.0,3.5214085634253705
banking77_oos,0.5,13,trainable_k1,67.57913782396953,88.40529247910864,67.59994317327536,81.42156862745098,87.5,17.564935064935064,0.0,10.514285714285714
banking77_oos,0.5,42,trainable_k1,64.47960328280259,87.68404642300364,64.5027845446809,80.29411764705883,83.8,17.824675324675322,0.0,11.097852028639618
banking77_oos,0.5,87,trainable_k1,65.530673700431,89.32305055698372,65.55444230867931,82.0343137254902,85.1,15.38961038961039,0.0,12.925969447708576
clinc150,0.75,13,frozen_k1,76.58472764749001,79.11200807265388,76.58547959049066,77.92727272727272,74.55357142857143,8.411214953271028,2.9940119760479043,4.151696606786428
clinc150,0.75,42,frozen_k1,76.68915094975904,79.98397114806653,76.69013125924977,78.4,74.55357142857143,6.728971962616822,2.7944111776447107,4.750499001996008
clinc150,0.75,87,frozen_k1,76.0287694790293,77.76862906545904,76.02928714031653,76.94545454545455,75.32738095238095,11.728971962616823,3.2793362307388385,4.1485578822599765
stackoverflow,0.75,13,frozen_k1,77.35973847083982,56.95280329426671,77.35519551999909,72.65442404006677,83.0995323981296,40.0266844563042,0.0,7.475884244372991
stackoverflow,0.75,42,frozen_k1,78.54415406881208,65.62217535402229,78.54127740391563,75.47579298831386,83.7230015586729,27.351567711807874,0.0,8.72340425531915
stackoverflow,0.75,87,frozen_k1,80.79321938765708,66.82677874512159,80.79011159045135,77.37896494156928,83.95281549076341,25.651302605210418,0.0,6.6277836691410394
banking77_oos,0.75,13,frozen_k1,67.74029780363911,82.86956521739131,67.75024472501568,75.5392156862745,91.1842105263158,25.546875000000004,0.0,15.151515151515152
banking77_oos,0.75,42,frozen_k1,69.19735940388331,85.97228055438892,69.20838828037937,78.45588235294117,89.80263157894737,20.0390625,0.0,15.457875457875458
banking77_oos,0.75,87,frozen_k1,66.84304067355795,81.80834955656499,66.85287979839886,74.48529411764706,88.68421052631578,26.132812500000004,0.0,14.836795252225517
clinc150,0.75,13,trainable_k1,78.47218299999248,81.18617439120189,78.47299049519964,80.01818181818182,73.66071428571429,3.411214953271028,2.3434343434343434,3.353535353535354
clinc150,0.75,42,trainable_k1,78.14031916565071,81.33123276880661,78.14126855976055,79.81818181818183,74.01785714285715,3.5046728971962615,2.2919179734620023,4.2219541616405305
clinc150,0.75,87,trainable_k1,77.55004715913873,79.87271280827368,77.55073822300338,78.85454545454546,73.80952380952381,6.16822429906542,2.661290322580645,3.4274193548387095
stackoverflow,0.75,13,trainable_k1,82.98295288475231,73.98554752640356,82.98094990047842,80.70116861435727,82.89913159652639,11.207471647765177,0.0,5.9092130002686005
stackoverflow,0.75,42,trainable_k1,84.62803654023467,78.4524449220849,84.6266617424568,83.03839732888146,83.01046537519483,2.601734489659773,0.0,5.740343347639485
stackoverflow,0.75,87,trainable_k1,85.12197009310258,73.04643261608153,85.11928305761592,82.02003338898164,83.41865123525484,13.827655310621243,0.0,3.335112059765208
banking77_oos,0.75,13,trainable_k1,70.44667661883733,86.98334361505243,70.45754885223391,79.82843137254902,87.63157894736841,17.3828125,0.0,14.264264264264265
banking77_oos,0.75,42,trainable_k1,69.95783602727847,86.81790312691601,69.96892088401722,79.58333333333333,86.25,17.03125,0.0,14.340198321891688
banking77_oos,0.75,87,trainable_k1,69.8711050183378,86.0135551447936,69.88171806904553,78.92156862745098,85.85526315789474,18.203125,0.0,13.71647509578544
