dataset,kir,seed,selection_contract,threshold,oos_f1,known_recall,false_accept_rate
clinc150,0.25,13,Known-coverage-90,,0.9584007395424081,,
clinc150,0.25,42,Known-coverage-90,,0.9500937207122774,,
clinc150,0.25,87,Known-coverage-90,,0.9471715755025713,,
clinc150,0.50,13,Known-coverage-90,,0.9163591635916359,,
clinc150,0.50,42,Known-coverage-90,,0.9148107771375176,,
clinc150,0.50,87,Known-coverage-90,,0.9327174749807544,,
clinc150,0.75,13,Known-coverage-90,,0.8675902793549852,,
clinc150,0.75,42,Known-coverage-90,,0.8872955411158414,,
clinc150,0.75,87,Known-coverage-90,,0.8492578849721707,,
stackoverflow,0.25,13,Fixed-known-contract,0.90,0.9621609798775154,0.8311081441922563,0.02070347284060552
stackoverflow,0.25,42,Fixed-known-contract,0.90,0.961408111949273,0.8283233132932531,0.021366570220342756
stackoverflow,0.25,87,Fixed-known-contract,0.90,0.9414655942806077,0.8374581939799332,0.0625139043381535
stackoverflow,0.50,13,Fixed-known-contract,0.90,0.895056915640106,0.8167556742323098,0.041416165664662656
stackoverflow,0.50,42,Fixed-known-contract,0.90,0.9158469945355191,0.8412963581690611,0.02135468802135469
stackoverflow,0.50,87,Fixed-known-contract,0.90,0.8662337662337662,0.8343353373413493,0.10947930574098798
stackoverflow,0.75,13,Fixed-known-contract,0.90,0.7479806138933764,0.8160765976397238,0.0733822548365577
stackoverflow,0.75,42,Fixed-known-contract,0.90,0.7867706372680828,0.8314406590959698,0.02401601067378252
stackoverflow,0.75,87,Fixed-known-contract,0.90,0.7437831796591227,0.832851101713777,0.11088844355377421
banking77_oos,0.25,13,Known-coverage-90,,0.8999548668572288,,
banking77_oos,0.25,42,Known-coverage-90,,0.8609333541439051,,
banking77_oos,0.25,87,Known-coverage-90,,0.9116817574588095,,
banking77_oos,0.50,13,Known-coverage-90,,0.8295831796385098,,
banking77_oos,0.50,42,Known-coverage-90,,0.8853838065194533,,
banking77_oos,0.50,87,Known-coverage-90,,0.7916270218839201,,
banking77_oos,0.75,13,Known-coverage-90,,0.7938488968130154,,
banking77_oos,0.75,42,Known-coverage-90,,0.8216615919965202,,
banking77_oos,0.75,87,Known-coverage-90,,0.7817281728172817,,
