k,distance,boundary,rule,fusion,fusion_weight,threshold,utility,known_coverage,known_correct_accept_rate,known_wrong_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,none,0.0,1.0555307034356307,0.7404809619238477,0.750501002004008,0.748496993987976,0.002004008016032064
1,euclidean,mean_std_0.0,nearest_sphere,none,0.25,1.0555307034356307,0.7404809619238477,0.750501002004008,0.748496993987976,0.002004008016032064
1,euclidean,mean_std_0.0,nearest_sphere,none,0.5,1.0555307034356307,0.7404809619238477,0.750501002004008,0.748496993987976,0.002004008016032064
1,euclidean,mean_std_0.0,nearest_sphere,none,1.0,1.0555307034356307,0.7404809619238477,0.750501002004008,0.748496993987976,0.002004008016032064
1,euclidean,mean_std_0.0,nearest_sphere,none,2.0,1.0555307034356307,0.7404809619238477,0.750501002004008,0.748496993987976,0.002004008016032064
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.0,1.0555307034356307,0.7404809619238477,0.750501002004008,0.748496993987976,0.002004008016032064
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.25,1.2413283091280132,0.7404809619238477,0.750501002004008,0.748496993987976,0.002004008016032064
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.5,1.4256503187481622,0.7404809619238477,0.750501002004008,0.748496993987976,0.002004008016032064
1,euclidean,mean_std_0.0,nearest_sphere,ratio,1.0,1.807738535799288,0.7404809619238477,0.750501002004008,0.748496993987976,0.002004008016032064
1,euclidean,mean_std_0.0,nearest_sphere,ratio,2.0,2.5732511798636946,0.7454909819639278,0.750501002004008,0.749498997995992,0.001002004008016032
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.0,1.0555307034356307,0.7404809619238477,0.750501002004008,0.748496993987976,0.002004008016032064
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.25,1.8637451065592894,0.750501002004008,0.750501002004008,0.750501002004008,0.0
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.5,2.7122186485411834,0.750501002004008,0.750501002004008,0.750501002004008,0.0
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,4.427838452565101,0.750501002004008,0.750501002004008,0.750501002004008,0.0
