k,distance,boundary,rule,fusion,fusion_weight,threshold,utility,known_coverage,known_correct_accept_rate,known_wrong_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,none,0.0,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,none,0.25,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,none,0.5,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,none,1.0,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,none,2.0,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.0,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.25,1.3113749271531248,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.5,1.4934411795281737,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,ratio,1.0,1.8355218268366182,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,ratio,2.0,2.5349148949691944,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.0,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.25,1.7222877100889742,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.5,2.2418879968608127,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,3.2891177726333947,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,2.0,5.383577324178559,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.0,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.25,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.5,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,1.0,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,2.0,1.3617244825929882,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,none,0.0,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,none,0.25,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,none,0.5,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,none,1.0,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,none,2.0,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,ratio,0.0,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,ratio,0.25,1.3113749271531248,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,ratio,0.5,1.4934411795281737,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,ratio,1.0,1.8355218268366182,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,ratio,2.0,2.5349148949691944,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.0,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.25,1.7222877100889742,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.5,2.2418879968608127,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,1.0,3.2891177726333947,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,2.0,5.383577324178559,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,max_ratio,0.0,1.1422952173197887,0.792,0.802,0.8,0.002
1,euclidean,mean_std_0.0,normalized_union,max_ratio,0.25,1.1422952173197887,0.792,0.802,0.8,0.002
