k,distance,boundary,rule,fusion,fusion_weight,threshold,utility,known_coverage,known_correct_accept_rate,known_wrong_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,none,0.0,1.1925069017853167,0.7303070761014686,0.8004005340453939,0.7863818424566088,0.014018691588785047
1,euclidean,mean_std_0.0,nearest_sphere,none,0.25,1.1925069017853167,0.7303070761014686,0.8004005340453939,0.7863818424566088,0.014018691588785047
1,euclidean,mean_std_0.0,nearest_sphere,none,0.5,1.1925069017853167,0.7303070761014686,0.8004005340453939,0.7863818424566088,0.014018691588785047
1,euclidean,mean_std_0.0,nearest_sphere,none,1.0,1.1925069017853167,0.7303070761014686,0.8004005340453939,0.7863818424566088,0.014018691588785047
1,euclidean,mean_std_0.0,nearest_sphere,none,2.0,1.1925069017853167,0.7303070761014686,0.8004005340453939,0.7863818424566088,0.014018691588785047
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.0,1.1925069017853167,0.7303070761014686,0.8004005340453939,0.7863818424566088,0.014018691588785047
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.25,1.364193126523019,0.7369826435246996,0.8004005340453939,0.787716955941255,0.012683578104138851
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.5,1.5261199228765219,0.7403204272363151,0.8004005340453939,0.7883845126835781,0.012016021361815754
1,euclidean,mean_std_0.0,nearest_sphere,ratio,1.0,1.8569505097854813,0.746995994659546,0.8004005340453939,0.7897196261682243,0.010680907877169559
1,euclidean,mean_std_0.0,nearest_sphere,ratio,2.0,2.5350190249159987,0.7536715620827771,0.8004005340453939,0.7910547396528705,0.009345794392523364
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.0,1.1925069017853167,0.7303070761014686,0.8004005340453939,0.7863818424566088,0.014018691588785047
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.25,1.7102656719689082,0.7570093457943925,0.8004005340453939,0.7917222963951935,0.008678237650200267
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.5,2.190609629489691,0.7636849132176236,0.8004005340453939,0.7930574098798397,0.007343124165554072
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,3.204722269495039,0.767022696929239,0.8004005340453939,0.7937249666221629,0.006675567423230975
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,2.0,5.21902871702496,0.767022696929239,0.8004005340453939,0.7937249666221629,0.006675567423230975
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.0,1.1925069017853167,0.7303070761014686,0.8004005340453939,0.7863818424566088,0.014018691588785047
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.25,1.1925069017853167,0.7303070761014686,0.8004005340453939,0.7863818424566088,0.014018691588785047
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.5,1.1925069017853167,0.7303070761014686,0.8004005340453939,0.7863818424566088,0.014018691588785047
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,1.0,1.1925069017853167,0.7303070761014686,0.8004005340453939,0.7863818424566088,0.014018691588785047
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,2.0,1.398401695293386,0.7636849132176236,0.8004005340453939,0.7930574098798397,0.007343124165554072
1,euclidean,mean_std_0.0,normalized_union,none,0.0,1.1902871645340742,0.7202937249666221,0.8004005340453939,0.7843791722296395,0.01602136181575434
1,euclidean,mean_std_0.0,normalized_union,none,0.25,1.1902871645340742,0.7202937249666221,0.8004005340453939,0.7843791722296395,0.01602136181575434
1,euclidean,mean_std_0.0,normalized_union,none,0.5,1.1902871645340742,0.7202937249666221,0.8004005340453939,0.7843791722296395,0.01602136181575434
1,euclidean,mean_std_0.0,normalized_union,none,1.0,1.1902871645340742,0.7202937249666221,0.8004005340453939,0.7843791722296395,0.01602136181575434
1,euclidean,mean_std_0.0,normalized_union,none,2.0,1.1902871645340742,0.7202937249666221,0.8004005340453939,0.7843791722296395,0.01602136181575434
1,euclidean,mean_std_0.0,normalized_union,ratio,0.0,1.1902871645340742,0.7202937249666221,0.8004005340453939,0.7843791722296395,0.01602136181575434
1,euclidean,mean_std_0.0,normalized_union,ratio,0.25,1.3589698855040613,0.7303070761014686,0.8004005340453939,0.7863818424566088,0.014018691588785047
1,euclidean,mean_std_0.0,normalized_union,ratio,0.5,1.5173235636863014,0.7369826435246996,0.8004005340453939,0.787716955941255,0.012683578104138851
1,euclidean,mean_std_0.0,normalized_union,ratio,1.0,1.8569505097854813,0.746995994659546,0.8004005340453939,0.7897196261682243,0.010680907877169559
1,euclidean,mean_std_0.0,normalized_union,ratio,2.0,2.5350190249159987,0.7536715620827771,0.8004005340453939,0.7910547396528705,0.009345794392523364
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.0,1.1902871645340742,0.7202937249666221,0.8004005340453939,0.7843791722296395,0.01602136181575434
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.25,1.7102656719689082,0.7570093457943925,0.8004005340453939,0.7917222963951935,0.008678237650200267
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.5,2.190609629489691,0.7636849132176236,0.8004005340453939,0.7930574098798397,0.007343124165554072
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,1.0,3.204722269495039,0.767022696929239,0.8004005340453939,0.7937249666221629,0.006675567423230975
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,2.0,5.21902871702496,0.767022696929239,0.8004005340453939,0.7937249666221629,0.006675567423230975
1,euclidean,mean_std_0.0,normalized_union,max_ratio,0.0,1.1902871645340742,0.7202937249666221,0.8004005340453939,0.7843791722296395,0.01602136181575434
1,euclidean,mean_std_0.0,normalized_union,max_ratio,0.25,1.1902871645340742,0.7202937249666221,0.8004005340453939,0.7843791722296395,0.01602136181575434
1,euclidean,mean_std_0.0,normalized_union,max_ratio,0.5,1.1902871645340742,0.7202937249666221,0.8004005340453939,0.7843791722296395,0.01602136181575434
