k,distance,boundary,rule,fusion,fusion_weight,threshold,utility,known_coverage,known_correct_accept_rate,known_wrong_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,none,0.0,1.2096721993576884,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,none,0.25,1.2096721993576884,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,none,0.5,1.2096721993576884,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,none,1.0,1.2096721993576884,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,none,2.0,1.2096721993576884,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.0,1.2096721993576884,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.25,1.4231239235634772,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.5,1.6244886862507175,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,ratio,1.0,2.0705361142523206,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,ratio,2.0,2.9644779319560777,0.642,0.852,0.81,0.042
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.0,1.2096721993576884,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.25,3.5094281361556945,0.692,0.852,0.82,0.032
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.5,5.705634847056453,0.682,0.852,0.818,0.034
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,10.053335171399482,0.682,0.852,0.818,0.034
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,2.0,18.86820637866893,0.682,0.852,0.818,0.034
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.0,1.2096721993576884,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.25,1.2096721993576884,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.5,1.2096721993576884,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,1.0,1.2096721993576884,0.632,0.852,0.808,0.044
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,2.0,1.7986458979402782,0.672,0.852,0.816,0.036
1,euclidean,mean_std_0.0,normalized_union,none,0.0,1.2062713961545943,0.622,0.852,0.806,0.046
1,euclidean,mean_std_0.0,normalized_union,none,0.25,1.2062713961545943,0.622,0.852,0.806,0.046
1,euclidean,mean_std_0.0,normalized_union,none,0.5,1.2062713961545943,0.622,0.852,0.806,0.046
1,euclidean,mean_std_0.0,normalized_union,none,1.0,1.2062713961545943,0.622,0.852,0.806,0.046
1,euclidean,mean_std_0.0,normalized_union,none,2.0,1.2062713961545943,0.622,0.852,0.806,0.046
1,euclidean,mean_std_0.0,normalized_union,ratio,0.0,1.2062713961545943,0.622,0.852,0.806,0.046
1,euclidean,mean_std_0.0,normalized_union,ratio,0.25,1.405983930810267,0.622,0.852,0.806,0.046
1,euclidean,mean_std_0.0,normalized_union,ratio,0.5,1.6244886862507175,0.642,0.852,0.81,0.042
1,euclidean,mean_std_0.0,normalized_union,ratio,1.0,2.059317559981804,0.642,0.852,0.81,0.042
1,euclidean,mean_std_0.0,normalized_union,ratio,2.0,2.9502368100658387,0.642,0.852,0.81,0.042
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.0,1.2062713961545943,0.622,0.852,0.806,0.046
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.25,3.5094281361556945,0.662,0.852,0.814,0.038
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.5,5.705634847056453,0.652,0.852,0.812,0.04
