k,distance,boundary,rule,fusion,fusion_weight,threshold,utility,known_coverage,known_correct_accept_rate,known_wrong_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,none,0.0,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,nearest_sphere,none,0.25,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,nearest_sphere,none,0.5,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,nearest_sphere,none,1.0,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,nearest_sphere,none,2.0,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.0,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.25,1.6472449989864386,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.5,1.8552899743274058,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,nearest_sphere,ratio,1.0,2.2343477907832656,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,nearest_sphere,ratio,2.0,3.0535623908298763,0.8486486486486486,0.9027027027027027,0.8918918918918919,0.010810810810810811
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.0,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.25,2.365803732959672,0.8486486486486486,0.9027027027027027,0.8918918918918919,0.010810810810810811
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.5,3.2546450033022647,0.8621621621621621,0.9027027027027027,0.8945945945945946,0.008108108108108109
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,5.011293686735254,0.8621621621621621,0.9027027027027027,0.8945945945945946,0.008108108108108109
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,2.0,8.529439202887806,0.8621621621621621,0.9027027027027027,0.8945945945945946,0.008108108108108109
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.0,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.25,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.5,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,1.0,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,2.0,1.6070206124499915,0.8486486486486486,0.9027027027027027,0.8918918918918919,0.010810810810810811
1,euclidean,mean_std_0.0,normalized_union,none,0.0,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,normalized_union,none,0.25,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,normalized_union,none,0.5,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,normalized_union,none,1.0,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,normalized_union,none,2.0,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,normalized_union,ratio,0.0,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,normalized_union,ratio,0.25,1.6472449989864386,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,normalized_union,ratio,0.5,1.8552899743274058,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,normalized_union,ratio,1.0,2.2343477907832656,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,normalized_union,ratio,2.0,3.0535623908298763,0.8486486486486486,0.9027027027027027,0.8918918918918919,0.010810810810810811
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.0,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.25,2.365803732959672,0.8486486486486486,0.9027027027027027,0.8918918918918919,0.010810810810810811
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.5,3.2546450033022647,0.8621621621621621,0.9027027027027027,0.8945945945945946,0.008108108108108109
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,1.0,5.011293686735254,0.8621621621621621,0.9027027027027027,0.8945945945945946,0.008108108108108109
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,2.0,8.529439202887806,0.8621621621621621,0.9027027027027027,0.8945945945945946,0.008108108108108109
1,euclidean,mean_std_0.0,normalized_union,max_ratio,0.0,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,normalized_union,max_ratio,0.25,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,normalized_union,max_ratio,0.5,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,normalized_union,max_ratio,1.0,1.4613498370054325,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.0,normalized_union,max_ratio,2.0,1.6070206124499915,0.8486486486486486,0.9027027027027027,0.8918918918918919,0.010810810810810811
1,euclidean,mean_std_0.25,nearest_sphere,none,0.0,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,nearest_sphere,none,0.25,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,nearest_sphere,none,0.5,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,nearest_sphere,none,1.0,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,nearest_sphere,none,2.0,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,nearest_sphere,ratio,0.0,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,nearest_sphere,ratio,0.25,1.5585602080417083,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.25,nearest_sphere,ratio,0.5,1.7650303182430058,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.25,nearest_sphere,ratio,1.0,2.1601275299636487,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.25,nearest_sphere,ratio,2.0,2.9575266601333228,0.8486486486486486,0.9027027027027027,0.8918918918918919,0.010810810810810811
1,euclidean,mean_std_0.25,nearest_sphere,inverse_margin,0.0,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,nearest_sphere,inverse_margin,0.25,2.2827059924991406,0.8486486486486486,0.9027027027027027,0.8918918918918919,0.010810810810810811
1,euclidean,mean_std_0.25,nearest_sphere,inverse_margin,0.5,3.177042195254553,0.8621621621621621,0.9027027027027027,0.8945945945945946,0.008108108108108109
1,euclidean,mean_std_0.25,nearest_sphere,inverse_margin,1.0,4.935306928449734,0.8621621621621621,0.9027027027027027,0.8945945945945946,0.008108108108108109
1,euclidean,mean_std_0.25,nearest_sphere,inverse_margin,2.0,8.451836394840093,0.8621621621621621,0.9027027027027027,0.8945945945945946,0.008108108108108109
1,euclidean,mean_std_0.25,nearest_sphere,max_ratio,0.0,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,nearest_sphere,max_ratio,0.25,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,nearest_sphere,max_ratio,0.5,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,nearest_sphere,max_ratio,1.0,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,nearest_sphere,max_ratio,2.0,1.5777269426597962,0.8621621621621621,0.9027027027027027,0.8945945945945946,0.008108108108108109
1,euclidean,mean_std_0.25,normalized_union,none,0.0,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,normalized_union,none,0.25,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,normalized_union,none,0.5,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,normalized_union,none,1.0,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,normalized_union,none,2.0,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,normalized_union,ratio,0.0,1.3547821003495577,0.8216216216216217,0.9027027027027027,0.8864864864864865,0.016216216216216217
1,euclidean,mean_std_0.25,normalized_union,ratio,0.25,1.5585602080417083,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
1,euclidean,mean_std_0.25,normalized_union,ratio,0.5,1.7650303182430058,0.8351351351351352,0.9027027027027027,0.8891891891891892,0.013513513513513514
