k,distance,boundary,rule,fusion,fusion_weight,threshold,utility,known_coverage,known_correct_accept_rate,known_wrong_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,none,0.0,1.311125344202835,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.0,nearest_sphere,none,0.25,1.311125344202835,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.0,nearest_sphere,none,0.5,1.311125344202835,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.0,nearest_sphere,none,1.0,1.311125344202835,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.0,nearest_sphere,none,2.0,1.311125344202835,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.0,1.311125344202835,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.25,1.4894365114658865,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.5,1.6733152978495498,0.881578947368421,0.9013157894736842,0.8973684210526316,0.003947368421052632
1,euclidean,mean_std_0.0,nearest_sphere,ratio,1.0,2.050781564940152,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.0,nearest_sphere,ratio,2.0,2.8031830932868207,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.0,1.311125344202835,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.25,2.05605589621286,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.5,2.8260241509880086,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,4.403238898254562,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,2.0,7.500094677610784,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.0,1.311125344202835,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.25,1.311125344202835,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.5,1.311125344202835,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,1.0,1.311125344202835,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,2.0,1.5195785993561048,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.0,normalized_union,none,0.0,1.3083373618914689,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.0,normalized_union,none,0.25,1.3083373618914689,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.0,normalized_union,none,0.5,1.3083373618914689,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.0,normalized_union,none,1.0,1.3083373618914689,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.0,normalized_union,none,2.0,1.3083373618914689,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.0,normalized_union,ratio,0.0,1.3083373618914689,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.0,normalized_union,ratio,0.25,1.4878591428149273,0.868421052631579,0.9013157894736842,0.8947368421052632,0.006578947368421052
1,euclidean,mean_std_0.0,normalized_union,ratio,0.5,1.672862633701769,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.0,normalized_union,ratio,1.0,2.048578576393105,0.881578947368421,0.9013157894736842,0.8973684210526316,0.003947368421052632
1,euclidean,mean_std_0.0,normalized_union,ratio,2.0,2.8031830932868207,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.0,1.3083373618914689,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.25,2.05605589621286,0.881578947368421,0.9013157894736842,0.8973684210526316,0.003947368421052632
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.5,2.8260241509880086,0.881578947368421,0.9013157894736842,0.8973684210526316,0.003947368421052632
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,1.0,4.395275802591959,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,2.0,7.500094677610784,0.868421052631579,0.9013157894736842,0.8947368421052632,0.006578947368421052
1,euclidean,mean_std_0.0,normalized_union,max_ratio,0.0,1.3083373618914689,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.0,normalized_union,max_ratio,0.25,1.3083373618914689,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.0,normalized_union,max_ratio,0.5,1.3083373618914689,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.0,normalized_union,max_ratio,1.0,1.3083373618914689,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.0,normalized_union,max_ratio,2.0,1.5195785993561048,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.25,nearest_sphere,none,0.0,1.2513180467112024,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.25,nearest_sphere,none,0.25,1.2513180467112024,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.25,nearest_sphere,none,0.5,1.2513180467112024,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.25,nearest_sphere,none,1.0,1.2513180467112024,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.25,nearest_sphere,none,2.0,1.2513180467112024,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.25,nearest_sphere,ratio,0.0,1.2513180467112024,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.25,nearest_sphere,ratio,0.25,1.4314279092777704,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.25,nearest_sphere,ratio,0.5,1.6179280927044195,0.881578947368421,0.9013157894736842,0.8973684210526316,0.003947368421052632
1,euclidean,mean_std_0.25,nearest_sphere,ratio,1.0,1.9946155394545877,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.25,nearest_sphere,ratio,2.0,2.7493352106670876,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.25,nearest_sphere,inverse_margin,0.0,1.2513180467112024,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.25,nearest_sphere,inverse_margin,0.25,2.0101559775896636,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.25,nearest_sphere,inverse_margin,0.5,2.7683438540116905,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.25,nearest_sphere,inverse_margin,1.0,4.331834579093666,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.25,nearest_sphere,inverse_margin,2.0,7.454643112924098,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.25,nearest_sphere,max_ratio,0.0,1.2513180467112024,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.25,nearest_sphere,max_ratio,0.25,1.2513180467112024,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.25,nearest_sphere,max_ratio,0.5,1.2513180467112024,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.25,nearest_sphere,max_ratio,1.0,1.2513180467112024,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.25,nearest_sphere,max_ratio,2.0,1.5189944661804584,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.25,normalized_union,none,0.0,1.2476619053208953,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.25,normalized_union,none,0.25,1.2476619053208953,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.25,normalized_union,none,0.5,1.2476619053208953,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.25,normalized_union,none,1.0,1.2476619053208953,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.25,normalized_union,none,2.0,1.2476619053208953,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.25,normalized_union,ratio,0.0,1.2476619053208953,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.25,normalized_union,ratio,0.25,1.4300663523662236,0.868421052631579,0.9013157894736842,0.8947368421052632,0.006578947368421052
1,euclidean,mean_std_0.25,normalized_union,ratio,0.5,1.6173647939661806,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.25,normalized_union,ratio,1.0,1.9918312607545434,0.881578947368421,0.9013157894736842,0.8973684210526316,0.003947368421052632
1,euclidean,mean_std_0.25,normalized_union,ratio,2.0,2.7493352106670876,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.25,normalized_union,inverse_margin,0.0,1.2476619053208953,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.25,normalized_union,inverse_margin,0.25,2.0101559775896636,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.25,normalized_union,inverse_margin,0.5,2.7683438540116905,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.25,normalized_union,inverse_margin,1.0,4.330279968969363,0.881578947368421,0.9013157894736842,0.8973684210526316,0.003947368421052632
1,euclidean,mean_std_0.25,normalized_union,inverse_margin,2.0,7.454643112924098,0.881578947368421,0.9013157894736842,0.8973684210526316,0.003947368421052632
1,euclidean,mean_std_0.25,normalized_union,max_ratio,0.0,1.2476619053208953,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.25,normalized_union,max_ratio,0.25,1.2476619053208953,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.25,normalized_union,max_ratio,0.5,1.2476619053208953,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.25,normalized_union,max_ratio,1.0,1.2476619053208953,0.8618421052631579,0.9013157894736842,0.8934210526315789,0.007894736842105263
1,euclidean,mean_std_0.25,normalized_union,max_ratio,2.0,1.5189944661804584,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.5,nearest_sphere,none,0.0,1.1914541616706285,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.5,nearest_sphere,none,0.25,1.1914541616706285,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.5,nearest_sphere,none,0.5,1.1914541616706285,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.5,nearest_sphere,none,1.0,1.1914541616706285,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.5,nearest_sphere,none,2.0,1.1914541616706285,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.5,nearest_sphere,ratio,0.0,1.1914541616706285,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.5,nearest_sphere,ratio,0.25,1.3763876707810199,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.5,nearest_sphere,ratio,0.5,1.566554989144438,0.881578947368421,0.9013157894736842,0.8973684210526316,0.003947368421052632
1,euclidean,mean_std_0.5,nearest_sphere,ratio,1.0,1.9473002578450713,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.5,nearest_sphere,ratio,2.0,2.6998501251950504,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.5,nearest_sphere,inverse_margin,0.0,1.1914541616706285,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.5,nearest_sphere,inverse_margin,0.25,1.9625731861600606,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.5,nearest_sphere,inverse_margin,0.5,2.7117239722977957,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.5,nearest_sphere,inverse_margin,1.0,4.271748102708077,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.5,nearest_sphere,inverse_margin,2.0,7.375484166805804,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.5,nearest_sphere,max_ratio,0.0,1.1914541616706285,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.5,nearest_sphere,max_ratio,0.25,1.1914541616706285,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.5,nearest_sphere,max_ratio,0.5,1.1914541616706285,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.5,nearest_sphere,max_ratio,1.0,1.1914541616706285,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.5,nearest_sphere,max_ratio,2.0,1.5153425644926948,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.5,normalized_union,none,0.0,1.1894928374513034,0.868421052631579,0.9013157894736842,0.8947368421052632,0.006578947368421052
1,euclidean,mean_std_0.5,normalized_union,none,0.25,1.1894928374513034,0.868421052631579,0.9013157894736842,0.8947368421052632,0.006578947368421052
1,euclidean,mean_std_0.5,normalized_union,none,0.5,1.1894928374513034,0.868421052631579,0.9013157894736842,0.8947368421052632,0.006578947368421052
1,euclidean,mean_std_0.5,normalized_union,none,1.0,1.1894928374513034,0.868421052631579,0.9013157894736842,0.8947368421052632,0.006578947368421052
1,euclidean,mean_std_0.5,normalized_union,none,2.0,1.1894928374513034,0.868421052631579,0.9013157894736842,0.8947368421052632,0.006578947368421052
1,euclidean,mean_std_0.5,normalized_union,ratio,0.0,1.1894928374513034,0.868421052631579,0.9013157894736842,0.8947368421052632,0.006578947368421052
1,euclidean,mean_std_0.5,normalized_union,ratio,0.25,1.3745731623556439,0.868421052631579,0.9013157894736842,0.8947368421052632,0.006578947368421052
1,euclidean,mean_std_0.5,normalized_union,ratio,0.5,1.5653229345085355,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.5,normalized_union,ratio,1.0,1.943193461963567,0.881578947368421,0.9013157894736842,0.8973684210526316,0.003947368421052632
1,euclidean,mean_std_0.5,normalized_union,ratio,2.0,2.6998501251950504,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.5,normalized_union,inverse_margin,0.0,1.1894928374513034,0.868421052631579,0.9013157894736842,0.8947368421052632,0.006578947368421052
1,euclidean,mean_std_0.5,normalized_union,inverse_margin,0.25,1.9625731861600606,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.5,normalized_union,inverse_margin,0.5,2.7117239722977957,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.5,normalized_union,inverse_margin,1.0,4.267148304851736,0.881578947368421,0.9013157894736842,0.8973684210526316,0.003947368421052632
1,euclidean,mean_std_0.5,normalized_union,inverse_margin,2.0,7.375484166805804,0.881578947368421,0.9013157894736842,0.8973684210526316,0.003947368421052632
1,euclidean,mean_std_0.5,normalized_union,max_ratio,0.0,1.1894928374513034,0.868421052631579,0.9013157894736842,0.8947368421052632,0.006578947368421052
1,euclidean,mean_std_0.5,normalized_union,max_ratio,0.25,1.1894928374513034,0.868421052631579,0.9013157894736842,0.8947368421052632,0.006578947368421052
1,euclidean,mean_std_0.5,normalized_union,max_ratio,0.5,1.1894928374513034,0.868421052631579,0.9013157894736842,0.8947368421052632,0.006578947368421052
1,euclidean,mean_std_0.5,normalized_union,max_ratio,1.0,1.1894928374513034,0.868421052631579,0.9013157894736842,0.8947368421052632,0.006578947368421052
1,euclidean,mean_std_0.5,normalized_union,max_ratio,2.0,1.5153425644926948,0.881578947368421,0.9013157894736842,0.8973684210526316,0.003947368421052632
1,euclidean,mean_std_0.75,nearest_sphere,none,0.0,1.1418569162884964,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.75,nearest_sphere,none,0.25,1.1418569162884964,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.75,nearest_sphere,none,0.5,1.1418569162884964,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.75,nearest_sphere,none,1.0,1.1418569162884964,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.75,nearest_sphere,none,2.0,1.1418569162884964,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.75,nearest_sphere,ratio,0.0,1.1418569162884964,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.75,nearest_sphere,ratio,0.25,1.320757132082461,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.75,nearest_sphere,ratio,0.5,1.5184717412683466,0.881578947368421,0.9013157894736842,0.8973684210526316,0.003947368421052632
1,euclidean,mean_std_0.75,nearest_sphere,ratio,1.0,1.895662351798143,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.75,nearest_sphere,ratio,2.0,2.659050079898913,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.75,nearest_sphere,inverse_margin,0.0,1.1418569162884964,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.75,nearest_sphere,inverse_margin,0.25,1.9176145947629253,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.75,nearest_sphere,inverse_margin,0.5,2.6626470664219926,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.75,nearest_sphere,inverse_margin,1.0,4.2094622630417255,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.75,nearest_sphere,inverse_margin,2.0,7.305465054044283,0.8881578947368421,0.9013157894736842,0.8986842105263158,0.002631578947368421
1,euclidean,mean_std_0.75,nearest_sphere,max_ratio,0.0,1.1418569162884964,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.75,nearest_sphere,max_ratio,0.25,1.1418569162884964,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
1,euclidean,mean_std_0.75,nearest_sphere,max_ratio,0.5,1.1418569162884964,0.875,0.9013157894736842,0.8960526315789473,0.005263157894736842
