k,distance,boundary,rule,fusion,fusion_weight,threshold,utility,known_coverage,known_correct_accept_rate,known_wrong_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,none,0.0,1.3093367797597972,0.8044642857142857,0.9004464285714285,0.88125,0.019196428571428573
1,euclidean,mean_std_0.0,nearest_sphere,none,0.25,1.3093367797597972,0.8044642857142857,0.9004464285714285,0.88125,0.019196428571428573
1,euclidean,mean_std_0.0,nearest_sphere,none,0.5,1.3093367797597972,0.8044642857142857,0.9004464285714285,0.88125,0.019196428571428573
1,euclidean,mean_std_0.0,nearest_sphere,none,1.0,1.3093367797597972,0.8044642857142857,0.9004464285714285,0.88125,0.019196428571428573
1,euclidean,mean_std_0.0,nearest_sphere,none,2.0,1.3093367797597972,0.8044642857142857,0.9004464285714285,0.88125,0.019196428571428573
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.0,1.3093367797597972,0.8044642857142857,0.9004464285714285,0.88125,0.019196428571428573
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.25,1.5161772486289482,0.8178571428571428,0.9004464285714285,0.8839285714285714,0.016517857142857143
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.5,1.730441402867252,0.8267857142857142,0.9004464285714285,0.8857142857142857,0.014732142857142857
1,euclidean,mean_std_0.0,nearest_sphere,ratio,1.0,2.1611222132328063,0.8401785714285714,0.9004464285714285,0.8883928571428571,0.012053571428571429
1,euclidean,mean_std_0.0,nearest_sphere,ratio,2.0,3.0428271903929467,0.8513392857142857,0.9004464285714285,0.890625,0.009821428571428571
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.0,1.3093367797597972,0.8044642857142857,0.9004464285714285,0.88125,0.019196428571428573
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.25,3.1618992085271773,0.8758928571428571,0.9004464285714285,0.8955357142857143,0.004910714285714286
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.5,5.028069289182149,0.8758928571428571,0.9004464285714285,0.8955357142857143,0.004910714285714286
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,8.712121137516545,0.8758928571428571,0.9004464285714285,0.8955357142857143,0.004910714285714286
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,2.0,16.14452998654375,0.8758928571428571,0.9004464285714285,0.8955357142857143,0.004910714285714286
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.0,1.3093367797597972,0.8044642857142857,0.9004464285714285,0.88125,0.019196428571428573
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.25,1.3093367797597972,0.8044642857142857,0.9004464285714285,0.88125,0.019196428571428573
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.5,1.3093367797597972,0.8044642857142857,0.9004464285714285,0.88125,0.019196428571428573
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,1.0,1.3093367797597972,0.8044642857142857,0.9004464285714285,0.88125,0.019196428571428573
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,2.0,1.767011401987168,0.8758928571428571,0.9004464285714285,0.8955357142857143,0.004910714285714286
1,euclidean,mean_std_0.0,normalized_union,none,0.0,1.2854618404686335,0.6861607142857142,0.9004464285714285,0.8575892857142857,0.04285714285714286
1,euclidean,mean_std_0.0,normalized_union,none,0.25,1.2854618404686335,0.6861607142857142,0.9004464285714285,0.8575892857142857,0.04285714285714286
1,euclidean,mean_std_0.0,normalized_union,none,0.5,1.2854618404686335,0.6861607142857142,0.9004464285714285,0.8575892857142857,0.04285714285714286
1,euclidean,mean_std_0.0,normalized_union,none,1.0,1.2854618404686335,0.6861607142857142,0.9004464285714285,0.8575892857142857,0.04285714285714286
1,euclidean,mean_std_0.0,normalized_union,none,2.0,1.2854618404686335,0.6861607142857142,0.9004464285714285,0.8575892857142857,0.04285714285714286
1,euclidean,mean_std_0.0,normalized_union,ratio,0.0,1.2854618404686335,0.6861607142857142,0.9004464285714285,0.8575892857142857,0.04285714285714286
1,euclidean,mean_std_0.0,normalized_union,ratio,0.25,1.5002625129010703,0.7040178571428571,0.9004464285714285,0.8611607142857143,0.039285714285714285
1,euclidean,mean_std_0.0,normalized_union,ratio,0.5,1.7123602534162987,0.7040178571428571,0.9004464285714285,0.8611607142857143,0.039285714285714285
1,euclidean,mean_std_0.0,normalized_union,ratio,1.0,2.1439123416786185,0.7285714285714285,0.9004464285714285,0.8660714285714286,0.034375
1,euclidean,mean_std_0.0,normalized_union,ratio,2.0,3.0174182632616358,0.7196428571428571,0.9004464285714285,0.8642857142857143,0.03616071428571429
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.0,1.2854618404686335,0.6861607142857142,0.9004464285714285,0.8575892857142857,0.04285714285714286
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.25,3.1202035666090504,0.7084821428571428,0.9004464285714285,0.8620535714285714,0.038392857142857145
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,0.5,4.995916713002943,0.7084821428571428,0.9004464285714285,0.8620535714285714,0.038392857142857145
1,euclidean,mean_std_0.0,normalized_union,inverse_margin,1.0,8.707404618556913,0.70625,0.9004464285714285,0.8616071428571429,0.038839285714285715
