dataset,kir,seed,recipe,coverage_target,k,distance,boundary,rule,fusion,fusion_weight,threshold,f1_u,f1_k,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos
clinc150,0.75,13,all6,0.9,1,euclidean,mean_std_2.0,nearest_sphere,max_ratio,2.0,1.3492564632090769,0.8675902793549852,0.9085457677705167,0.8912727272727273,0.8949404761904762,0.10747663551401869,0.10505952380952381,0.9542882176234981,0.9055948955199323
clinc150,0.75,42,all6,0.9,1,euclidean,mean_std_2.0,nearest_sphere,max_ratio,2.0,1.3733766372177987,0.8872955411158414,0.9162478117640485,0.9049090909090909,0.8979166666666667,0.07476635514018691,0.10208333333333333,0.9624688473520249,0.9274386258332395
clinc150,0.75,87,all6,0.9,1,euclidean,mean_std_2.0,nearest_sphere,max_ratio,2.0,1.6757998425491818,0.8492578849721707,0.9013079220807999,0.8787272727272727,0.8985119047619048,0.144392523364486,0.10148809523809524,0.9389392801513128,0.8875181911473601
stackoverflow,0.5,13,no_projection,0.9,4,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.25,4.889212057650926,0.8096091789171747,0.8102389547430819,0.8055091819699499,0.8911882510013351,0.2458249832999332,0.10881174899866489,0.9211528308062497,0.8743785016114993
stackoverflow,0.5,42,no_projection,0.9,4,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.25,4.765244905195782,0.8515973892133287,0.8341092039769151,0.8400667779632721,0.8843969261610425,0.1728395061728395,0.11560307383895757,0.9303020583786815,0.8856052341064717
stackoverflow,0.5,87,no_projection,0.9,4,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.25,5.516957095019446,0.7582867783985102,0.8106904222347131,0.7779632721202003,0.8871075484301937,0.3204272363150868,0.11289245156980628,0.8862061015667292,0.8486886106182505
clinc150,0.25,13,last4,0.9,2,euclidean,mean_std_0.0,nearest_sphere,ratio,1.0,2.0913229501416652,0.9584007395424081,0.8598557929567782,0.9332727272727273,0.8710526315789474,0.048853211009174315,0.12894736842105264,0.9642785288910349,0.989022547440929
clinc150,0.25,42,last4,0.9,2,euclidean,mean_std_0.0,nearest_sphere,ratio,1.0,2.2714813870433166,0.9500937207122774,0.8415978276844737,0.9218181818181819,0.893859649122807,0.06995412844036697,0.10614035087719298,0.9687206261065509,0.9901005913597956
clinc150,0.25,87,last4,0.9,2,euclidean,mean_std_0.0,nearest_sphere,ratio,1.0,2.103917860350272,0.9471715755025713,0.8403702246611012,0.9176363636363636,0.8736842105263158,0.07064220183486239,0.12631578947368421,0.9620921857395782,0.9882281613047037
clinc150,0.5,13,all6,0.9,2,euclidean,intent_quantile_0.7,nearest_sphere,inverse_margin,0.5,3.0612127760871277,0.9163591635916359,0.8822577862450801,0.9001818181818182,0.8782222222222222,0.08307692307692308,0.12177777777777778,0.952798905982906,0.9566739622104895
clinc150,0.5,42,all6,0.9,2,euclidean,intent_quantile_0.7,nearest_sphere,inverse_margin,0.5,2.403394441294548,0.9148107771375176,0.8839452571036429,0.8989090909090909,0.896,0.0963076923076923,0.104,0.9563336752136753,0.9599761538413997
clinc150,0.5,87,all6,0.9,2,euclidean,intent_quantile_0.7,nearest_sphere,inverse_margin,0.5,2.8318622181710573,0.9327174749807544,0.9026008652983243,0.9190909090909091,0.904,0.068,0.096,0.9659526837606838,0.9682600112055425
stackoverflow,0.25,13,compact_margin,0.9,1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,2.0,6.424807064888397,0.8877514581597429,0.7066261645943873,0.830550918196995,0.8798397863818425,0.16985752448797864,0.12016021361815754,0.923237662089078,0.9544995614916566
stackoverflow,0.25,42,compact_margin,0.9,1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,2.0,5.854479873768461,0.8650024236548716,0.6785681648468138,0.8021702838063439,0.8730794923179692,0.20565323837079902,0.12692050768203073,0.9196358441342956,0.9531971961019914
stackoverflow,0.25,87,compact_margin,0.9,1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,2.0,12.451823121672694,0.9010833725859633,0.7714859123013904,0.857762938230384,0.88561872909699,0.14883203559510566,0.11438127090301003,0.9351999434525914,0.9665409003039399
stackoverflow,0.75,13,no_projection,0.9,1,euclidean,center_quantile_0.5,nearest_sphere,inverse_margin,0.5,9.337142003098307,0.638474870017331,0.8656858616767364,0.8003338898163606,0.8964595858383434,0.3855903935957305,0.10354041416165664,0.90665832443183,0.6721210025964138
stackoverflow,0.75,42,no_projection,0.9,1,euclidean,center_quantile_0.5,nearest_sphere,inverse_margin,0.5,9.168043510706191,0.7597870341371751,0.8803799507791227,0.8475792988313856,0.892896904920953,0.19079386257505004,0.10710309507904699,0.9320660444749852,0.7284547927358823
