k,distance,boundary,rule,fusion,fusion_weight,threshold,utility,known_coverage,known_correct_accept_rate,known_wrong_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,none,0.0,1.804407669856013,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,nearest_sphere,none,0.25,1.804407669856013,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,nearest_sphere,none,0.5,1.804407669856013,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,nearest_sphere,none,1.0,1.804407669856013,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,nearest_sphere,none,2.0,1.804407669856013,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.0,1.804407669856013,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.25,1.9787122736668654,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,nearest_sphere,ratio,0.5,2.099403744835453,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,nearest_sphere,ratio,1.0,2.4087727609564826,0.652,0.902,0.852,0.05
1,euclidean,mean_std_0.0,nearest_sphere,ratio,2.0,3.1784587505014095,0.652,0.902,0.852,0.05
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.0,1.804407669856013,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.25,2.4049202420816718,0.652,0.902,0.852,0.05
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,0.5,2.993201038858471,0.662,0.902,0.854,0.048
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,1.0,4.139881534210356,0.682,0.902,0.858,0.044
1,euclidean,mean_std_0.0,nearest_sphere,inverse_margin,2.0,6.424807064888397,0.692,0.902,0.86,0.042
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.0,1.804407669856013,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.25,1.804407669856013,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,0.5,1.804407669856013,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,1.0,1.804407669856013,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,nearest_sphere,max_ratio,2.0,1.8751488981328777,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,normalized_union,none,0.0,1.7234113765972952,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,normalized_union,none,0.25,1.7234113765972952,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,normalized_union,none,0.5,1.7234113765972952,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,normalized_union,none,1.0,1.7234113765972952,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,normalized_union,none,2.0,1.7234113765972952,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,normalized_union,ratio,0.0,1.7234113765972952,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,normalized_union,ratio,0.25,1.9131980812835694,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,normalized_union,ratio,0.5,2.099403744835453,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,normalized_union,ratio,1.0,2.378991052306391,0.642,0.902,0.85,0.052
1,euclidean,mean_std_0.0,normalized_union,ratio,2.0,3.114144992721435,0.662,0.902,0.854,0.048
