k,distance,boundary,rule,fusion_weight,threshold,utility,known_coverage,correct_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.4,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.45,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.5,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.55,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.6,0.00267379679144385,0.00267379679144385,0.00267379679144385
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.65,0.00267379679144385,0.00267379679144385,0.00267379679144385
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.7,0.016042780748663103,0.016042780748663103,0.016042780748663103
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.75,0.053475935828877004,0.053475935828877004,0.053475935828877004
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.8,0.10962566844919786,0.12299465240641712,0.12032085561497326
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.85,0.20320855614973263,0.21657754010695188,0.21390374331550802
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.9,0.30213903743315507,0.32887700534759357,0.3235294117647059
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.95,0.3449197860962567,0.4117647058823529,0.3983957219251337
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.0,0.4572192513368984,0.5240641711229946,0.5106951871657754
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.05,0.5481283422459893,0.6417112299465241,0.6229946524064172
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.1,0.6203208556149733,0.713903743315508,0.6951871657754011
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.15,0.6711229946524064,0.7914438502673797,0.767379679144385
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.2,0.6524064171122995,0.839572192513369,0.8021390374331551
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.25,0.6524064171122995,0.893048128342246,0.8449197860962567
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.3,0.6684491978609626,0.9224598930481284,0.8716577540106952
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.35,0.6631016042780749,0.9438502673796791,0.8877005347593583
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.4,0.6631016042780749,0.9572192513368984,0.8983957219251337
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.45,0.6737967914438503,0.9812834224598931,0.9197860962566845
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.5,0.679144385026738,0.9866310160427807,0.9251336898395722
