k,distance,boundary,rule,fusion_weight,threshold,utility,known_coverage,correct_accept_rate
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.4,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.45,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.5,0.0,0.0,0.0
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.55,0.002,0.002,0.002
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.6,0.004,0.004,0.004
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.65,0.014,0.014,0.014
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.7,0.034,0.034,0.034
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.75,0.114,0.114,0.114
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.8,0.202,0.202,0.202
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.85,0.31,0.31,0.31
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.9,0.416,0.426,0.424
1,euclidean,mean_std_0.0,nearest_sphere,0.0,0.95,0.522,0.532,0.53
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.0,0.62,0.63,0.628
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.05,0.714,0.724,0.722
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.1,0.758,0.768,0.766
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.15,0.79,0.8,0.798
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.2,0.818,0.828,0.826
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.25,0.844,0.854,0.852
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.3,0.854,0.864,0.862
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.35,0.876,0.886,0.884
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.4,0.872,0.892,0.888
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.45,0.862,0.902,0.894
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.5,0.864,0.914,0.904
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.55,0.85,0.92,0.906
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.6,0.856,0.926,0.912
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.65,0.834,0.944,0.922
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.7,0.818,0.958,0.93
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.75,0.824,0.964,0.936
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.8,0.826,0.966,0.938
1,euclidean,mean_std_0.0,nearest_sphere,0.0,1.85,0.824,0.974,0.944
