dataset,dataset_label,kir,seed,method,method_label,oos_f1,false_accept_rate,known_recall,auroc,aupr_oos
clinc150,CLINC150,0.25,13,frozen_k1,Frozen,0.9420421100294317,0.04564220183486239,0.725438596491228,0.9439059230645421,0.9802647462029327
clinc150,CLINC150,0.25,13,trainable_k1,Trainable,0.9540011191941802,0.022477064220183487,0.725438596491228,0.9609146145179461,0.9875655879765147
clinc150,CLINC150,0.25,42,frozen_k1,Frozen,0.9468228931951329,0.036238532110091745,0.724561403508772,0.9201106550780621,0.9642448574138467
clinc150,CLINC150,0.25,42,trainable_k1,Trainable,0.9520723941459055,0.022706422018348625,0.7105263157894737,0.9600436584580717,0.9870898606723317
clinc150,CLINC150,0.25,87,frozen_k1,Frozen,0.9399382221713762,0.05779816513761468,0.7605263157894737,0.934389385160148,0.9741567954197174
clinc150,CLINC150,0.25,87,trainable_k1,Trainable,0.9468423443889141,0.044036697247706424,0.7578947368421053,0.9588914373088684,0.987947615592465
clinc150,CLINC150,0.5,13,frozen_k1,Frozen,0.8695907290597037,0.088,0.732,0.8995440683760684,0.9051685429093342
clinc150,CLINC150,0.5,13,trainable_k1,Trainable,0.8862948551664505,0.05384615384615385,0.727111111111111,0.9336146324786325,0.9462438088420746
clinc150,CLINC150,0.5,42,frozen_k1,Frozen,0.8816362053959965,0.06492307692307692,0.731111111111111,0.9029470085470086,0.9027013186660016
clinc150,CLINC150,0.5,42,trainable_k1,Trainable,0.8956248212753789,0.036307692307692305,0.728,0.9420987350427351,0.9517879270200577
clinc150,CLINC150,0.5,87,frozen_k1,Frozen,0.8895027624309392,0.05876923076923077,0.7471111111111111,0.9109910427350428,0.9060497723851522
clinc150,CLINC150,0.5,87,trainable_k1,Trainable,0.9030033050725679,0.03323076923076923,0.748,0.9463395555555556,0.951321760909854
clinc150,CLINC150,0.75,13,frozen_k1,Frozen,0.7911200807265388,0.08411214953271028,0.7455357142857143,0.9017113095238095,0.8184769774034475
clinc150,CLINC150,0.75,13,trainable_k1,Trainable,0.8118617439120188,0.03411214953271028,0.7366071428571428,0.9490976858032932,0.9116473281412413
clinc150,CLINC150,0.75,42,frozen_k1,Frozen,0.7998397114806652,0.06728971962616823,0.7455357142857143,0.9112424899866488,0.8277727500512735
clinc150,CLINC150,0.75,42,trainable_k1,Trainable,0.8133123276880662,0.035046728971962614,0.7401785714285714,0.9458939697374276,0.9072021940975634
clinc150,CLINC150,0.75,87,frozen_k1,Frozen,0.7776862906545904,0.11728971962616823,0.7532738095238095,0.8872858255451714,0.8005526975970244
clinc150,CLINC150,0.75,87,trainable_k1,Trainable,0.7987271280827367,0.0616822429906542,0.7380952380952381,0.9312264964396973,0.890510079946826
stackoverflow,StackOverflow,0.25,13,frozen_k1,Frozen,0.9614035087719298,0.02404274265360641,0.8371161548731643,0.949469877913799,0.9749215888996583
stackoverflow,StackOverflow,0.25,13,trainable_k1,Trainable,0.9619975906253423,0.02226179875333927,0.835113484646195,0.9582326747328287,0.9810738791818845
stackoverflow,StackOverflow,0.25,42,frozen_k1,Frozen,0.9127318238707475,0.10727798798130425,0.8096192384769539,0.9260950865303572,0.9671825422928235
stackoverflow,StackOverflow,0.25,42,trainable_k1,Trainable,0.9598596183373547,0.026040507456042732,0.8336673346693386,0.9533868538323028,0.9777343459122634
stackoverflow,StackOverflow,0.25,87,frozen_k1,Frozen,0.9414268115130474,0.06496106785317018,0.8454849498327759,0.9376515712367142,0.967114997984021
stackoverflow,StackOverflow,0.25,87,trainable_k1,Trainable,0.9394380387327885,0.06651835372636263,0.8381270903010034,0.944794550615511,0.974078938508554
stackoverflow,StackOverflow,0.5,13,frozen_k1,Frozen,0.7662360644133782,0.2768871075484302,0.835781041388518,0.882464194075735,0.8409754767124513
stackoverflow,StackOverflow,0.5,13,trainable_k1,Trainable,0.8877534727766246,0.07147628590514363,0.8367823765020027,0.9319238164803126,0.9031680036622918
stackoverflow,StackOverflow,0.5,42,frozen_k1,Frozen,0.8435800230756552,0.14614614614614616,0.8292682926829268,0.9133610723988272,0.8881453969656059
stackoverflow,StackOverflow,0.5,42,trainable_k1,Trainable,0.9149367878882473,0.022022022022022022,0.8399599064483796,0.9550686670633213,0.9407479559814084
stackoverflow,StackOverflow,0.5,87,frozen_k1,Frozen,0.7608426270136307,0.2827102803738318,0.8316633266533067,0.8666166333557189,0.800674678934526
stackoverflow,StackOverflow,0.5,87,trainable_k1,Trainable,0.8608255832925437,0.11949265687583445,0.8346693386773547,0.9093899860245634,0.8732336556647512
stackoverflow,StackOverflow,0.75,13,frozen_k1,Frozen,0.5695280329426671,0.400266844563042,0.8309953239812959,0.8496796424366038,0.5602002685238029
stackoverflow,StackOverflow,0.75,13,trainable_k1,Trainable,0.7398554752640356,0.11207471647765177,0.8289913159652639,0.9111332144683706,0.702504992927427
stackoverflow,StackOverflow,0.75,42,frozen_k1,Frozen,0.6562217535402229,0.2735156771180787,0.837230015586729,0.8820678938486269,0.6448694540108084
stackoverflow,StackOverflow,0.75,42,trainable_k1,Trainable,0.784524449220849,0.02601734489659773,0.8301046537519483,0.9463934168834298,0.8207156062769201
stackoverflow,StackOverflow,0.75,87,frozen_k1,Frozen,0.6682677874512158,0.2565130260521042,0.8395281549076341,0.8738462160614722,0.6542427006325328
stackoverflow,StackOverflow,0.75,87,trainable_k1,Trainable,0.7304643261608154,0.13827655310621242,0.8341865123525484,0.8968653234951244,0.6340560126275422
banking77_oos,BANKING77-OOS,0.25,13,frozen_k1,Frozen,0.9249815770081061,0.12833333333333333,0.9020833333333333,0.9435775462962963,0.991392416310518
