seed,gold_intent,n_oos,frozen_false_accepts,trainable_false_accepts,frozen_false_accept_rate,trainable_false_accept_rate
13,ajax,300,81,11,0.27,0.03666666666666667
13,drupal,300,147,25,0.49,0.08333333333333333
13,haskell,298,20,12,0.06711409395973154,0.040268456375838924
13,linq,297,54,0,0.18181818181818182,0.0
13,magento,300,110,59,0.36666666666666664,0.19666666666666666
13,oracle,300,62,5,0.20666666666666667,0.016666666666666666
13,qt,300,18,13,0.06,0.043333333333333335
13,scala,300,21,4,0.07,0.013333333333333334
13,visual-studio,300,200,6,0.6666666666666666,0.02
13,wordpress,299,116,79,0.3879598662207358,0.26421404682274247
42,ajax,300,139,8,0.4633333333333333,0.02666666666666667
42,bash,300,34,5,0.11333333333333333,0.016666666666666666
42,excel,299,5,4,0.016722408026755852,0.013377926421404682
42,haskell,298,18,5,0.06040268456375839,0.016778523489932886
42,magento,300,123,15,0.41,0.05
42,matlab,300,3,0,0.01,0.0
42,qt,300,14,17,0.04666666666666667,0.056666666666666664
42,scala,300,6,1,0.02,0.0033333333333333335
42,sharepoint,300,76,5,0.25333333333333335,0.016666666666666666
42,visual-studio,300,20,6,0.06666666666666667,0.02
87,ajax,300,81,5,0.27,0.016666666666666666
87,bash,300,18,9,0.06,0.03
87,cocoa,299,130,143,0.43478260869565216,0.4782608695652174
87,drupal,300,147,11,0.49,0.03666666666666667
87,haskell,298,15,5,0.050335570469798654,0.016778523489932886
87,hibernate,300,38,96,0.12666666666666668,0.32
87,magento,300,110,22,0.36666666666666664,0.07333333333333333
87,oracle,300,62,3,0.20666666666666667,0.01
87,svn,300,132,21,0.44,0.07
87,wordpress,299,114,43,0.38127090301003347,0.14381270903010032
