gold_intent,n_oos,n_seeds,frozen_false_accepts,trainable_false_accepts,frozen_false_accept_rate,trainable_false_accept_rate,reduction_pp
cocoa,299,1,130,143,43.47826086956522,47.82608695652174,-4.347826086956523
hibernate,300,1,38,96,12.666666666666668,32.0,-19.333333333333332
wordpress,598,2,230,122,38.46153846153847,20.401337792642142,18.060200668896325
magento,900,3,343,96,38.111111111111114,10.666666666666668,27.444444444444446
svn,300,1,132,21,44.0,7.000000000000001,37.0
drupal,600,2,294,36,49.0,6.0,43.0
qt,600,2,32,30,5.333333333333334,5.0,0.3333333333333339
ajax,900,3,301,24,33.44444444444444,2.666666666666667,30.777777777777775
haskell,894,3,53,22,5.9284116331096195,2.460850111856823,3.4675615212527964
bash,600,2,52,14,8.666666666666668,2.3333333333333335,6.333333333333334
visual-studio,600,2,220,12,36.666666666666664,2.0,34.666666666666664
sharepoint,300,1,76,5,25.333333333333336,1.6666666666666667,23.666666666666668
excel,299,1,5,4,1.6722408026755853,1.3377926421404682,0.33444816053511706
oracle,600,2,124,8,20.666666666666668,1.3333333333333335,19.333333333333336
scala,600,2,27,5,4.5,0.8333333333333334,3.6666666666666665
linq,297,1,54,0,18.181818181818183,0.0,18.181818181818183
matlab,300,1,3,0,1.0,0.0,1.0
