dataset,seed,transition,n_oos,rate
banking77_oos,13,both_correct,2225,0.7224025974025974
banking77_oos,13,both_wrong,503,0.16331168831168832
banking77_oos,13,frozen_only,38,0.012337662337662338
banking77_oos,13,trainable_only,314,0.10194805194805195
banking77_oos,42,both_correct,2338,0.759090909090909
banking77_oos,42,both_wrong,463,0.15032467532467533
banking77_oos,42,frozen_only,86,0.02792207792207792
banking77_oos,42,trainable_only,193,0.06266233766233766
banking77_oos,87,both_correct,2307,0.749025974025974
banking77_oos,87,both_wrong,414,0.1344155844155844
banking77_oos,87,frozen_only,60,0.01948051948051948
banking77_oos,87,trainable_only,299,0.09707792207792208
clinc150,13,both_correct,2940,0.9046153846153846
clinc150,13,both_wrong,151,0.046461538461538464
clinc150,13,frozen_only,24,0.0073846153846153844
clinc150,13,trainable_only,135,0.04153846153846154
clinc150,42,both_correct,3014,0.9273846153846154
clinc150,42,both_wrong,93,0.028615384615384615
clinc150,42,frozen_only,25,0.007692307692307693
clinc150,42,trainable_only,118,0.036307692307692305
clinc150,87,both_correct,3054,0.9396923076923077
clinc150,87,both_wrong,103,0.03169230769230769
clinc150,87,frozen_only,5,0.0015384615384615385
clinc150,87,trainable_only,88,0.02707692307692308
stackoverflow,13,both_correct,2068,0.6907147628590514
stackoverflow,13,both_wrong,117,0.03907815631262525
stackoverflow,13,frozen_only,97,0.03239812959251837
stackoverflow,13,trainable_only,712,0.23780895123580495
stackoverflow,42,both_correct,2541,0.8478478478478478
stackoverflow,42,both_wrong,48,0.016016016016016016
stackoverflow,42,frozen_only,18,0.006006006006006006
stackoverflow,42,trainable_only,390,0.13013013013013014
stackoverflow,87,both_correct,1996,0.6662216288384513
stackoverflow,87,both_wrong,205,0.06842456608811749
stackoverflow,87,frozen_only,153,0.05106809078771696
stackoverflow,87,trainable_only,642,0.21428571428571427
