dataset,dataset_label,kir,seed,configuration,oos_f1,f1_all,known_macro_f1,accuracy,known_recall,false_accept_rate,router_error_rate,expert_error_rate,device,test_used_for_selection,oos_used_for_training
clinc150,CLINC150,0.25,13,trainable_k1,0.9540011191941802,0.7532485562546372,0.7811234255442056,0.9158181818181819,0.7254385964912281,0.022477064220183487,0.02176541717049577,0.041112454655380895,cuda,False,False
clinc150,CLINC150,0.25,42,trainable_k1,0.9520723941459055,0.7342816474959459,0.7588225533079404,0.9101818181818182,0.7105263157894737,0.022706422018348625,0.027160493827160494,0.05308641975308642,cuda,False,False
clinc150,CLINC150,0.25,87,trainable_k1,0.9468423443889141,0.7746334503243343,0.8298909060959907,0.9098181818181819,0.7578947368421053,0.044036697247706424,0.013888888888888888,0.018518518518518517,cuda,False,False
clinc150,CLINC150,0.5,13,recipe:last2_temp10,0.9155420773313117,0.8188257334207039,0.8566968331628343,0.8752727272727273,0.8551111111111112,0.07107692307692308,0.02702702702702703,0.04002079002079002,cuda,False,False
clinc150,CLINC150,0.5,42,recipe:last2_no_inter,0.9164387724096019,0.8263749375737308,0.866143279493787,0.8790909090909091,0.8595555555555555,0.072,0.025336091003102378,0.03412616339193381,cuda,False,False
clinc150,CLINC150,0.5,87,recipe:last2_temp10,0.9260628465804066,0.831949943515404,0.8731360158200128,0.8863636363636364,0.8951111111111111,0.07507692307692308,0.02830188679245283,0.04369414101290963,cuda,False,False
clinc150,CLINC150,0.75,13,trainable_k1_direct,0.8118617439120188,0.7847299049519963,0.7936926343747618,0.8001818181818182,0.7366071428571429,0.03411214953271028,0.023434343434343436,0.033535353535353536,cuda,False,False
clinc150,CLINC150,0.75,42,trainable_k1_direct,0.8133123276880662,0.7814126855976055,0.7900838473646054,0.7981818181818182,0.7401785714285715,0.035046728971962614,0.022919179734620022,0.04221954161640531,cuda,False,False
clinc150,CLINC150,0.75,87,trainable_k1_direct,0.7987271280827367,0.7755073822300338,0.790732456151561,0.7885454545454545,0.7380952380952381,0.0616822429906542,0.02661290322580645,0.034274193548387094,cuda,False,False
stackoverflow,StackOverflow,0.25,13,trainable_k1,0.9619975906253423,0.8243425616889805,0.8246454684226979,0.9228714524207011,0.835113484646195,0.02226179875333927,0.0,0.09192645883293366,cuda,False,False
stackoverflow,StackOverflow,0.25,42,trainable_k1,0.9598596183373547,0.827511270383087,0.8332579947266268,0.9217028380634391,0.8336673346693386,0.026040507456042732,0.0,0.08253205128205128,cuda,False,False
stackoverflow,StackOverflow,0.25,87,trainable_k1,0.9394380387327885,0.8266619782982322,0.881157541521634,0.9028380634390651,0.8381270903010033,0.06651835372636263,0.0,0.03272146847565842,cuda,False,False
stackoverflow,StackOverflow,0.5,13,adaptive_centers_overall,0.8984107198504206,0.8223286612737574,0.8308847424345995,0.8601001669449082,0.8194259012016022,0.03707414829659319,0.0,0.07576374745417515,cuda,False,False
stackoverflow,StackOverflow,0.5,42,adaptive_centers_overall,0.9185441941074524,0.8577553088108423,0.8636383638086679,0.8873121869782972,0.8546608753758771,0.027360694027360695,0.0,0.0617670054730258,cuda,False,False
stackoverflow,StackOverflow,0.5,87,adaptive_centers_overall,0.8817641538942759,0.8412022146826761,0.8625235760835013,0.8607679465776293,0.8066132264529058,0.059078771695594126,0.0,0.03229813664596273,cuda,False,False
stackoverflow,StackOverflow,0.75,13,trainable_k1_direct,0.7398554752640356,0.8298094990047842,0.8522505293614658,0.8070116861435727,0.8289913159652639,0.11207471647765177,0.0,0.059092130002686004,cuda,False,False
stackoverflow,StackOverflow,0.75,42,trainable_k1_direct,0.784524449220849,0.8462666174245681,0.8543209437345467,0.8303839732888146,0.8301046537519483,0.02601734489659773,0.0,0.05740343347639485,cuda,False,False
stackoverflow,StackOverflow,0.75,87,trainable_k1_direct,0.7304643261608154,0.8511928305761591,0.8786274920944356,0.8202003338898164,0.8341865123525484,0.13827655310621242,0.0,0.03335112059765208,cuda,False,False
banking77_oos,Banking77-OOS,0.25,13,trainable_k1,0.9271873165002936,0.655616960040732,0.8871229894229172,0.8725490196078431,0.8875,0.12277777777777778,0.0,0.056338028169014086,cuda,False,False
banking77_oos,Banking77-OOS,0.25,42,trainable_k1,0.9359492210040392,0.633846144531254,0.8301769044312541,0.8838235294117647,0.8166666666666667,0.09888888888888889,0.0,0.07653061224489796,cuda,False,False
banking77_oos,Banking77-OOS,0.25,87,trainable_k1,0.9142099056603774,0.5972713732464803,0.8416450378044624,0.8509803921568627,0.8270833333333333,0.1386111111111111,0.0,0.0654911838790932,cuda,False,False
banking77_oos,Banking77-OOS,0.5,13,adaptive_centers_overall,0.9161495624502785,0.6701792511306628,0.7328502962315239,0.8566176470588235,0.674,0.06525974025974025,0.0,0.08605341246290801,cuda,False,False
banking77_oos,Banking77-OOS,0.5,42,adaptive_centers_overall,0.9201556420233463,0.6510801985669687,0.6840343102868374,0.861764705882353,0.611,0.04025974025974026,0.0,0.08346972176759411,cuda,False,False
banking77_oos,Banking77-OOS,0.5,87,adaptive_centers_overall,0.920303605313093,0.6671614261019164,0.7189489787337219,0.8602941176470589,0.666,0.05519480519480519,0.0,0.0990990990990991,cuda,False,False
banking77_oos,Banking77-OOS,0.75,13,trainable_k1_direct,0.8698334361505243,0.7045754885223392,0.8009597327968342,0.7982843137254902,0.8763157894736842,0.173828125,0.0,0.14264264264264265,cuda,False,False
banking77_oos,Banking77-OOS,0.75,42,trainable_k1_direct,0.8681790312691601,0.6996892088401723,0.792079728266383,0.7958333333333333,0.8625,0.1703125,0.0,0.14340198321891687,cuda,False,False
banking77_oos,Banking77-OOS,0.75,87,trainable_k1_direct,0.860135551447936,0.6988171806904553,0.7959983890108331,0.7892156862745098,0.8585526315789473,0.18203125,0.0,0.1371647509578544,cuda,False,False
