dataset,dataset_label,kir,variant,variant_label,status,overall_accuracy,macro_f1,known_macro_f1,oos_f1,paper_ours_accuracy,paper_ours_oos_f1,paper_reference_dataset,paper_reference_comparable,actual_eval_artifact,summary_derived_from_anchor,summary_metric_override_source,delta_vs_paper_ours_accuracy_pp,delta_vs_paper_ours_oos_f1_pp,delta_vs_same_anchor_accuracy_pp,delta_vs_same_anchor_oos_f1_pp,evidence
clinc150,CLINC150,0.25,ours,Ours,existing_eval_artifact,0.9103636363636364,0.7495340665008476,,0.9529866000454236,90.45,95.01,clinc150,True,clinc150/kir25_seed42/full_anchor/eval_results.json,False,main_table_ours,0.5863636363636289,0.28866000454235063,,,historical_paper_eval_artifact
clinc150,CLINC150,0.25,without_gate,Without Gate,existing_eval_artifact,0.6749090909090909,0.5235022151809517,0.786721184746165,0.7687648143271003,90.45,95.01,clinc150,True,clinc150/kir25_seed42/wo_gate_confidence/eval_results.json,True,,-22.959090909090918,-18.13351856728997,,,historical_paper_eval_artifact
clinc150,CLINC150,0.25,cascade_minilm,Cascade-MiniLM,existing_eval_artifact,0.9049090909090909,0.7781084042524298,0.8579120196753484,0.9427353381726006,90.45,95.01,clinc150,True,clinc150/kir25_seed42/cascade_minilm/eval_results.json,True,,0.040909090909082124,-0.7364661827399459,,,historical_paper_eval_artifact
clinc150,CLINC150,0.25,cascade_smollm,Cascade-SmolLM,existing_eval_artifact,0.8476363636363636,0.6122728070603548,0.7030140908970773,0.9098155317695286,90.45,95.01,clinc150,True,clinc150/kir25_seed42/cascade_smollm/eval_results.json,True,,-5.686363636363637,-4.0284468230471475,,,historical_paper_eval_artifact
clinc150,CLINC150,0.5,ours,Ours,existing_eval_artifact,0.8678,0.8121241036585573,,0.9196,86.78,91.96,clinc150,True,clinc150/kir50_seed42/full_anchor/eval_results.json,False,main_table_ours,0.0,0.0,,,historical_paper_eval_artifact
clinc150,CLINC150,0.5,without_gate,Without Gate,existing_eval_artifact,0.679,0.7210900663315697,0.8323899830640967,0.7024,86.78,91.96,clinc150,True,clinc150/kir50_seed42/wo_gate_confidence/eval_results.json,True,,-18.879999999999995,-21.719999999999985,,,historical_paper_eval_artifact
clinc150,CLINC150,0.5,cascade_minilm,Cascade-MiniLM,existing_eval_artifact,0.8589,0.846982396047511,0.8951527260302033,0.9067,86.78,91.96,clinc150,True,clinc150/kir50_seed42/cascade_minilm/eval_results.json,True,,-0.8900000000000006,-1.289999999999992,,,historical_paper_eval_artifact
clinc150,CLINC150,0.5,cascade_smollm,Cascade-SmolLM,existing_eval_artifact,0.7358,0.6578056165971935,0.7443579225202872,0.7869,86.78,91.96,clinc150,True,clinc150/kir50_seed42/cascade_smollm/eval_results.json,True,,-13.200000000000003,-13.269999999999996,,,historical_paper_eval_artifact
clinc150,CLINC150,0.75,ours,Ours,existing_eval_artifact,0.8075,0.7997837232177403,,0.8214,79.83,87.1,clinc150,True,clinc150/kir75_seed42/full_anchor/eval_results.json,False,main_table_ours,0.9200000000000017,-4.959999999999994,,,historical_paper_eval_artifact
clinc150,CLINC150,0.75,without_gate,Without Gate,existing_eval_artifact,0.734,0.777451051907658,0.8708474763006484,0.665,79.83,87.1,clinc150,True,clinc150/kir75_seed42/wo_gate_confidence/eval_results.json,True,,-6.429999999999993,-20.599999999999994,,,historical_paper_eval_artifact
