dataset,protocol_variant,kir,seed,method,oos_f1,known_recall,false_accept_rate,auroc,source
clinc150,h1_archive,0.25,42,frozen_k1,0.9468228931951329,0.724561403508772,0.036238532110091745,0.9201108562691132,artifacts/s2c/runs/historical_protocol_v1/minilm_k1/clinc150/kir25_seed42/frozen_k1/metrics.json
clinc150,h1_archive,0.25,42,trainable_k1,0.9520723941459055,0.7105263157894737,0.022706422018348625,0.9600478834701431,artifacts/s2c/runs/historical_protocol_v1/minilm_k1/clinc150/kir25_seed42/trainable_k1/metrics.json
clinc150,h1_archive,0.50,42,frozen_k1,0.8816362053959965,0.731111111111111,0.06492307692307692,0.9029470085470086,artifacts/s2c/runs/historical_protocol_v1/minilm_k1/clinc150/kir50_seed42/frozen_k1/metrics.json
clinc150,h1_archive,0.50,42,trainable_k1,0.8956248212753789,0.728,0.036307692307692305,0.9420987350427351,artifacts/s2c/runs/historical_protocol_v1/minilm_k1/clinc150/kir50_seed42/trainable_k1/metrics.json
clinc150,h1_archive,0.75,42,frozen_k1,0.7998397114806652,0.7455357142857143,0.06728971962616823,0.9112424899866488,artifacts/s2c/runs/historical_protocol_v1/minilm_k1/clinc150/kir75_seed42/frozen_k1/metrics.json
clinc150,h1_archive,0.75,42,trainable_k1,0.8133123276880662,0.7401785714285714,0.035046728971962614,0.9458939697374276,artifacts/s2c/runs/historical_protocol_v1/minilm_k1/clinc150/kir75_seed42/trainable_k1/metrics.json
stackoverflow,h1_archive,0.25,42,frozen_k1,0.9127318238707475,0.8096192384769539,0.10727798798130425,0.9260950865303572,artifacts/s2c/runs/historical_protocol_v1/minilm_k1/stackoverflow/kir25_seed42/frozen_k1/metrics.json
stackoverflow,h1_archive,0.25,42,trainable_k1,0.9598596183373547,0.8336673346693386,0.026040507456042732,0.9533867051559903,artifacts/s2c/runs/historical_protocol_v1/minilm_k1/stackoverflow/kir25_seed42/trainable_k1/metrics.json
stackoverflow,h1_archive,0.50,42,frozen_k1,0.8435800230756552,0.8292682926829268,0.14614614614614616,0.9133610723988272,artifacts/s2c/runs/historical_protocol_v1/minilm_k1/stackoverflow/kir50_seed42/frozen_k1/metrics.json
stackoverflow,h1_archive,0.50,42,trainable_k1,0.9149367878882473,0.8399599064483796,0.022022022022022022,0.9550686670633213,artifacts/s2c/runs/historical_protocol_v1/minilm_k1/stackoverflow/kir50_seed42/trainable_k1/metrics.json
