dataset,dataset_label,kir,transition,rate,rate_std,mean_delta_score,n_seeds
banking77_oos,BANKING77-OOS,0.5,both_correct,0.7435064935064934,0.018956702048045452,0.048894892987731337,3
banking77_oos,BANKING77-OOS,0.5,both_wrong,0.14935064935064934,0.014472655251962781,0.026574067924137107,3
banking77_oos,BANKING77-OOS,0.5,frozen_only,0.019913419913419914,0.007801221338069307,-0.06616221127367305,3
banking77_oos,BANKING77-OOS,0.5,trainable_only,0.08722943722943723,0.021414628810530918,0.09839025976204685,3
clinc150,CLINC150,0.5,both_correct,0.923897435897436,0.017796571262969463,0.13117876117939428,3
clinc150,CLINC150,0.5,both_wrong,0.03558974358974359,0.009540115654755682,0.0017372819225834025,3
clinc150,CLINC150,0.5,frozen_only,0.005538461538461538,0.0034675162060260447,-0.09733370990194251,3
clinc150,CLINC150,0.5,trainable_only,0.03497435897435897,0.007322387384041653,0.12428017717514743,3
stackoverflow,StackOverflow,0.5,both_correct,0.7349280798484502,0.09855523277490708,0.250487133229158,3
stackoverflow,StackOverflow,0.5,both_wrong,0.04117291280558625,0.02626699514102429,-0.0687025822127057,3
stackoverflow,StackOverflow,0.5,frozen_only,0.029824075462080445,0.022641050930077095,-0.0816597012291428,3
stackoverflow,StackOverflow,0.5,trainable_only,0.1940749318838831,0.05661306318022022,0.23575541318468898,3
