dataset,dataset_label,kir,method,method_label,oos_f1,oos_f1_std,known_recall,false_accept_rate,auroc,aupr_oos,n_seeds
banking77_oos,BANKING77-OOS,0.25,frozen_k1,Frozen K=1,0.9157798459993335,0.00797040650924406,0.8638888888888889,0.14,0.9324481095679014,0.9893962435447067,3
banking77_oos,BANKING77-OOS,0.25,trainable_k1,Trainable K=1,0.9257821477215701,0.010937565194105908,0.84375,0.12009259259259258,0.9328429783950618,0.9895848614061529,3
banking77_oos,BANKING77-OOS,0.5,frozen_k1,Frozen K=1,0.8482265965039684,0.014431358608591193,0.8883333333333333,0.23658008658008658,0.9113760822510822,0.9679501153977047,3
banking77_oos,BANKING77-OOS,0.5,trainable_k1,Trainable K=1,0.8847079648636532,0.00821463157436754,0.8546666666666667,0.16926406926406926,0.9154129870129871,0.9700221565102373,3
banking77_oos,BANKING77-OOS,0.75,frozen_k1,Frozen K=1,0.8355006510944841,0.021637676437124713,0.8989035087719298,0.23906250000000004,0.9153301466557018,0.9503768569330634,3
banking77_oos,BANKING77-OOS,0.75,trainable_k1,Trainable K=1,0.8660493396225402,0.005187863896483467,0.8657894736842104,0.175390625,0.9163925438596491,0.9515935363971849,3
clinc150,CLINC150,0.25,frozen_k1,Frozen K=1,0.9429344084653136,0.0035280052650678755,0.7368421052631579,0.04655963302752294,0.932801987767584,0.9728887996788322,3
clinc150,CLINC150,0.25,trainable_k1,Trainable K=1,0.9509719525763333,0.003704084625674737,0.7312865497076023,0.02974006116207951,0.9599499034282953,0.9875343547471038,3
clinc150,CLINC150,0.5,frozen_k1,Frozen K=1,0.8802432322955465,0.010028835864058769,0.7367407407407406,0.07056410256410256,0.9044940398860399,0.9046398779868293,3
clinc150,CLINC150,0.5,trainable_k1,Trainable K=1,0.8949743271714657,0.008373197208995356,0.7343703703703705,0.04112820512820513,0.9406843076923077,0.9497844989239953,3
clinc150,CLINC150,0.75,frozen_k1,Frozen K=1,0.7895486942872648,0.011159993507186395,0.7481150793650794,0.0895638629283489,0.9000798750185433,0.8156008083505818,3
clinc150,CLINC150,0.75,trainable_k1,Trainable K=1,0.8079670665609405,0.008034823932954382,0.7382936507936507,0.04361370716510903,0.9420727173268061,0.9031198673952102,3
stackoverflow,StackOverflow,0.25,frozen_k1,Frozen K=1,0.9385207147185749,0.02446563460681386,0.8307401143942981,0.06542726616269362,0.9377388452269568,0.9697397097255008,3
stackoverflow,StackOverflow,0.25,trainable_k1,Trainable K=1,0.9537650825651619,0.012453548494590263,0.8356359698721789,0.03827355331191488,0.9521380263935475,0.977629054534234,3
stackoverflow,StackOverflow,0.5,frozen_k1,Frozen K=1,0.790219571500888,0.04629012460496893,0.8322375535749171,0.23524784468946938,0.8874806332767604,0.8432651842041944,3
stackoverflow,StackOverflow,0.5,trainable_k1,Trainable K=1,0.8878386146524718,0.027055702773237895,0.8371372072092457,0.0709969882676667,0.9321274898560657,0.9057165384361504,3
stackoverflow,StackOverflow,0.75,frozen_k1,Frozen K=1,0.6313391913113686,0.053867812350296244,0.8359178314918864,0.31009851591107496,0.8685312507822344,0.6197708077223814,3
stackoverflow,StackOverflow,0.75,trainable_k1,Trainable K=1,0.7516147502152334,0.02888485133854583,0.8310941606899203,0.0921228714934873,0.9181306516156416,0.719092203943963,3
