dataset,dataset_label,kir,method,method_label,oos_f1,oos_f1_std,n_seeds
banking77_oos,BANKING77-OOS,0.25,frozen_k1,Frozen,0.9157798459993335,0.00797040650924406,3
banking77_oos,BANKING77-OOS,0.25,trainable_k1,Trainable,0.9257821477215701,0.010937565194105908,3
banking77_oos,BANKING77-OOS,0.5,frozen_k1,Frozen,0.8482265965039684,0.014431358608591193,3
banking77_oos,BANKING77-OOS,0.5,trainable_k1,Trainable,0.8847079648636532,0.00821463157436754,3
banking77_oos,BANKING77-OOS,0.75,frozen_k1,Frozen,0.8355006510944841,0.021637676437124713,3
banking77_oos,BANKING77-OOS,0.75,trainable_k1,Trainable,0.8660493396225402,0.005187863896483467,3
clinc150,CLINC150,0.25,frozen_k1,Frozen,0.9429344084653136,0.0035280052650678755,3
clinc150,CLINC150,0.25,trainable_k1,Trainable,0.9509719525763333,0.003704084625674737,3
clinc150,CLINC150,0.5,frozen_k1,Frozen,0.8802432322955465,0.010028835864058769,3
clinc150,CLINC150,0.5,trainable_k1,Trainable,0.8949743271714657,0.008373197208995356,3
clinc150,CLINC150,0.75,frozen_k1,Frozen,0.7895486942872648,0.011159993507186395,3
clinc150,CLINC150,0.75,trainable_k1,Trainable,0.8079670665609405,0.008034823932954382,3
stackoverflow,StackOverflow,0.25,frozen_k1,Frozen,0.9385207147185749,0.02446563460681386,3
stackoverflow,StackOverflow,0.25,trainable_k1,Trainable,0.9537650825651619,0.012453548494590263,3
stackoverflow,StackOverflow,0.5,frozen_k1,Frozen,0.790219571500888,0.04629012460496893,3
stackoverflow,StackOverflow,0.5,trainable_k1,Trainable,0.8878386146524718,0.027055702773237895,3
stackoverflow,StackOverflow,0.75,frozen_k1,Frozen,0.6313391913113686,0.053867812350296244,3
stackoverflow,StackOverflow,0.75,trainable_k1,Trainable,0.7516147502152334,0.02888485133854583,3
