dataset,transition,n_oos,delta_distance_mean,delta_distance_median,delta_radius_mean,delta_radius_median,delta_score_mean,delta_score_median,score_distance_contribution_mean,score_distance_contribution_median,score_radius_contribution_mean,score_radius_contribution_median,n_seeds,total_oos,rate
banking77_oos,both_correct,6870,0.7877679234456005,0.7837404405838164,-0.26039987018259775,-0.18677960521604575,0.049218472442136035,0.04958109952492018,0.034726467860288275,0.03452943179747814,0.014492004581847765,0.008977696674845936,3,9240,0.7435064935064936
banking77_oos,both_wrong,1380,0.4055078113081956,0.39296852655609626,-0.21929453912486646,-0.18677960521604575,0.026396199623485276,0.024521473081833167,0.017576589461837364,0.016896991430285835,0.008819610161647912,0.007815631193767991,3,9240,0.14935064935064934
banking77_oos,frozen_only,184,-1.569368573737586,-1.419820098012213,0.006990430713648471,-0.037616117633895385,-0.06853660919035805,-0.06244106109206521,-0.06815399000142087,-0.06233289273407572,-0.0003826191889371704,0.0016558826472203858,3,9240,0.019913419913419914
banking77_oos,trainable_only,806,1.679313700947332,1.6308133704060381,-0.5894920329463506,-0.5181234555393495,0.09992653496952135,0.09784838241032712,0.07286929631872267,0.07143148779158848,0.02705723865079867,0.024334194968599954,3,9240,0.08722943722943723
clinc150,both_correct,9008,3.700109909911815,3.3625852564294654,0.7882490892264757,0.4745098420493221,0.13136620972750376,0.12760247314516215,0.1801230218892586,0.16419738252468685,-0.048756812161754835,-0.03130570347441264,3,9750,0.9238974358974359
clinc150,both_wrong,347,0.45394795166339563,0.3495149778151969,0.4495607280698607,0.4477668794021916,0.0018645533461223553,0.002716245670883577,0.020828943415338554,0.0156964870343429,-0.0189643900692162,-0.01942855454880743,3,9750,0.03558974358974359
clinc150,frozen_only,54,-0.6912353080771204,-0.631388411357177,1.623246454357702,1.0167313827577331,-0.10610261036133259,-0.09268475511970692,-0.032708830263671586,-0.02971786320293024,-0.07339378009766101,-0.04721768088489259,3,9750,0.005538461538461538
clinc150,trainable_only,341,3.1994890975974153,3.0027631294837747,0.3973802773802477,0.44331044069658176,0.1259409860099991,0.11706343006251141,0.14570535961076092,0.1354920484673925,-0.019764373600761803,-0.021601001664228514,3,9750,0.03497435897435897
stackoverflow,both_correct,6605,9.083491232117236,8.678684834098949,3.0809585658629444,3.0804972613153936,0.25388085557423407,0.24108648385076314,0.45233144859795393,0.4322852789151337,-0.1984505930237199,-0.2004655338219139,3,8987,0.7349504840324914
stackoverflow,both_wrong,370,0.9092763022563136,1.2880951632917252,2.5991459350819084,2.39927762974564,-0.06700449844567803,-0.05439371769295226,0.04498662618246313,0.06146046517097259,-0.11199112462814118,-0.10514416496978185,3,8987,0.04117057972627128
stackoverflow,frozen_only,268,1.401548507950044,1.5433053976909097,3.153401780851623,3.1314027109008045,-0.07807802489880526,-0.06819625252903444,0.06993499295462301,0.07701732433870312,-0.14801301785342827,-0.15069257011581094,3,8987,0.02982085234227217
stackoverflow,trainable_only,1744,8.232023523257197,7.767038856604994,3.0152482523821202,3.1314027109008045,0.22703215741099314,0.2111123117626642,0.40999197292966005,0.3865804024204195,-0.18295981551866689,-0.18641657407323542,3,8987,0.19405808389896517
