dataset,dataset_label,seed,epoch,phase,loss,selection_score
clinc150,CLINC150,13,1,warmup,0.1427105758654869,0.8648669361752708
clinc150,CLINC150,13,2,finetune,0.10259647247523575,0.8815702626131225
clinc150,CLINC150,13,3,finetune,0.06951093623193644,0.8810247053433466
clinc150,CLINC150,13,4,finetune,0.051278173292087295,0.875370487571515
clinc150,CLINC150,42,1,warmup,0.14063106032119968,0.8474279329155824
clinc150,CLINC150,42,2,finetune,0.09962749945283947,0.86842378204337
clinc150,CLINC150,42,3,finetune,0.06378208078696566,0.8754717099113695
clinc150,CLINC150,42,4,finetune,0.04645337798964169,0.8778424579848983
clinc150,CLINC150,87,1,warmup,0.1473880508693598,0.8554425041350489
clinc150,CLINC150,87,2,finetune,0.10094119179046761,0.8636997913431923
clinc150,CLINC150,87,3,finetune,0.0651114093045057,0.8611301984656209
clinc150,CLINC150,87,4,finetune,0.04737427906464722,0.8625997153736358
stackoverflow,StackOverflow,13,1,warmup,0.47174299349810217,0.879802266931418
stackoverflow,StackOverflow,13,2,finetune,0.3469047876907156,0.9180477630211483
stackoverflow,StackOverflow,13,3,finetune,0.24002118733652095,0.9254699378596425
stackoverflow,StackOverflow,13,4,finetune,0.18182759961866318,0.9233657904270306
stackoverflow,StackOverflow,42,1,warmup,0.4498244747519493,0.9020074917430962
stackoverflow,StackOverflow,42,2,finetune,0.31393685588177217,0.9331875874499052
stackoverflow,StackOverflow,42,3,finetune,0.2209306995760887,0.9322530339992183
stackoverflow,StackOverflow,42,4,finetune,0.16350501954079943,0.9355701447342525
stackoverflow,StackOverflow,87,1,warmup,0.3596977505912172,0.9016894557991086
stackoverflow,StackOverflow,87,2,finetune,0.2611862434510221,0.9376644711140768
stackoverflow,StackOverflow,87,3,finetune,0.16088543899674365,0.9396758028551292
stackoverflow,StackOverflow,87,4,finetune,0.10378978131933415,0.9447926772086643
banking77_oos,BANKING77-OOS,13,1,warmup,0.7337155784575307,0.8965471934115223
banking77_oos,BANKING77-OOS,13,2,finetune,0.5136165074547943,0.9233012396286797
banking77_oos,BANKING77-OOS,13,3,finetune,0.3648763244249383,0.9083634066786825
banking77_oos,BANKING77-OOS,13,4,finetune,0.2755177405719854,0.9051802305716053
banking77_oos,BANKING77-OOS,42,1,warmup,0.8030881693829661,0.884527691042298
banking77_oos,BANKING77-OOS,42,2,finetune,0.5359183038058488,0.9075350851309298
banking77_oos,BANKING77-OOS,42,3,finetune,0.38366459342448606,0.9056017112229118
banking77_oos,BANKING77-OOS,42,4,finetune,0.31432658855033957,0.9053435736497029
banking77_oos,BANKING77-OOS,87,1,warmup,0.8376501675533212,0.903339450196825
banking77_oos,BANKING77-OOS,87,2,finetune,0.550017363027386,0.9075405941057297
banking77_oos,BANKING77-OOS,87,3,finetune,0.4048772538485734,0.9039897514098152
banking77_oos,BANKING77-OOS,87,4,finetune,0.32503259700277576,0.8980553183968369
