source,source_line,protocol,kir,dataset,method,known_f1,oos_f1,accuracy
fulltex.tex,30780,historical_full_cascade,0.25,banking77,ADB,70.92,85.05,79.33
fulltex.tex,30781,historical_full_cascade,0.25,banking77,DA-ADB,73.05,86.57,81.19
fulltex.tex,30777,historical_full_cascade,0.25,banking77,DOC,65.16,76.64,70.31
fulltex.tex,30778,historical_full_cascade,0.25,banking77,DeepUnk,64.97,76.98,70.68
fulltex.tex,30779,historical_full_cascade,0.25,banking77,KNNCL,65.54,79.34,73.01
fulltex.tex,30775,historical_full_cascade,0.25,banking77,MSP,50.47,39.42,42.19
fulltex.tex,30776,historical_full_cascade,0.25,banking77,OpenMax,53.42,48.52,47.76
fulltex.tex,30782,historical_full_cascade,0.25,banking77,Ours,75.83,93.99,89.07
fulltex.tex,30790,historical_full_cascade,0.5,banking77,ADB,81.39,79.43,79.61
fulltex.tex,30791,historical_full_cascade,0.5,banking77,DA-ADB,82.54,79.93,81.51
fulltex.tex,30787,historical_full_cascade,0.5,banking77,DOC,78.38,72.66,74.6
fulltex.tex,30788,historical_full_cascade,0.5,banking77,DeepUnk,75.61,67.8,71.01
fulltex.tex,30789,historical_full_cascade,0.5,banking77,KNNCL,75.16,67.21,70.41
fulltex.tex,30785,historical_full_cascade,0.5,banking77,MSP,73.2,46.29,61.67
fulltex.tex,30786,historical_full_cascade,0.5,banking77,OpenMax,75.16,55.03,65.53
fulltex.tex,30792,historical_full_cascade,0.5,banking77,Ours,74.9,88.23,78.98
fulltex.tex,30800,historical_full_cascade,0.75,banking77,ADB,86.44,67.34,81.39
fulltex.tex,30801,historical_full_cascade,0.75,banking77,DA-ADB,85.93,69.37,81.12
fulltex.tex,30797,historical_full_cascade,0.75,banking77,DOC,84.14,63.51,78.94
fulltex.tex,30798,historical_full_cascade,0.75,banking77,DeepUnk,81.65,50.57,74.73
fulltex.tex,30799,historical_full_cascade,0.75,banking77,KNNCL,81.76,51.42,74.78
fulltex.tex,30795,historical_full_cascade,0.75,banking77,MSP,84.99,46.05,77.08
fulltex.tex,30796,historical_full_cascade,0.75,banking77,OpenMax,85.5,53.02,78.32
fulltex.tex,30802,historical_full_cascade,0.75,banking77,Ours,70.28,86.49,77.84
fulltex.tex,30780,historical_full_cascade,0.25,clinc150,ADB,77.85,92.36,88.3
fulltex.tex,30781,historical_full_cascade,0.25,clinc150,DA-ADB,79.57,93.2,89.48
fulltex.tex,30777,historical_full_cascade,0.25,clinc150,DOC,75.46,90.78,86.08
fulltex.tex,30778,historical_full_cascade,0.25,clinc150,DeepUnk,76.95,91.61,87.18
fulltex.tex,30779,historical_full_cascade,0.25,clinc150,KNNCL,78.85,93.56,89.87
fulltex.tex,30775,historical_full_cascade,0.25,clinc150,MSP,51.02,59.26,53.38
fulltex.tex,30776,historical_full_cascade,0.25,clinc150,OpenMax,62.65,77.51,70.27
fulltex.tex,30782,historical_full_cascade,0.25,clinc150,Ours,71.75,95.01,90.45
fulltex.tex,30790,historical_full_cascade,0.5,clinc150,ADB,85.12,88.6,86.54
fulltex.tex,30791,historical_full_cascade,0.5,clinc150,DA-ADB,85.58,90.1,87.93
fulltex.tex,30787,historical_full_cascade,0.5,clinc150,DOC,83.84,87.45,85.19
fulltex.tex,30788,historical_full_cascade,0.5,clinc150,DeepUnk,83.3,87.48,84.95
fulltex.tex,30789,historical_full_cascade,0.5,clinc150,KNNCL,83.25,87.85,85.32
fulltex.tex,30785,historical_full_cascade,0.5,clinc150,MSP,72.82,63.71,66.68
fulltex.tex,30786,historical_full_cascade,0.5,clinc150,OpenMax,79.83,82.15,80.22
