dataset,seed,split,intent,is_known,count,accepted_count,rejected_count,near_boundary_count,median_score
banking77_oos,87,val,Refund_not_showing_up,True,33,22,11,6,0.9486912268573893
banking77_oos,87,val,activate_my_card,False,32,0,32,2,1.1875249584014402
banking77_oos,87,val,age_limit,False,22,0,22,0,1.4639217894513594
banking77_oos,87,val,apple_pay_or_google_pay,False,26,0,26,2,1.3604560466925721
banking77_oos,87,val,atm_support,False,18,0,18,0,1.1464807902055862
banking77_oos,87,val,automatic_top_up,False,26,0,26,0,1.4301905317912542
banking77_oos,87,val,balance_not_updated_after_bank_transfer,True,35,25,10,9,0.9370622447967498
banking77_oos,87,val,balance_not_updated_after_cheque_or_cash_deposit,True,37,21,16,8,0.9709234903292268
banking77_oos,87,val,beneficiary_not_allowed,True,32,24,8,7,0.913136962770805
banking77_oos,87,val,cancel_transfer,True,32,21,11,0,0.886538380120417
banking77_oos,87,val,card_about_to_expire,True,26,12,14,3,1.038345260995293
banking77_oos,87,val,card_acceptance,False,12,1,11,2,1.147859505760698
banking77_oos,87,val,card_arrival,True,31,19,12,6,0.9387215150296521
banking77_oos,87,val,card_delivery_estimate,False,23,3,20,6,1.2563904278848308
banking77_oos,87,val,card_linking,False,28,0,28,0,1.2478377409332646
banking77_oos,87,val,card_not_working,False,23,0,23,0,1.2948668202585896
banking77_oos,87,val,card_payment_fee_charged,False,38,2,36,13,1.0920732910711997
banking77_oos,87,val,card_payment_not_recognised,True,34,26,8,13,0.9579538502404308
banking77_oos,87,val,card_payment_wrong_exchange_rate,False,34,0,34,0,1.299246139377816
banking77_oos,87,val,card_swallowed,False,13,0,13,2,1.1378410405655048
banking77_oos,87,val,cash_withdrawal_charge,False,36,0,36,3,1.1491175456672584
banking77_oos,87,val,cash_withdrawal_not_recognised,False,32,3,29,8,1.1047666053660292
banking77_oos,87,val,change_pin,False,25,1,24,1,1.16427775034887
banking77_oos,87,val,compromised_card,False,18,2,16,3,1.1210168545586345
banking77_oos,87,val,contactless_not_working,False,7,0,7,0,1.330964213625274
banking77_oos,87,val,country_support,True,26,13,13,7,0.9886835998388344
banking77_oos,87,val,declined_card_payment,False,31,5,26,6,1.110502647948692
banking77_oos,87,val,declined_cash_withdrawal,False,35,0,35,2,1.1703946808720402
banking77_oos,87,val,declined_transfer,True,27,18,9,4,0.8698059216328851
banking77_oos,87,val,direct_debit_payment_not_recognised,True,37,30,7,8,0.9112179039121376
banking77_oos,87,val,disposable_card_limits,True,25,20,5,4,0.8916037710018313
banking77_oos,87,val,edit_personal_details,True,25,16,9,8,0.9798261658328004
banking77_oos,87,val,exchange_charge,True,25,16,9,2,0.9443339286577686
banking77_oos,87,val,exchange_rate,False,23,0,23,0,1.374942168857718
banking77_oos,87,val,exchange_via_app,False,24,0,24,0,1.2720092755115178
banking77_oos,87,val,extra_charge_on_statement,False,34,0,34,1,1.2025886410947706
banking77_oos,87,val,failed_transfer,False,28,10,18,8,1.042211235674471
banking77_oos,87,val,fiat_currency_support,False,26,0,26,0,1.4044888479481794
banking77_oos,87,val,get_disposable_virtual_card,False,20,1,19,0,1.2221906293602602
banking77_oos,87,val,get_physical_card,False,22,1,21,1,1.2644587623562886
banking77_oos,87,val,getting_spare_card,False,26,2,24,3,1.1749330397595341
banking77_oos,87,val,getting_virtual_card,False,20,0,20,0,1.305161844662829
banking77_oos,87,val,lost_or_stolen_card,False,17,0,17,0,1.256490083197347
banking77_oos,87,val,lost_or_stolen_phone,False,25,2,23,0,1.3783936970441066
banking77_oos,87,val,oos,False,200,0,200,0,1.666011107725152
banking77_oos,87,val,order_physical_card,True,24,15,9,7,0.9569514578413674
banking77_oos,87,val,passcode_forgotten,False,21,2,19,1,1.3783035235623133
banking77_oos,87,val,pending_card_payment,True,32,23,9,4,0.8495440084224029
banking77_oos,87,val,pending_cash_withdrawal,False,29,2,27,4,1.1700562517727993
banking77_oos,87,val,pending_top_up,True,30,20,10,6,0.9576479492420242
banking77_oos,87,val,pending_transfer,True,30,23,7,4,0.891820920680685
banking77_oos,87,val,pin_blocked,False,23,0,23,0,1.2050122978409576
banking77_oos,87,val,receiving_money,False,19,2,17,1,1.3997111034041934
