dataset,seed,split,selected_oos_f1,fixed_score_threshold_oracle_f1,oracle_is_posthoc_not_selection,all_reject_oos_f1,auroc,aupr_oos
clinc150,13,val,0.8897058823529411,0.8911483253588516,True,0.6808510638297872,0.9339474999999999,0.921500224044137
clinc150,13,test,0.899878640776699,0.9020021074815595,True,0.7428571428571429,0.9374458803418804,0.9485461779351887
clinc150,42,val,0.8842620943049602,0.8853366123578236,True,0.6808510638297872,0.9400825,0.9408294958030607
clinc150,42,test,0.9108731714673504,0.9139307897071873,True,0.7428571428571429,0.9525196581196582,0.9620710347245172
clinc150,87,val,0.9006744328632741,0.9015892420537897,True,0.6808510638297872,0.9470816666666667,0.9300663702147278
clinc150,87,test,0.9189522342064715,0.9208131067961166,True,0.7428571428571429,0.9534926495726497,0.9584861280319306
stackoverflow,13,val,0.9003275620028077,0.901593252108716,True,0.66711140760507,0.9496603206412825,0.9309294922039189
stackoverflow,13,test,0.8984107198504206,0.899436090225564,True,0.6665182546749777,0.9432529946408169,0.9232601295846465
stackoverflow,42,val,0.921455938697318,0.9226361031518624,True,0.66711140760507,0.9620891783567134,0.9539253081776289
stackoverflow,42,test,0.9185441941074524,0.9189189189189191,True,0.6669633915655947,0.9568618624192742,0.9432819419069943
stackoverflow,87,val,0.8906616611919287,0.8910798122065728,True,0.66711140760507,0.9233366733466933,0.8981174903570174
stackoverflow,87,test,0.8817641538942759,0.8829524397776405,True,0.6668150456265302,0.9197549527180753,0.893678706227796
banking77_oos,13,val,0.8788273615635179,0.8791137178233953,True,0.7864314789687924,0.8977711483097927,0.9371807701335331
banking77_oos,13,test,0.9161495624502785,0.9180639038279026,True,0.8603351955307262,0.9191324675324675,0.971791251365848
banking77_oos,42,val,0.8951310861423221,0.8952562878064311,True,0.7988181573999463,0.8953834882286447,0.9350083900315964
banking77_oos,42,test,0.9201556420233463,0.9206398509085262,True,0.8603351955307262,0.911298051948052,0.9674170384643731
banking77_oos,87,val,0.8934269304403318,0.8945686900958467,True,0.7984954325631382,0.8951547779273217,0.9349719869781664
banking77_oos,87,test,0.920303605313093,0.9221311475409835,True,0.8603351955307262,0.9178837662337662,0.9706168734566276
