dataset,seed,split,intent,is_known,count,accepted_count,rejected_count,near_boundary_count,median_score
stackoverflow,42,val,ajax,False,100,4,96,5,1.0838936047970678
stackoverflow,42,val,apache,True,100,85,15,4,0.621403911967396
stackoverflow,42,val,bash,False,100,7,93,6,1.064124971532014
stackoverflow,42,val,cocoa,True,100,87,13,8,0.5866961794171817
stackoverflow,42,val,drupal,True,100,86,14,5,0.5548292348679675
stackoverflow,42,val,excel,False,100,0,100,1,1.184606125936606
stackoverflow,42,val,haskell,False,100,1,99,0,1.2309518063744982
stackoverflow,42,val,hibernate,True,100,87,13,4,0.5525360487534092
stackoverflow,42,val,linq,True,100,91,9,1,0.5066500356249097
stackoverflow,42,val,magento,False,100,11,89,19,0.9774536608563238
stackoverflow,42,val,matlab,False,100,1,99,1,1.1311819086449735
stackoverflow,42,val,oracle,True,100,86,14,7,0.5703361418349553
stackoverflow,42,val,osx,True,100,81,19,9,0.6796404621309298
stackoverflow,42,val,qt,False,100,10,90,5,1.0317353124727373
stackoverflow,42,val,scala,False,100,0,100,3,1.2460542420119995
stackoverflow,42,val,sharepoint,False,100,2,98,6,1.0376557311930212
stackoverflow,42,val,spring,True,98,83,15,5,0.5513259805999042
stackoverflow,42,val,svn,True,100,94,6,4,0.5701588805830834
stackoverflow,42,val,visual-studio,False,100,2,98,5,1.13367621005224
stackoverflow,42,val,wordpress,True,100,92,8,3,0.6065438826613089
stackoverflow,42,test,ajax,False,300,10,290,5,1.125679287059563
stackoverflow,42,test,apache,True,299,242,57,15,0.6308044174590542
stackoverflow,42,test,bash,False,300,6,294,7,1.101222812563872
stackoverflow,42,test,cocoa,True,299,239,60,22,0.6066595735544172
stackoverflow,42,test,drupal,True,300,266,34,9,0.563004434602771
stackoverflow,42,test,excel,False,299,4,295,2,1.1624013697057614
stackoverflow,42,test,haskell,False,298,5,293,2,1.201894641080391
stackoverflow,42,test,hibernate,True,300,271,29,7,0.5294552318593919
stackoverflow,42,test,linq,True,297,267,30,6,0.5050669491729979
stackoverflow,42,test,magento,False,300,24,276,49,0.9822000334474115
stackoverflow,42,test,matlab,False,300,2,298,4,1.1642148264769876
stackoverflow,42,test,oracle,True,300,249,51,16,0.6046334877003596
stackoverflow,42,test,osx,True,300,249,51,20,0.6544827853091654
stackoverflow,42,test,qt,False,300,16,284,19,1.0382411238514493
stackoverflow,42,test,scala,False,300,1,299,0,1.2449809290636038
stackoverflow,42,test,sharepoint,False,300,9,291,12,1.0703198908902654
stackoverflow,42,test,spring,True,299,260,39,7,0.5659072514284578
stackoverflow,42,test,svn,True,300,255,45,11,0.5928592240574493
stackoverflow,42,test,visual-studio,False,300,5,295,5,1.1507326049601825
stackoverflow,42,test,wordpress,True,299,260,39,15,0.6200122052857013
