dataset,seed,strategy,epoch,split,intent,is_known,count,accepted_count,rejected_count,near_boundary_count,median_score
clinc150,13,last2_long,7,val,accept_reservations,False,20,1,19,2,1.0801089141259455
clinc150,13,last2_long,7,val,account_blocked,False,20,1,19,1,1.0885790444326475
clinc150,13,last2_long,7,val,alarm,False,20,0,20,4,0.988973014259815
clinc150,13,last2_long,7,val,application_status,True,20,20,0,1,0.5367975889583587
clinc150,13,last2_long,7,val,apr,False,20,0,20,0,1.2173231428008835
clinc150,13,last2_long,7,val,are_you_a_bot,False,20,0,20,0,1.2045413251970203
clinc150,13,last2_long,7,val,balance,True,20,16,4,1,0.7041380924376826
clinc150,13,last2_long,7,val,bill_balance,True,20,13,7,1,0.8112089508646438
clinc150,13,last2_long,7,val,bill_due,True,20,20,0,0,0.589926700500031
clinc150,13,last2_long,7,val,book_flight,False,20,0,20,0,1.0760778955248478
clinc150,13,last2_long,7,val,book_hotel,False,20,1,19,3,1.1973864514666044
clinc150,13,last2_long,7,val,calculator,False,20,0,20,0,1.3232471940863508
clinc150,13,last2_long,7,val,calendar,False,20,0,20,1,1.1540207209697444
clinc150,13,last2_long,7,val,calendar_update,True,20,19,1,1,0.6655038236461135
clinc150,13,last2_long,7,val,calories,False,20,0,20,0,1.3517828250155663
clinc150,13,last2_long,7,val,cancel,False,20,0,20,0,1.2284158630771365
clinc150,13,last2_long,7,val,cancel_reservation,False,20,0,20,0,1.1603663990676323
clinc150,13,last2_long,7,val,car_rental,True,20,20,0,1,0.6709431283605951
clinc150,13,last2_long,7,val,card_declined,True,20,20,0,1,0.5976042720850689
clinc150,13,last2_long,7,val,carry_on,False,20,0,20,0,1.358048645431725
clinc150,13,last2_long,7,val,change_accent,True,20,14,6,1,0.7546871794619572
clinc150,13,last2_long,7,val,change_ai_name,False,20,18,2,4,0.728592232471599
clinc150,13,last2_long,7,val,change_language,False,20,2,18,4,1.0459857188752795
clinc150,13,last2_long,7,val,change_speed,False,20,0,20,0,1.294124774417857
clinc150,13,last2_long,7,val,change_user_name,True,20,17,3,1,0.7207011508844763
clinc150,13,last2_long,7,val,change_volume,True,20,19,1,0,0.545854896628668
clinc150,13,last2_long,7,val,confirm_reservation,True,20,16,4,3,0.7781244545175237
clinc150,13,last2_long,7,val,cook_time,False,20,0,20,0,1.2490922833626015
clinc150,13,last2_long,7,val,credit_limit,False,20,2,18,7,0.9778165300507229
clinc150,13,last2_long,7,val,credit_limit_change,True,20,20,0,0,0.5569381088046991
clinc150,13,last2_long,7,val,credit_score,False,20,0,20,1,1.1358335775787238
clinc150,13,last2_long,7,val,current_location,False,20,1,19,0,1.226533397859214
clinc150,13,last2_long,7,val,damaged_card,True,20,18,2,3,0.7313429322430347
clinc150,13,last2_long,7,val,date,True,20,18,2,1,0.5969553168977362
clinc150,13,last2_long,7,val,definition,True,20,13,7,5,0.8294656839747279
clinc150,13,last2_long,7,val,direct_deposit,False,20,0,20,0,1.2487856606770147
clinc150,13,last2_long,7,val,directions,False,20,6,14,3,1.059941813087102
clinc150,13,last2_long,7,val,distance,True,20,20,0,1,0.654902189374654
clinc150,13,last2_long,7,val,do_you_have_pets,False,20,0,20,0,1.3306488714327123
clinc150,13,last2_long,7,val,exchange_rate,False,20,0,20,0,1.0968119142389767
clinc150,13,last2_long,7,val,expiration_date,False,20,0,20,0,1.1262725089429642
clinc150,13,last2_long,7,val,find_phone,True,20,17,3,1,0.597364030855627
clinc150,13,last2_long,7,val,flight_status,False,20,0,20,0,1.1904261361764576
clinc150,13,last2_long,7,val,flip_coin,True,20,20,0,0,0.46412713490616525
clinc150,13,last2_long,7,val,food_last,True,20,19,1,0,0.7198937801023767
clinc150,13,last2_long,7,val,freeze_account,True,20,13,7,4,0.8561309862481529
clinc150,13,last2_long,7,val,fun_fact,False,20,0,20,0,1.2861431179244018
clinc150,13,last2_long,7,val,gas,True,20,17,3,0,0.6237489659959641
clinc150,13,last2_long,7,val,gas_type,True,20,18,2,0,0.5710769462294167
