dataset,k,radius_lambda,threshold,acceptance_mode,seed_count,oos_f1_mean,oos_f1_std,oos_f1_min,known_f1_mean,known_f1_std,known_f1_min,accuracy_mean,accuracy_std,accuracy_min,known_recall_mean,known_recall_std,known_recall_min,false_accept_rate_mean,false_accept_rate_std,false_accept_rate_min,false_reject_rate_mean,false_reject_rate_std,false_reject_rate_min,auroc_mean,auroc_std,auroc_min,aupr_oos_mean,aupr_oos_std,aupr_oos_min,paper_oos_f1,delta_oos_f1_pp,beats_paper_oos_f1_mean
banking77_oos,1,0.25,1.0,nearest_sphere,3,0.917618486848366,0.00039756959529755904,0.9171974522292994,0.682924212265573,0.012937786695087715,0.6736048654966855,0.863153594771242,0.0014477161067540268,0.8620098039215687,0.6573333333333333,0.016357125528513743,0.642,0.0579004329004329,0.004990104711427922,0.05389610389610389,0.3426666666666667,0.01635712552851372,0.32,0.9163714285714285,0.003538040936428994,0.9114149350649351,0.9701463048556199,0.00153783633572708,0.9680384913306744,88.23,3.5318486848365893,True
banking77_oos,1,0.25,1.0,normalized_union,3,0.917618486848366,0.00039756959529755904,0.9171974522292994,0.6833308574980183,0.012740041134535791,0.6736048654966855,0.8632352941176471,0.0014008519770818777,0.8620098039215687,0.6573333333333333,0.016357125528513743,0.642,0.0579004329004329,0.004990104711427922,0.05389610389610389,0.3426666666666667,0.01635712552851372,0.32,0.9163758658008657,0.0035446903198256665,0.9114094155844156,0.9701499791052294,0.0015420405395234495,0.9680360907655119,88.23,3.5318486848365893,True
banking77_oos,1,0.5,0.95,nearest_sphere,3,0.9172898503191931,0.0008002913662402369,0.9166534872687016,0.6763057812358967,0.010520837824750034,0.666006442278475,0.8625816993464053,0.001475120105005533,0.8605392156862746,0.6393333333333334,0.011145502331533668,0.63,0.05357142857142857,0.004011634846937366,0.04967532467532468,0.36066666666666664,0.011145502331533668,0.345,0.9163786796536796,0.0034579165814404254,0.9116613636363635,0.9702406643181168,0.0015518549558262325,0.9681798823038013,88.23,3.498985031919304,True
banking77_oos,1,0.5,0.95,normalized_union,3,0.9172811398384796,0.0008057266514517307,0.9166534872687016,0.675154174253191,0.01063347735558674,0.6647239318972038,0.8622549019607844,0.0015884168378450581,0.8600490196078432,0.6396666666666667,0.010873004286866737,0.631,0.05367965367965368,0.003970548988710852,0.04967532467532468,0.36033333333333334,0.010873004286866737,0.345,0.9164687229437228,0.003558470000333991,0.9116152597402597,0.9703094453403901,0.0016245753138962459,0.9681573719765709,88.23,3.498113983847958,True
banking77_oos,2,1.25,0.85,normalized_union,3,0.9160796297964128,0.0024950368521170475,0.9125511167033659,0.6662761425348945,0.011199911195042317,0.6546369748445797,0.8597222222222222,0.003326678606454666,0.8553921568627451,0.6423333333333333,0.015923427883328265,0.623,0.05670995670995671,0.002463161618342218,0.053246753246753244,0.35766666666666663,0.01592342788332824,0.338,0.9131891774891775,0.007279552708647383,0.9029227272727273,0.9691599487322864,0.0032129148774751285,0.9646403690140335,88.23,3.377962979641268,True
banking77_oos,2,1.25,0.85,nearest_sphere,3,0.9160699942741716,0.0020047654977822914,0.913234831813895,0.6648001151982271,0.009578400276764041,0.6565355698217388,0.859640522875817,0.002604146642240107,0.8563725490196078,0.6383333333333333,0.0135728487143349,0.623,0.05562770562770563,0.002405423243603125,0.05227272727272727,0.36166666666666664,0.013572848714334899,0.344,0.9128941558441559,0.00718145228160689,0.9027435064935065,0.9689839272825655,0.0031960311992638942,0.9644736505153928,88.23,3.3769994274171466,True
banking77_oos,1,0.75,0.9,nearest_sphere,3,0.915601537043961,0.0023978261518506788,0.9134765017117958,0.6614679730820666,0.01402141520785434,0.643750239454373,0.859967320261438,0.003386336891513552,0.8553921568627451,0.6086666666666667,0.01488474237451075,0.589,0.04837662337662338,0.0051198598149415015,0.04285714285714286,0.3913333333333333,0.014884742374510726,0.375,0.9160080086580088,0.0034039821165138184,0.9115506493506493,0.9701738592142582,0.0015630184793563055,0.9681756022927097,88.23,3.3301537043960963,True
banking77_oos,1,0.75,0.9,normalized_union,3,0.9155840624515456,0.002435024438933998,0.9132803985676475,0.660824648340477,0.014639242704079652,0.6420126750212437,0.8597222222222222,0.003718891070830443,0.854656862745098,0.6093333333333333,0.014817407180595259,0.59,0.0485930735930736,0.005073899640576207,0.04285714285714286,0.39066666666666666,0.014817407180595234,0.374,0.9162089826839827,0.0037143891826072,0.9113295454545454,0.970312852323996,0.0017498656415549873,0.9680753876087353,88.23,3.3284062451545537,True
banking77_oos,1,1.0,0.9,nearest_sphere,3,0.9155721476217726,0.0012222441299071967,0.9142040038131554,0.6882238748549713,0.013567990906304872,0.6736997272289069,0.8607843137254902,0.0024591367554399795,0.8573529411764705,0.6826666666666666,0.016779617264870927,0.663,0.06872294372294373,0.004446458568003062,0.06525974025974025,0.3173333333333333,0.016779617264870976,0.296,0.9154129870129871,0.0033379691859555783,0.9113032467532468,0.9700221565102373,0.0015658844124126071,0.9681171537302224,88.23,3.327214762177263,True
banking77_oos,1,1.0,0.9,normalized_union,3,0.9154377896326392,0.0010024629429780595,0.9144945963127782,0.6870673331666545,0.013410293029509305,0.672474624971523,0.8602941176470589,0.0022729457096803637,0.8571078431372549,0.6833333333333332,0.016006942938057257,0.665,0.06915584415584415,0.004591602475237323,0.0659090909090909,0.31666666666666665,0.016006942938057305,0.296,0.9156095238095238,0.003853813081792067,0.9107691558441557,0.9701696326334667,0.001853992556592431,0.96787492650003,88.23,3.313778963263914,True
