dataset,seed,gate,stage,count,rate
clinc150,13,trainable_k1_current_h1,correct_oos_rejection,3075,0.5590909090909091
clinc150,13,trainable_k1_current_h1,oos_accepted_by_gate,175,0.031818181818181815
clinc150,13,trainable_k1_current_h1,known_rejected_by_gate,614,0.11163636363636363
clinc150,13,trainable_k1_current_h1,known_wrong_domain,38,0.006909090909090909
clinc150,13,trainable_k1_current_h1,known_wrong_expert,59,0.010727272727272728
clinc150,13,trainable_k1_current_h1,correct_known_prediction,1539,0.2798181818181818
clinc150,42,trainable_k1_current_h1,correct_oos_rejection,3132,0.5694545454545454
clinc150,42,trainable_k1_current_h1,oos_accepted_by_gate,118,0.021454545454545455
clinc150,42,trainable_k1_current_h1,known_rejected_by_gate,612,0.11127272727272727
clinc150,42,trainable_k1_current_h1,known_wrong_domain,40,0.007272727272727273
clinc150,42,trainable_k1_current_h1,known_wrong_expert,47,0.008545454545454545
clinc150,42,trainable_k1_current_h1,correct_known_prediction,1551,0.282
clinc150,87,trainable_k1_current_h1,correct_oos_rejection,3142,0.5712727272727273
clinc150,87,trainable_k1_current_h1,oos_accepted_by_gate,108,0.019636363636363636
clinc150,87,trainable_k1_current_h1,known_rejected_by_gate,567,0.1030909090909091
clinc150,87,trainable_k1_current_h1,known_wrong_domain,39,0.007090909090909091
clinc150,87,trainable_k1_current_h1,known_wrong_expert,65,0.011818181818181818
clinc150,87,trainable_k1_current_h1,correct_known_prediction,1579,0.28709090909090906
stackoverflow,13,trainable_k1_current_h1,correct_oos_rejection,2780,0.46410684474123537
stackoverflow,13,trainable_k1_current_h1,oos_accepted_by_gate,214,0.035726210350584306
stackoverflow,13,trainable_k1_current_h1,known_rejected_by_gate,489,0.08163606010016694
stackoverflow,13,trainable_k1_current_h1,known_wrong_domain,0,0.0
stackoverflow,13,trainable_k1_current_h1,known_wrong_expert,197,0.0328881469115192
stackoverflow,13,trainable_k1_current_h1,correct_known_prediction,2310,0.38564273789649417
stackoverflow,42,trainable_k1_current_h1,correct_oos_rejection,2931,0.48931552587646077
stackoverflow,42,trainable_k1_current_h1,oos_accepted_by_gate,66,0.011018363939899833
stackoverflow,42,trainable_k1_current_h1,known_rejected_by_gate,479,0.07996661101836394
stackoverflow,42,trainable_k1_current_h1,known_wrong_domain,0,0.0
stackoverflow,42,trainable_k1_current_h1,known_wrong_expert,149,0.024874791318864775
stackoverflow,42,trainable_k1_current_h1,correct_known_prediction,2365,0.39482470784641066
stackoverflow,87,trainable_k1_current_h1,correct_oos_rejection,2638,0.4404006677796327
stackoverflow,87,trainable_k1_current_h1,oos_accepted_by_gate,358,0.05976627712854758
stackoverflow,87,trainable_k1_current_h1,known_rejected_by_gate,495,0.08263772954924875
stackoverflow,87,trainable_k1_current_h1,known_wrong_domain,0,0.0
stackoverflow,87,trainable_k1_current_h1,known_wrong_expert,88,0.014691151919866445
stackoverflow,87,trainable_k1_current_h1,correct_known_prediction,2411,0.4025041736227045
banking77_oos,13,trainable_k1_current_h1,correct_oos_rejection,2539,0.6223039215686275
banking77_oos,13,trainable_k1_current_h1,oos_accepted_by_gate,541,0.13259803921568628
banking77_oos,13,trainable_k1_current_h1,known_rejected_by_gate,125,0.030637254901960783
banking77_oos,13,trainable_k1_current_h1,known_wrong_domain,0,0.0
banking77_oos,13,trainable_k1_current_h1,known_wrong_expert,92,0.022549019607843137
banking77_oos,13,trainable_k1_current_h1,correct_known_prediction,783,0.19191176470588237
banking77_oos,42,trainable_k1_current_h1,correct_oos_rejection,2531,0.620343137254902
banking77_oos,42,trainable_k1_current_h1,oos_accepted_by_gate,549,0.13455882352941176
banking77_oos,42,trainable_k1_current_h1,known_rejected_by_gate,162,0.039705882352941174
banking77_oos,42,trainable_k1_current_h1,known_wrong_domain,0,0.0
banking77_oos,42,trainable_k1_current_h1,known_wrong_expert,93,0.022794117647058822
banking77_oos,42,trainable_k1_current_h1,correct_known_prediction,745,0.18259803921568626
banking77_oos,87,trainable_k1_current_h1,correct_oos_rejection,2606,0.6387254901960784
banking77_oos,87,trainable_k1_current_h1,oos_accepted_by_gate,474,0.1161764705882353
banking77_oos,87,trainable_k1_current_h1,known_rejected_by_gate,149,0.03651960784313726
banking77_oos,87,trainable_k1_current_h1,known_wrong_domain,0,0.0
banking77_oos,87,trainable_k1_current_h1,known_wrong_expert,110,0.02696078431372549
banking77_oos,87,trainable_k1_current_h1,correct_known_prediction,741,0.18161764705882352
