dataset,seed,gate,stage,count,rate
clinc150,13,trainable_k1_current_h1,correct_oos_rejection,4262,0.7749090909090909
clinc150,13,trainable_k1_current_h1,oos_accepted_by_gate,98,0.01781818181818182
clinc150,13,trainable_k1_current_h1,known_rejected_by_gate,313,0.05690909090909091
clinc150,13,trainable_k1_current_h1,known_wrong_domain,18,0.0032727272727272726
clinc150,13,trainable_k1_current_h1,known_wrong_expert,34,0.0061818181818181816
clinc150,13,trainable_k1_current_h1,correct_known_prediction,775,0.1409090909090909
clinc150,42,trainable_k1_current_h1,correct_oos_rejection,4261,0.7747272727272727
clinc150,42,trainable_k1_current_h1,oos_accepted_by_gate,99,0.018
clinc150,42,trainable_k1_current_h1,known_rejected_by_gate,330,0.06
clinc150,42,trainable_k1_current_h1,known_wrong_domain,22,0.004
clinc150,42,trainable_k1_current_h1,known_wrong_expert,43,0.007818181818181818
clinc150,42,trainable_k1_current_h1,correct_known_prediction,745,0.13545454545454547
clinc150,87,trainable_k1_current_h1,correct_oos_rejection,4168,0.7578181818181818
clinc150,87,trainable_k1_current_h1,oos_accepted_by_gate,192,0.03490909090909091
clinc150,87,trainable_k1_current_h1,known_rejected_by_gate,276,0.05018181818181818
clinc150,87,trainable_k1_current_h1,known_wrong_domain,12,0.002181818181818182
clinc150,87,trainable_k1_current_h1,known_wrong_expert,16,0.002909090909090909
clinc150,87,trainable_k1_current_h1,correct_known_prediction,836,0.152
stackoverflow,13,trainable_k1_current_h1,correct_oos_rejection,4392,0.7332220367278798
stackoverflow,13,trainable_k1_current_h1,oos_accepted_by_gate,100,0.01669449081803005
stackoverflow,13,trainable_k1_current_h1,known_rejected_by_gate,247,0.04123539232053423
stackoverflow,13,trainable_k1_current_h1,known_wrong_domain,0,0.0
stackoverflow,13,trainable_k1_current_h1,known_wrong_expert,115,0.019198664440734557
stackoverflow,13,trainable_k1_current_h1,correct_known_prediction,1136,0.18964941569282137
stackoverflow,42,trainable_k1_current_h1,correct_oos_rejection,4376,0.730550918196995
stackoverflow,42,trainable_k1_current_h1,oos_accepted_by_gate,117,0.019532554257095158
stackoverflow,42,trainable_k1_current_h1,known_rejected_by_gate,249,0.04156928213689483
stackoverflow,42,trainable_k1_current_h1,known_wrong_domain,0,0.0
stackoverflow,42,trainable_k1_current_h1,known_wrong_expert,103,0.01719532554257095
stackoverflow,42,trainable_k1_current_h1,correct_known_prediction,1145,0.1911519198664441
stackoverflow,87,trainable_k1_current_h1,correct_oos_rejection,4196,0.7005008347245409
stackoverflow,87,trainable_k1_current_h1,oos_accepted_by_gate,299,0.04991652754590985
stackoverflow,87,trainable_k1_current_h1,known_rejected_by_gate,242,0.04040066777963272
stackoverflow,87,trainable_k1_current_h1,known_wrong_domain,0,0.0
stackoverflow,87,trainable_k1_current_h1,known_wrong_expert,41,0.006844741235392321
stackoverflow,87,trainable_k1_current_h1,correct_known_prediction,1212,0.2023372287145242
banking77_oos,13,trainable_k1_current_h1,correct_oos_rejection,3158,0.7740196078431373
banking77_oos,13,trainable_k1_current_h1,oos_accepted_by_gate,442,0.10833333333333334
banking77_oos,13,trainable_k1_current_h1,known_rejected_by_gate,54,0.013235294117647059
banking77_oos,13,trainable_k1_current_h1,known_wrong_domain,0,0.0
banking77_oos,13,trainable_k1_current_h1,known_wrong_expert,24,0.0058823529411764705
banking77_oos,13,trainable_k1_current_h1,correct_known_prediction,402,0.09852941176470588
banking77_oos,42,trainable_k1_current_h1,correct_oos_rejection,3244,0.7950980392156862
banking77_oos,42,trainable_k1_current_h1,oos_accepted_by_gate,356,0.08725490196078431
banking77_oos,42,trainable_k1_current_h1,known_rejected_by_gate,88,0.021568627450980392
banking77_oos,42,trainable_k1_current_h1,known_wrong_domain,0,0.0
banking77_oos,42,trainable_k1_current_h1,known_wrong_expert,30,0.007352941176470588
banking77_oos,42,trainable_k1_current_h1,correct_known_prediction,362,0.08872549019607844
banking77_oos,87,trainable_k1_current_h1,correct_oos_rejection,3101,0.7600490196078431
banking77_oos,87,trainable_k1_current_h1,oos_accepted_by_gate,499,0.12230392156862745
banking77_oos,87,trainable_k1_current_h1,known_rejected_by_gate,83,0.02034313725490196
banking77_oos,87,trainable_k1_current_h1,known_wrong_domain,0,0.0
banking77_oos,87,trainable_k1_current_h1,known_wrong_expert,26,0.006372549019607843
banking77_oos,87,trainable_k1_current_h1,correct_known_prediction,371,0.0909313725490196
