dataset,seed,split,k,radius_lambda,threshold,acceptance_mode,oos_f1,known_f1,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos
banking77_oos,13,val,1,0.25,0.2,nearest_sphere,0.9098000975134081,0.0,0.8345259391771019,0.0,0.0,1.0,0.9058529590683932,0.9758410660444063
banking77_oos,13,test,1,0.25,0.2,nearest_sphere,0.9375,0.0,0.8823529411764706,0.0,0.0,1.0,0.9364091435185184,0.990299991474942
banking77_oos,13,val,1,0.25,0.3,nearest_sphere,0.9098000975134081,0.0,0.8345259391771019,0.0,0.0,1.0,0.9058529590683932,0.9758410660444063
banking77_oos,13,test,1,0.25,0.3,nearest_sphere,0.9375,0.0,0.8823529411764706,0.0,0.0,1.0,0.9364091435185184,0.990299991474942
banking77_oos,13,val,1,0.25,0.4,nearest_sphere,0.9098000975134081,0.0,0.8345259391771019,0.0,0.0,1.0,0.9058529590683932,0.9758410660444063
banking77_oos,13,test,1,0.25,0.4,nearest_sphere,0.9375,0.0,0.8823529411764706,0.0,0.0,1.0,0.9364091435185184,0.990299991474942
banking77_oos,13,val,1,0.25,0.5,nearest_sphere,0.9098000975134081,0.0,0.8345259391771019,0.0,0.0,1.0,0.9058529590683932,0.9758410660444063
banking77_oos,13,test,1,0.25,0.5,nearest_sphere,0.9375,0.0,0.8823529411764706,0.0,0.0,1.0,0.9364091435185184,0.990299991474942
banking77_oos,13,val,1,0.25,0.6,nearest_sphere,0.9106881405563689,0.02115384615384615,0.8363148479427549,0.010810810810810811,0.0,0.9891891891891892,0.9058529590683932,0.9758410660444063
banking77_oos,13,test,1,0.25,0.6,nearest_sphere,0.9383552717320475,0.027320854603894874,0.8840686274509804,0.014583333333333334,0.0,0.9854166666666667,0.9364091435185184,0.990299991474942
banking77_oos,13,val,1,0.25,0.7,nearest_sphere,0.9183070866141733,0.173574196920354,0.851520572450805,0.10270270270270271,0.0,0.8972972972972973,0.9058529590683932,0.9758410660444063
banking77_oos,13,test,1,0.25,0.7,nearest_sphere,0.9412534345152427,0.12482374882817111,0.8899509803921568,0.07083333333333333,0.0008333333333333334,0.9291666666666667,0.9364091435185184,0.990299991474942
banking77_oos,13,val,1,0.25,0.75,nearest_sphere,0.9207211657199309,0.22671535407194887,0.8564400715563506,0.13783783783783785,0.0010718113612004287,0.8621621621621621,0.9058529590683932,0.9758410660444063
banking77_oos,13,test,1,0.25,0.75,nearest_sphere,0.9447368421052632,0.23512052427056288,0.8970588235294118,0.14583333333333334,0.002777777777777778,0.8541666666666666,0.9364091435185184,0.990299991474942
banking77_oos,13,val,1,0.25,0.8,nearest_sphere,0.924800796812749,0.3237972385163306,0.8649373881932021,0.20810810810810812,0.00482315112540193,0.7918918918918919,0.9058529590683932,0.9758410660444063
banking77_oos,13,test,1,0.25,0.8,nearest_sphere,0.9484153295318923,0.3536116469642423,0.904656862745098,0.23958333333333334,0.006666666666666667,0.7604166666666666,0.9364091435185184,0.990299991474942
banking77_oos,13,val,1,0.25,0.85,nearest_sphere,0.9308524013075182,0.4270286173817078,0.8770125223613596,0.2972972972972973,0.008038585209003215,0.7027027027027027,0.9058529590683932,0.9758410660444063
banking77_oos,13,test,1,0.25,0.85,nearest_sphere,0.9523809523809523,0.4604428593253666,0.9125,0.3416666666666667,0.011111111111111112,0.6583333333333333,0.9364091435185184,0.990299991474942
banking77_oos,13,val,1,0.25,0.9,nearest_sphere,0.9387755102040817,0.5537738058046322,0.8922182468694096,0.42162162162162165,0.013933547695605574,0.5783783783783784,0.9058529590683932,0.9758410660444063
banking77_oos,13,test,1,0.25,0.9,nearest_sphere,0.9560276011365174,0.5680849501429567,0.9198529411764705,0.4625,0.01861111111111111,0.5375,0.9364091435185184,0.990299991474942
