dataset,seed,split,k,radius_lambda,threshold,acceptance_mode,oos_f1,known_f1,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos
clinc150,13,val,1,0.5,0.85,nearest_sphere,0.7353824820892073,0.3586381728175969,0.63,0.24266666666666667,0.005625,0.7573333333333333,0.9247170833333331,0.9156135315868079
clinc150,13,test,1,0.5,0.85,nearest_sphere,0.7908791610779173,0.36815840114504655,0.688,0.2408888888888889,0.0021538461538461538,0.7591111111111111,0.9303135726495726,0.9444074357925558
clinc150,13,val,1,0.5,0.9,nearest_sphere,0.7685589519650655,0.5155800154515464,0.6916129032258065,0.37466666666666665,0.01,0.6253333333333333,0.9247170833333331,0.9156135315868079
clinc150,13,test,1,0.5,0.9,nearest_sphere,0.8144693723216536,0.49917267749910715,0.7316363636363636,0.3542222222222222,0.005846153846153846,0.6457777777777778,0.9303135726495726,0.9444074357925558
clinc150,13,val,1,0.5,0.95,nearest_sphere,0.8020408163265306,0.6365677698384764,0.7483870967741936,0.5013333333333333,0.0175,0.49866666666666665,0.9247170833333331,0.9156135315868079
clinc150,13,test,1,0.5,0.95,nearest_sphere,0.839047369798482,0.6151655436741265,0.7749090909090909,0.4728888888888889,0.01353846153846154,0.5271111111111111,0.9303135726495726,0.9444074357925558
clinc150,13,val,1,0.5,1.0,nearest_sphere,0.8300374131480491,0.7243465876459838,0.7929032258064516,0.6073333333333333,0.029375,0.39266666666666666,0.9247170833333331,0.9156135315868079
clinc150,13,test,1,0.5,1.0,nearest_sphere,0.8635743519781719,0.7112427815300505,0.8156363636363636,0.5933333333333334,0.026153846153846153,0.4066666666666667,0.9303135726495726,0.9444074357925558
clinc150,13,val,1,0.5,1.05,nearest_sphere,0.853830930166808,0.7936603232073787,0.8306451612903226,0.7153333333333334,0.05625,0.2846666666666667,0.9247170833333331,0.9156135315868079
clinc150,13,test,1,0.5,1.05,nearest_sphere,0.8789555839364268,0.7714611858078491,0.8416363636363636,0.6888888888888889,0.04707692307692308,0.3111111111111111,0.9303135726495726,0.9444074357925558
