dataset,kir,distance,intent,seed,best_k,best_k_intent_oos_f1,delta_oos_f1_vs_k1,delta_intent_class_f1_vs_k1,delta_known_recall_vs_k1,best_k_intent_known_recall,best_k_false_reject_rate,best_k_false_accept_count,best_k_false_accept_rate,selection_metric_definition,kir_pct,multi_center_oracle,safe_gain_oracle
banking77,0.1,euclidean,Refund_not_showing_up,42,5,0.888888888888889,0.1016548463356974,0.1016548463356974,-0.025,0.9,0.05,5,0.0018115942028985,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,False
banking77,0.1,euclidean,Refund_not_showing_up,87,5,0.8837209302325583,0.0964868876793667,0.0964868876793667,0.0249999999999999,0.95,0.05,8,0.0028985507246376,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,True
banking77,0.1,euclidean,atm_support,42,3,0.9333333333333332,0.3719298245614035,0.3719298245614035,0.0749999999999999,0.875,0.125,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,True
banking77,0.1,euclidean,atm_support,123,3,0.9333333333333332,0.3461773700305811,0.3461773700305811,0.0749999999999999,0.875,0.125,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,True
banking77,0.1,euclidean,automatic_top_up,100,2,0.8285714285714285,0.1815126050420167,0.1815126050420167,-0.0999999999999999,0.725,0.275,1,0.0003623188405797,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,False
banking77,0.1,euclidean,card_about_to_expire,42,4,0.9473684210526316,0.1122035858877964,0.1122035858877964,-0.0499999999999999,0.9,0.1,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,False
banking77,0.1,euclidean,card_acceptance,100,5,0.7272727272727274,0.2237762237762238,0.2237762237762238,-0.3,0.6,0.4,2,0.0007246376811594,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,False
banking77,0.1,euclidean,card_linking,13,5,0.8571428571428571,0.3087557603686636,0.3087557603686636,-0.0999999999999999,0.75,0.25,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,False
banking77,0.1,euclidean,compromised_card,13,3,0.5238095238095238,0.0636325326590813,0.0636325326590813,-0.0999999999999999,0.55,0.45,22,0.0079710144927536,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,False
banking77,0.1,euclidean,compromised_card,100,3,0.5238095238095238,0.103641456582633,0.103641456582633,-0.0749999999999999,0.55,0.45,22,0.0079710144927536,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,False
banking77,0.1,euclidean,compromised_card,123,3,0.5301204819277109,0.0779465688842325,0.0779465688842325,-0.0999999999999999,0.55,0.45,21,0.0076086956521739,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,False
banking77,0.1,euclidean,direct_debit_payment_not_recognised,13,1,0.5346534653465346,0.0,0.0,0.0,0.675,0.325,34,0.0123188405797101,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,False,False
banking77,0.1,euclidean,direct_debit_payment_not_recognised,123,1,0.6842105263157895,0.0,0.0,0.0,0.65,0.325,9,0.0032608695652173,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,False,False
banking77,0.1,euclidean,extra_charge_on_statement,42,5,0.6593406593406592,0.1320679320679318,0.1320679320679318,0.025,0.75,0.25,21,0.0076086956521739,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,True
banking77,0.1,euclidean,getting_spare_card,100,4,0.8918918918918919,0.147705845380264,0.147705845380264,0.0249999999999999,0.825,0.175,1,0.0003623188405797,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,True
banking77,0.1,euclidean,passcode_forgotten,42,3,0.9743589743589745,0.0410256410256409,0.0410256410256409,0.0749999999999999,0.95,0.05,0,0.0,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,True
banking77,0.1,euclidean,pending_card_payment,87,3,0.8450704225352113,0.0883136657784545,0.0883136657784545,0.05,0.75,0.25,1,0.0003623188405797,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,True
banking77,0.1,euclidean,pending_cash_withdrawal,13,5,0.825,0.2391414141414141,0.2391414141414141,0.0999999999999999,0.825,0.175,6,0.0021739130434782,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,True
banking77,0.1,euclidean,pending_cash_withdrawal,42,5,0.8148148148148149,0.2624338624338624,0.2624338624338624,0.0999999999999999,0.825,0.175,8,0.0028985507246376,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,True
banking77,0.1,euclidean,pending_cash_withdrawal,87,5,0.8148148148148149,0.2801613494682803,0.2801613494682803,0.1499999999999999,0.825,0.175,8,0.0028985507246376,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,True
banking77,0.1,euclidean,pending_transfer,13,3,0.5940594059405939,0.0226308345120225,0.0226308345120225,0.05,0.75,0.175,31,0.011231884057971,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,True
banking77,0.1,euclidean,pending_transfer,100,1,0.5166666666666667,0.0,0.0,0.0,0.775,0.2,49,0.0177536231884057,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,False,False
banking77,0.1,euclidean,receiving_money,13,4,0.8947368421052632,0.3716599190283401,0.3716599190283401,0.0,0.85,0.15,2,0.0007246376811594,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,True
banking77,0.1,euclidean,reverted_card_payment?,42,3,0.6534653465346534,0.1872999330008188,0.1872999330008188,0.0499999999999999,0.825,0.175,26,0.0094202898550724,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,True
banking77,0.1,euclidean,reverted_card_payment?,123,5,0.6213592233009708,0.1437472830024633,0.1437472830024633,0.0,0.8,0.2,31,0.011231884057971,class F1 for one Known intent versus all remaining/OOS test samples; global F1-All is reported only at dataset level,10.0,True,True
