dataset,kir,distance,rows,intents,oracle_multi_center_rate,oracle_safe_gain_rate,mean_best_k,median_best_k,mean_delta_oos_f1,mean_delta_known_recall,mean_false_accept_rate
banking77,0.1,euclidean,40,27,0.8,0.475,3.2,3.0,0.1287139564978878,-0.005625000000000007,0.004909420289855038
banking77,0.1,mahalanobis_diag,40,27,0.8,0.3,3.175,3.0,0.06823742701037122,-0.02687499999999999,0.0036865942028985175
banking77,0.2,euclidean,75,53,0.8266666666666667,0.41333333333333333,3.32,3.0,0.11039117913120333,-0.009000000000000003,0.004693548387096738
banking77,0.2,mahalanobis_diag,75,53,0.72,0.22666666666666666,2.8533333333333335,3.0,0.06843742114614122,-0.02133333333333333,0.0033602150537634053
banking77,0.25,euclidean,95,58,0.8,0.43157894736842106,3.2526315789473683,3.0,0.10386177497860535,-0.0068421052631578985,0.004627949183303051
banking77,0.25,mahalanobis_diag,95,58,0.6736842105263158,0.23157894736842105,2.736842105263158,3.0,0.062120516242595486,-0.018421052631578942,0.0034074410163339045
banking77,0.3,euclidean,115,66,0.782608695652174,0.45217391304347826,3.0521739130434784,3.0,0.09746171985602876,-0.0023913043478260934,0.004210950080515269
banking77,0.3,mahalanobis_diag,115,66,0.6608695652173913,0.26956521739130435,2.626086956521739,2.0,0.057638576056076904,-0.015000000000000001,0.003071658615136841
banking77,0.4,euclidean,155,74,0.7677419354838709,0.4774193548387097,2.967741935483871,3.0,0.08855665251767729,0.005161290322580637,0.003983169705469808
banking77,0.4,mahalanobis_diag,155,74,0.5870967741935483,0.24516129032258063,2.458064516129032,2.0,0.05113187744525373,-0.014677419354838706,0.0030014025245441423
banking77,0.5,euclidean,190,75,0.7368421052631579,0.4789473684210526,2.8105263157894735,3.0,0.08128025610833783,0.011447368421052624,0.0034547908232118456
banking77,0.5,mahalanobis_diag,190,75,0.5789473684210527,0.2631578947368421,2.389473684210526,2.0,0.04895527803741505,-0.012236842105263154,0.0025067476383265554
banking77,0.6,euclidean,230,77,0.7347826086956522,0.4956521739130435,2.7695652173913046,3.0,0.074005177360523,0.015108695652173904,0.003218793828891982
banking77,0.6,mahalanobis_diag,230,77,0.5652173913043478,0.29130434782608694,2.252173913043478,2.0,0.04275568870007658,-0.007173913043478259,0.0024964936886395285
banking77,0.7,euclidean,270,77,0.7444444444444445,0.5148148148148148,2.7333333333333334,2.0,0.07136595798425083,0.02509259259259258,0.003095813204508833
banking77,0.7,mahalanobis_diag,270,77,0.562962962962963,0.3,2.2074074074074073,2.0,0.038339317061329925,0.0003703703703703718,0.0024758454106279973
banking77,0.75,euclidean,290,77,0.7344827586206897,0.5206896551724138,2.696551724137931,2.0,0.06735700669784704,0.027413793103448263,0.003044464609800346
