dataset,kir,method,scope,training_regime,supervision,oos_f1,known_macro_f1,known_recall,f1_all,accuracy,scope_group,ranking_note,n_seeds,method_group,status,source
banking77,0.5,Trainable K=1,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.8462021343377275,0.819216709280921,0.8171052631578948,0.8199086432567366,0.8314935064935065,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
banking77,0.5,Trainable K=1,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.8414403032217309,0.8162172308812371,0.8197368421052631,0.8168639763258652,0.824025974025974,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
banking77,0.5,Trainable K=1,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.8554480174836091,0.8318533492455537,0.8203947368421053,0.8324583407388371,0.839935064935065,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
banking77,0.5,Trainable K=2,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.8454629916382781,0.8170821859138591,0.8,0.8178098988811519,0.8305194805194805,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
banking77,0.5,Trainable K=2,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.8484100030873727,0.8149018955134268,0.7993421052631579,0.8157610777589126,0.8298701298701299,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
banking77,0.5,Trainable K=2,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.8530135301353013,0.8183639481988823,0.7993421052631579,0.8192523990177647,0.8340909090909091,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
banking77,0.5,MOGB-official (compatibility),official_logic_compatibility_mean_over_5_seeds,end-to-end-BERT,Known-only plus official protocol,,0.179685,,0.192843,0.55488,external compatibility / BERT or pseudo-OOS,"not direct ranking: different representation, supervision, seed count or data contract",5,external_compatibility,complete_non_strict_reproduction,artifacts/external/mogb_official_converged_v1/*/results/results.csv
banking77,0.5,Fixed K=2,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.754616,0.761824,0.825526,0.761639,0.747922,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
banking77,0.5,MOGB partition + s2c boundary,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.793975,0.644258,0.521842,0.648097,0.743831,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
banking77,0.5,MOGB-MiniLM,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.749937,0.479063,0.334079,0.486008,0.66513,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
banking77,0.5,Random partition,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.716221,0.748016,0.859605,0.747201,0.720519,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
banking77,0.5,Single centroid,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.72428,0.745688,0.850132,0.745139,0.723896,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
banking77,0.5,s2c partition + MOGB boundary,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.788595,0.653312,0.5325,0.656781,0.736104,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
clinc150,0.5,Trainable K=1,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.9070904645476772,0.8251207671930192,0.7453333333333334,0.8261993158424226,0.878421052631579,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
clinc150,0.5,Trainable K=1,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.8971451987433411,0.8063190545791508,0.739111111111111,0.8075141354234163,0.8642105263157894,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
clinc150,0.5,Trainable K=1,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.9086720867208672,0.8222647753104556,0.7435555555555555,0.8234017136184874,0.8792982456140351,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
clinc150,0.5,Trainable K=2,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.9060150375939848,0.8153239347042264,0.7226666666666667,0.816517238689618,0.8759649122807017,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
clinc150,0.5,Trainable K=2,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.8976040690670593,0.7899097535321673,0.7031111111111111,0.7913267839997316,0.8619298245614035,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
clinc150,0.5,Trainable K=2,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.9009081196581196,0.8017647860257809,0.7044444444444444,0.8030693035735749,0.8682456140350877,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
clinc150,0.5,Fixed K=2,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.892006,0.799729,0.751378,0.800943,0.856561,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
clinc150,0.5,MOGB partition + s2c boundary,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.855554,0.643187,0.533422,0.645982,0.798526,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
clinc150,0.5,MOGB-MiniLM,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.813195,0.444689,0.315733,0.449538,0.723789,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
clinc150,0.5,Random partition,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.890691,0.806398,0.794756,0.807507,0.855544,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
clinc150,0.5,Single centroid,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.889433,0.801537,0.787556,0.802693,0.853158,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
clinc150,0.5,s2c partition + MOGB boundary,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.833232,0.560505,0.4224,0.564093,0.759158,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
stackoverflow,0.5,Trainable K=1,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.8565782973818541,0.8519771296120553,0.8426666666666667,0.8523954175911279,0.8496666666666667,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
stackoverflow,0.5,Trainable K=1,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.8754826254826255,0.8558767437770463,0.835,0.8576590966593717,0.8648333333333333,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
stackoverflow,0.5,Trainable K=1,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.8692120227457352,0.8585993483948545,0.84,0.8595641369722073,0.8601666666666666,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
stackoverflow,0.5,Trainable K=2,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.621721222631693,0.7675020798647998,0.9403333333333334,0.75424927466179,0.6871666666666667,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
stackoverflow,0.5,Trainable K=2,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.7623839009287926,0.7869816621720334,0.934,0.7847455020590115,0.7645,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
stackoverflow,0.5,Trainable K=2,current_protocol_trainable_3seed,Known-only last2 MiniLM + projection,Known-only,0.6453389830508475,0.7772037186955707,0.9343333333333332,0.7652160154551413,0.6951666666666667,same protocol / Trainable MiniLM / 3 seeds,same split/evaluator; representation differs from frozen fair rows,3,current_trainable,,
stackoverflow,0.5,ADB,modernized_textoir_compatibility_single_cell,end-to-end-BERT,Known-only,0.894712,0.874428,,0.876272,0.8853,external compatibility / BERT or pseudo-OOS,"not direct ranking: different representation, supervision, seed count or data contract",1,external_compatibility,complete_compatibility_artifact,artifacts/s2c/external/adb_compat_single_cell_v2/stackoverflow/ADB/kir50/seed0/results/results.csv
stackoverflow,0.5,BRAK,brak_pilot_mean_over_3_seeds,frozen-embedding,Known-only,0.81341,0.799727,0.833333,0.800971,0.789,external compatibility / BERT or pseudo-OOS,"not direct ranking: different representation, supervision, seed count or data contract",1,external_compatibility,complete,artifacts/.../brak_v1/summaries/BRAK_PILOT_SUMMARY.tsv
stackoverflow,0.5,DA-ADB,modernized_textoir_compatibility_single_cell,end-to-end-BERT,Known-only,0.908978,0.890584,,0.892256,0.9007,external compatibility / BERT or pseudo-OOS,"not direct ranking: different representation, supervision, seed count or data contract",1,external_compatibility,complete_compatibility_artifact,artifacts/s2c/external/da_adb_compat_single_cell_v3/stackoverflow/DA-ADB/kir50/seed0/results/results.csv
stackoverflow,0.5,MOGB-official (compatibility),official_logic_compatibility_mean_over_5_seeds,end-to-end-BERT,Known-only plus official protocol,,0.375916,,0.407243,0.61488,external compatibility / BERT or pseudo-OOS,"not direct ranking: different representation, supervision, seed count or data contract",5,external_compatibility,complete_non_strict_reproduction,artifacts/external/mogb_official_converged_v1/*/results/results.csv
stackoverflow,0.5,MOGB-official (strict single-cell),official_stackoverflow_kir50_seed0,end-to-end-BERT,Known-only plus official protocol,,0.671884,0.515333,0.683502,0.751667,external compatibility / BERT or pseudo-OOS,"not direct ranking: different representation, supervision, seed count or data contract",1,external_compatibility,not_reproduced_strict,results/mogb_exact_reproduction/final_metrics.json
stackoverflow,0.5,Fixed K=2,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.635295,0.736818,0.868867,0.727588,0.669267,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
stackoverflow,0.5,MOGB partition + s2c boundary,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.792471,0.617539,0.503867,0.633442,0.740733,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
stackoverflow,0.5,MOGB-MiniLM,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.729199,0.403358,0.270933,0.43298,0.630567,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
stackoverflow,0.5,Random partition,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.7588,0.801965,0.8764,0.798041,0.761,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
stackoverflow,0.5,Single centroid,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.765496,0.803227,0.871467,0.799796,0.765767,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
stackoverflow,0.5,s2c partition + MOGB boundary,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.733522,0.626104,0.544933,0.63587,0.683533,same protocol / frozen MiniLM / 5 seeds,"same split/evaluator, frozen representation; fair component comparison",5,frozen_fair_component,complete,results/mogb/fair_matrix.csv
