dataset,method,gold_type,score_bin,sample_count,failure_rate,class_mass_rate,method_label
banking77,MOGB-MiniLM,Known,0.4–0.6,26,0.0,0.0034210526315789475,MOGB-MiniLM
banking77,MOGB-MiniLM,Known,0.6–0.8,668,0.0,0.08789473684210526,MOGB-MiniLM
banking77,MOGB-MiniLM,Known,0.8–1.0,1845,0.0,0.24276315789473685,MOGB-MiniLM
banking77,MOGB-MiniLM,Known,1.0–1.2,1804,1.0,0.2373684210526316,MOGB-MiniLM
banking77,MOGB-MiniLM,Known,1.2–1.4,1387,1.0,0.1825,MOGB-MiniLM
banking77,MOGB-MiniLM,Known,1.4–1.6,946,1.0,0.12447368421052632,MOGB-MiniLM
banking77,MOGB-MiniLM,Known,1.6–2.0,746,1.0,0.09815789473684211,MOGB-MiniLM
banking77,MOGB-MiniLM,Known,>=2.0,178,1.0,0.023421052631578947,MOGB-MiniLM
banking77,MOGB-MiniLM,OOS,0.6–0.8,4,1.0,0.0005128205128205128,MOGB-MiniLM
banking77,MOGB-MiniLM,OOS,0.8–1.0,81,1.0,0.010384615384615384,MOGB-MiniLM
banking77,MOGB-MiniLM,OOS,1.0–1.2,373,0.0,0.04782051282051282,MOGB-MiniLM
banking77,MOGB-MiniLM,OOS,1.2–1.4,1326,0.0,0.17,MOGB-MiniLM
banking77,MOGB-MiniLM,OOS,1.4–1.6,2173,0.0,0.2785897435897436,MOGB-MiniLM
banking77,MOGB-MiniLM,OOS,1.6–2.0,2959,0.0,0.37935897435897437,MOGB-MiniLM
banking77,MOGB-MiniLM,OOS,>=2.0,884,0.0,0.11333333333333333,MOGB-MiniLM
banking77,MOGB-partition-S2C-boundary,Known,<0.4,3,0.0,0.00039473684210526315,MOGB partition + S2C boundary
banking77,MOGB-partition-S2C-boundary,Known,0.4–0.6,296,0.0,0.03894736842105263,MOGB partition + S2C boundary
banking77,MOGB-partition-S2C-boundary,Known,0.6–0.8,1598,0.0,0.21026315789473685,MOGB partition + S2C boundary
banking77,MOGB-partition-S2C-boundary,Known,0.8–1.0,2069,0.0,0.27223684210526317,MOGB partition + S2C boundary
banking77,MOGB-partition-S2C-boundary,Known,1.0–1.2,1683,1.0,0.22144736842105264,MOGB partition + S2C boundary
banking77,MOGB-partition-S2C-boundary,Known,1.2–1.4,1256,1.0,0.16526315789473683,MOGB partition + S2C boundary
banking77,MOGB-partition-S2C-boundary,Known,1.4–1.6,611,1.0,0.08039473684210527,MOGB partition + S2C boundary
banking77,MOGB-partition-S2C-boundary,Known,1.6–2.0,84,1.0,0.011052631578947368,MOGB partition + S2C boundary
banking77,MOGB-partition-S2C-boundary,OOS,0.6–0.8,32,1.0,0.0041025641025641026,MOGB partition + S2C boundary
banking77,MOGB-partition-S2C-boundary,OOS,0.8–1.0,241,1.0,0.030897435897435897,MOGB partition + S2C boundary
banking77,MOGB-partition-S2C-boundary,OOS,1.0–1.2,1003,0.0,0.1285897435897436,MOGB partition + S2C boundary
banking77,MOGB-partition-S2C-boundary,OOS,1.2–1.4,3076,0.0,0.3943589743589744,MOGB partition + S2C boundary
banking77,MOGB-partition-S2C-boundary,OOS,1.4–1.6,2768,0.0,0.3548717948717949,MOGB partition + S2C boundary
