dataset,true_label,MOGB-MiniLM__known_correct,MOGB-MiniLM__known_rejected,MOGB-MiniLM__known_wrong_intent,S2C-Frozen-K1__known_correct,S2C-Frozen-K1__known_rejected,S2C-Frozen-K1__known_wrong_intent,S2C-Trainable-K1__known_correct,S2C-Trainable-K1__known_rejected,S2C-Trainable-K1__known_wrong_intent,n_samples,mogb_minus_s2c_reject_gap_pp,mogb_minus_s2c_correct_gap_pp
banking77,Refund_not_showing_up,0.55625,0.44375,0.0,0.925,0.0625,0.0125,0.88125,0.10625,0.0125,480,33.75,32.49999999999999
banking77,activate_my_card,0.525,0.475,0.0,0.875,0.1,0.025,0.8375,0.15,0.0125,240,32.49999999999999,31.25
banking77,age_limit,0.6,0.4,0.0,0.825,0.175,0.0,0.85,0.15,0.0,120,25.0,25.0
banking77,apple_pay_or_google_pay,0.4125,0.5875,0.0,0.875,0.125,0.0,0.875,0.125,0.0,240,46.25,46.25
banking77,atm_support,0.48125,0.51875,0.0,0.78125,0.2,0.01875,0.86875,0.13125,0.0,480,38.75000000000001,38.75
banking77,automatic_top_up,0.35,0.65,0.0,0.825,0.175,0.0,0.85,0.15,0.0,360,50.0,50.0
banking77,balance_not_updated_after_bank_transfer,0.1,0.8875,0.0125,0.8625,0.025,0.1125,0.875,0.0625,0.0625,240,82.5,77.5
banking77,balance_not_updated_after_cheque_or_cash_deposit,0.2,0.8,0.0,0.8625,0.125,0.0125,0.7875,0.2125,0.0,240,58.75,58.74999999999999
banking77,beneficiary_not_allowed,0.3375,0.6625,0.0,0.6375,0.1625,0.2,0.7125,0.2625,0.025,240,40.0,37.5
banking77,cancel_transfer,0.45,0.55,0.0,0.8666666666666667,0.125,0.008333333333333333,0.8166666666666667,0.18333333333333332,0.0,360,36.66666666666667,36.666666666666664
banking77,card_about_to_expire,0.45,0.55,0.0,0.95,0.05,0.0,0.8875,0.0875,0.025,240,46.25,43.74999999999999
banking77,card_acceptance,0.225,0.775,0.0,0.85,0.1,0.05,0.75,0.25,0.0,120,52.5,52.5
banking77,card_arrival,0.25833333333333336,0.7333333333333333,0.008333333333333333,0.8,0.08333333333333333,0.11666666666666667,0.7666666666666667,0.10833333333333334,0.125,360,62.5,50.83333333333333
banking77,card_delivery_estimate,0.2125,0.78125,0.00625,0.6125,0.25625,0.13125,0.775,0.2,0.025,480,58.12500000000001,56.25
banking77,card_linking,0.375,0.625,0.0,0.825,0.15,0.025,0.7875,0.2125,0.0,240,41.25,41.25
banking77,card_not_working,0.45,0.55,0.0,0.95,0.05,0.0,0.95,0.05,0.0,120,50.0,49.99999999999999
banking77,card_payment_fee_charged,0.30833333333333335,0.6916666666666667,0.0,0.825,0.15833333333333333,0.016666666666666666,0.8333333333333334,0.16666666666666666,0.0,360,52.5,52.5
banking77,card_payment_not_recognised,0.11666666666666667,0.8833333333333333,0.0,0.6583333333333333,0.23333333333333334,0.10833333333333334,0.6833333333333333,0.25,0.06666666666666667,360,63.33333333333333,56.666666666666664
banking77,card_payment_wrong_exchange_rate,0.2875,0.7125,0.0,0.925,0.0625,0.0125,0.90625,0.09375,0.0,480,61.875,61.875
banking77,card_swallowed,0.3875,0.6125,0.0,0.75,0.1875,0.0625,0.775,0.225,0.0,240,38.75000000000001,38.75
banking77,cash_withdrawal_charge,0.375,0.625,0.0,0.9375,0.0375,0.025,0.8625,0.1125,0.025,240,51.24999999999999,48.75000000000001
banking77,cash_withdrawal_not_recognised,0.225,0.775,0.0,0.8,0.125,0.075,0.85,0.15,0.0,120,62.5,62.5
banking77,change_pin,0.35,0.65,0.0,0.85,0.13333333333333333,0.016666666666666666,0.8333333333333334,0.16666666666666666,0.0,360,48.33333333333334,48.33333333333334
banking77,compromised_card,0.125,0.875,0.0,0.6416666666666667,0.3333333333333333,0.025,0.5833333333333334,0.4166666666666667,0.0,360,45.83333333333333,45.833333333333336
banking77,contactless_not_working,0.375,0.625,0.0,0.9,0.075,0.025,0.7875,0.2125,0.0,240,41.25,41.25
banking77,country_support,0.425,0.575,0.0,0.7,0.25,0.05,0.75,0.25,0.0,240,32.49999999999999,32.5
banking77,declined_card_payment,0.25,0.75,0.0,0.8375,0.05,0.1125,0.8375,0.1375,0.025,240,61.25000000000001,58.75
banking77,declined_cash_withdrawal,0.25,0.75,0.0,0.8375,0.1375,0.025,0.8875,0.1125,0.0,240,63.74999999999999,63.74999999999999
banking77,declined_transfer,0.43333333333333335,0.55,0.016666666666666666,0.675,0.24166666666666667,0.08333333333333333,0.675,0.2833333333333333,0.041666666666666664,360,26.66666666666667,24.16666666666667
banking77,direct_debit_payment_not_recognised,0.31666666666666665,0.6833333333333333,0.0,0.65,0.30833333333333335,0.041666666666666664,0.7083333333333334,0.25833333333333336,0.03333333333333333,360,42.5,39.16666666666667
banking77,disposable_card_limits,0.425,0.575,0.0,0.775,0.2,0.025,0.775,0.2125,0.0125,240,36.24999999999999,35.0
banking77,edit_personal_details,0.425,0.575,0.0,0.875,0.125,0.0,0.8416666666666667,0.15833333333333333,0.0,360,41.666666666666664,41.66666666666667
banking77,exchange_charge,0.3125,0.6875,0.0,0.85,0.1,0.05,0.8,0.15,0.05,240,53.75,48.75000000000001
banking77,exchange_rate,0.30625,0.69375,0.0,0.925,0.075,0.0,0.89375,0.10625,0.0,480,58.75,58.75
banking77,exchange_via_app,0.2125,0.7875,0.0,0.7,0.275,0.025,0.6875,0.3,0.0125,240,48.75,47.5
banking77,extra_charge_on_statement,0.1875,0.8125,0.0,0.7125,0.275,0.0125,0.7375,0.25,0.0125,240,56.25,55.00000000000001
banking77,failed_transfer,0.475,0.525,0.0,0.875,0.075,0.05,0.85,0.15,0.0,120,37.5,37.5
banking77,fiat_currency_support,0.3125,0.6875,0.0,0.8,0.175,0.025,0.8,0.1875,0.0125,480,50.0,48.75000000000001
banking77,get_disposable_virtual_card,0.425,0.5666666666666667,0.008333333333333333,0.7583333333333333,0.16666666666666666,0.075,0.7833333333333333,0.20833333333333334,0.008333333333333333,360,35.83333333333333,35.833333333333336
banking77,get_physical_card,0.3125,0.6875,0.0,0.85,0.15,0.0,0.85,0.15,0.0,240,53.75,53.75
banking77,getting_spare_card,0.275,0.725,0.0,0.775,0.2125,0.0125,0.8,0.2,0.0,240,52.49999999999999,52.5
banking77,getting_virtual_card,0.375,0.625,0.0,0.8625,0.1,0.0375,0.8375,0.1625,0.0,240,46.25,46.25
banking77,lost_or_stolen_card,0.2,0.8,0.0,0.85,0.1125,0.0375,0.75,0.225,0.025,240,57.50000000000001,55.00000000000001
banking77,lost_or_stolen_phone,0.25,0.75,0.0,0.725,0.25,0.025,0.7,0.2833333333333333,0.016666666666666666,360,46.666666666666664,44.99999999999999
banking77,order_physical_card,0.18333333333333332,0.8166666666666667,0.0,0.925,0.041666666666666664,0.03333333333333333,0.9083333333333333,0.06666666666666667,0.025,360,75.0,72.5
banking77,passcode_forgotten,0.5583333333333333,0.44166666666666665,0.0,0.875,0.125,0.0,0.8833333333333333,0.11666666666666667,0.0,360,32.49999999999999,32.49999999999999
banking77,pending_card_payment,0.3125,0.6875,0.0,0.6875,0.2625,0.05,0.7125,0.2625,0.025,240,42.5,40.0
banking77,pending_cash_withdrawal,0.33125,0.66875,0.0,0.68125,0.225,0.09375,0.73125,0.24375,0.025,480,42.49999999999999,40.0
banking77,pending_transfer,0.2125,0.78125,0.00625,0.71875,0.09375,0.1875,0.69375,0.125,0.18125,480,65.625,48.12499999999999
banking77,pin_blocked,0.275,0.725,0.0,0.7125,0.225,0.0625,0.6875,0.275,0.0375,240,44.99999999999999,41.25
banking77,receiving_money,0.2916666666666667,0.7083333333333334,0.0,0.8083333333333333,0.14166666666666666,0.05,0.825,0.175,0.0,360,53.33333333333334,53.33333333333332
banking77,reverted_card_payment?,0.31666666666666665,0.6833333333333333,0.0,0.7833333333333333,0.15833333333333333,0.058333333333333334,0.825,0.16666666666666666,0.008333333333333333,360,51.66666666666667,50.83333333333333
banking77,supported_cards_and_currencies,0.025,0.975,0.0,0.675,0.15,0.175,0.825,0.175,0.0,120,80.0,80.0
banking77,terminate_account,0.45,0.55,0.0,0.85,0.15,0.0,0.825,0.175,0.0,240,37.50000000000001,37.49999999999999
banking77,top_up_by_bank_transfer_charge,0.225,0.775,0.0,0.85,0.125,0.025,0.775,0.1875,0.0375,240,58.75,55.00000000000001
banking77,top_up_by_card_charge,0.25,0.75,0.0,0.8875,0.075,0.0375,0.9,0.0875,0.0125,240,66.25,65.0
banking77,top_up_by_cash_or_cheque,0.275,0.725,0.0,0.8125,0.1,0.0875,0.8,0.15,0.05,240,57.49999999999999,52.5
