dataset,kir,seed,representation,gold_is_oos,n,score_mean,score_p10,score_p50,score_p90,score_p95,score_p99,score_leq_1_rate
banking77,0.25,13,frozen,0,760,0.8436134782312406,0.65555534110023,0.8229727071004932,1.0608832788035947,1.1043285644531178,1.30991508579687,0.8302631578947368
banking77,0.25,13,frozen,1,2320,1.155625002324113,0.9581104759116933,1.1557700484026432,1.3744215773665536,1.425402161014,1.4887019853709391,0.1543103448275862
banking77,0.25,13,trainable,0,760,0.8494054425144372,0.662632682911298,0.8287198401767942,1.0689514096364923,1.1384457730273767,1.3318564060058165,0.8276315789473684
banking77,0.25,13,trainable,1,2320,1.1897212127055514,0.9937133287178346,1.1911993841674624,1.3942741911251033,1.443121862889711,1.5216214620263906,0.10818965517241379
banking77,0.25,42,frozen,0,760,0.832240189282253,0.6330252753998173,0.8093870715351639,1.070690802015977,1.1325124384936758,1.286434380658122,0.8368421052631579
banking77,0.25,42,frozen,1,2320,1.149592020511174,0.9530430529505135,1.1507805277717786,1.35878426817815,1.4102464603978921,1.5166649339449516,0.1646551724137931
banking77,0.25,42,trainable,0,760,0.8298982824922764,0.6102575677676899,0.7950588548214819,1.106138795206852,1.1887962052686374,1.399898217613308,0.8171052631578948
banking77,0.25,42,trainable,1,2320,1.2532961850566413,1.0008155653313204,1.2532179288219587,1.5127131018899125,1.579968478522912,1.6790442258369995,0.09870689655172414
banking77,0.25,87,frozen,0,760,0.8370787875994627,0.6290760314497016,0.8213451351266107,1.0741828582109438,1.1388688805768374,1.2434313687484215,0.8171052631578948
banking77,0.25,87,frozen,1,2320,1.1623342240397816,0.9819839076710059,1.1652226649397754,1.3417818415534581,1.3805320542676411,1.4861769685262045,0.1206896551724138
banking77,0.25,87,trainable,0,760,0.8354593727906182,0.6075094918470906,0.8108858115903009,1.1175326164746768,1.2102468004224451,1.4151428313870373,0.8131578947368421
banking77,0.25,87,trainable,1,2320,1.2715471227610908,1.0432765902631875,1.2758506836063224,1.508643448240532,1.575375304301212,1.7061531712399938,0.07672413793103448
banking77,0.25,100,frozen,0,760,0.8473180218560215,0.6359578038835524,0.837069055642498,1.0748220956795203,1.1611847924239278,1.3288525286225776,0.825
banking77,0.25,100,frozen,1,2320,1.1810238191369136,0.9858723993151624,1.1780308413628335,1.381370256733632,1.4154130116883203,1.4834721257499874,0.1146551724137931
banking77,0.25,100,trainable,0,760,0.8455528105115507,0.6099706098988762,0.8275575948576287,1.1132595427764533,1.2345130972707437,1.4124374661842924,0.8092105263157895
