dataset,kir,method,oos_f1,f1_all,known_recall,false_accept_rate
banking77,0.25,fixed_k2,0.8577784166123713,0.7109974813224451,0.8189473684210526,0.20327586206896547
banking77,0.25,mogb_minilm,0.9029919725157672,0.5587572321670984,0.3997368421052631,0.01499999999999994
banking77,0.25,mogb_partition_ours_boundary,0.9205598966754222,0.7114966831111289,0.616842105263158,0.0401724137931034
banking77,0.25,ours_partition_mogb_boundary,0.9067732430505278,0.6549065911705718,0.5386842105263158,0.0450862068965517
banking77,0.25,random_partition,0.8500483735063608,0.693146655424499,0.8473684210526315,0.2231034482758621
banking77,0.25,single_centroid,0.8517237093485583,0.6928544335841691,0.8389473684210526,0.21836206896551724
banking77,0.5,fixed_k2,0.7546157036165422,0.7616393362174011,0.8255263157894737,0.2905128205128205
banking77,0.5,mogb_minilm,0.7499368546965275,0.48600815327809965,0.33407894736842103,0.01089743589743584
banking77,0.5,mogb_partition_ours_boundary,0.7939747596576892,0.6480972658162543,0.5218421052631579,0.03499999999999994
banking77,0.5,ours_partition_mogb_boundary,0.7885946611939285,0.656780700176241,0.5325,0.05243589743589738
banking77,0.5,random_partition,0.7162208519261768,0.7472005675171391,0.8596052631578948,0.365
banking77,0.5,single_centroid,0.7242801509490058,0.7451394438761987,0.8501315789473685,0.34846153846153843
banking77,0.75,fixed_k2,0.5931096142882415,0.802629197197889,0.8313793103448276,0.3607894736842105
banking77,0.75,mogb_minilm,0.4763444315858617,0.42392825044969384,0.2876724137931034,0.00763157894736838
banking77,0.75,mogb_partition_ours_boundary,0.5313316683894659,0.5860713489392462,0.45862068965517244,0.040526315789473646
banking77,0.75,ours_partition_mogb_boundary,0.5507101160126237,0.6567440305693095,0.535603448275862,0.08131578947368416
banking77,0.75,random_partition,0.5337882516266328,0.7889339625187208,0.8727586206896552,0.493157894736842
banking77,0.75,single_centroid,0.5366071713978288,0.7821185401081376,0.8641379310344828,0.48
clinc150,0.25,fixed_k2,0.9447183904938934,0.7801346791980823,0.7435087719298246,0.04728070175438592
clinc150,0.25,mogb_minilm,0.9238361040438375,0.5224035964713533,0.37105263157894736,0.006578947368420999
clinc150,0.25,mogb_partition_ours_boundary,0.9413139384002536,0.7016229766010627,0.6017543859649124,0.02236842105263154
clinc150,0.25,ours_partition_mogb_boundary,0.9263775447547195,0.5666949810733997,0.4189473684210526,0.01179824561403504
clinc150,0.25,random_partition,0.9423997495237098,0.7878036270153732,0.7884210526315789,0.06171052631578942
clinc150,0.25,single_centroid,0.9420722511346671,0.7843899282129962,0.7794736842105263,0.06035087719298242
clinc150,0.5,fixed_k2,0.892005798496586,0.8009431390043901,0.7513777777777777,0.06440579710144924
clinc150,0.5,mogb_minilm,0.8131951016346013,0.44953800389890197,0.3157333333333333,0.00904347826086952
clinc150,0.5,mogb_partition_ours_boundary,0.8555543863002324,0.645981713026754,0.5334222222222222,0.02498550724637676
clinc150,0.5,ours_partition_mogb_boundary,0.8332324302971947,0.5640931010016157,0.42239999999999994,0.01686956521739124
clinc150,0.5,random_partition,0.8906911053121688,0.8075070935100765,0.7947555555555555,0.08962318840579706
clinc150,0.5,single_centroid,0.8894333056826393,0.8026933913946113,0.7875555555555556,0.0881739130434782
clinc150,0.75,fixed_k2,0.8150384507030115,0.8143458841089413,0.7580357142857143,0.0732478632478632
clinc150,0.75,mogb_minilm,0.6593154230507091,0.4179709109786164,0.29196428571428573,0.00829059829059824
clinc150,0.75,mogb_partition_ours_boundary,0.7197434059711283,0.5960139307329898,0.4808928571428572,0.018888888888888837
clinc150,0.75,ours_partition_mogb_boundary,0.7004044722488025,0.5692900146575266,0.4284523809523809,0.018803418803418757
clinc150,0.75,random_partition,0.8220513451445486,0.823453472957717,0.8004761904761905,0.10222222222222217
clinc150,0.75,single_centroid,0.8174656812211403,0.8174095805265577,0.7907142857142857,0.101025641025641
stackoverflow,0.25,fixed_k2,0.8666146611474034,0.767990693403829,0.8521333333333333,0.19471111111111106
stackoverflow,0.25,mogb_minilm,0.8944000569448456,0.540703865522772,0.3261333333333333,0.00937777777777774
stackoverflow,0.25,mogb_partition_ours_boundary,0.9259960799998362,0.7345093038010513,0.5910666666666666,0.02031111111111104
stackoverflow,0.25,ours_partition_mogb_boundary,0.9063585472441907,0.6905304844967872,0.5414666666666667,0.04435555555555554
stackoverflow,0.25,random_partition,0.8911014170392451,0.8086454974094963,0.8609333333333333,0.1568444444444444
stackoverflow,0.25,single_centroid,0.8948207530022316,0.8101159547533475,0.8561333333333334,0.14955555555555552
stackoverflow,0.5,fixed_k2,0.6352945072329976,0.7275883031957765,0.8688666666666667,0.4716666666666667
stackoverflow,0.5,mogb_minilm,0.729199427573284,0.43298039378929865,0.2709333333333333,0.00793333333333328
stackoverflow,0.5,mogb_partition_ours_boundary,0.7924706249591658,0.63344181949998,0.5038666666666667,0.01859999999999998
stackoverflow,0.5,ours_partition_mogb_boundary,0.7335218198140271,0.6358695194997168,0.5449333333333334,0.1569333333333333
stackoverflow,0.5,random_partition,0.7587996754762378,0.7980409512231381,0.8764,0.30979999999999996
stackoverflow,0.5,single_centroid,0.7654959559609912,0.7997964624589458,0.8714666666666666,0.29706666666666665
stackoverflow,0.75,fixed_k2,0.43634697678645706,0.7446586353568032,0.8802222222222221,0.6166666666666667
stackoverflow,0.75,mogb_minilm,0.4558840331344417,0.33093232311807846,0.21173333333333327,0.006666666666666619
stackoverflow,0.75,mogb_partition_ours_boundary,0.5156718868278516,0.4958398225235195,0.3906666666666666,0.01799999999999996
stackoverflow,0.75,ours_partition_mogb_boundary,0.48479416104025363,0.6121983148732834,0.5349777777777778,0.2337333333333333
