dataset,kir,seed,oos_f1_trainable,f1_all_trainable,f1_k_trainable,accuracy_trainable,known_recall_trainable,false_accept_rate_trainable,false_reject_rate_trainable,auroc_trainable,aupr_oos_trainable,oos_f1_frozen,f1_all_frozen,f1_k_frozen,accuracy_frozen,known_recall_frozen,false_accept_rate_frozen,false_reject_rate_frozen,auroc_frozen,aupr_oos_frozen,oos_f1_delta,f1_all_delta,f1_k_delta,accuracy_delta,known_recall_delta,false_accept_rate_delta,false_reject_rate_delta,auroc_delta,aupr_oos_delta,method,oos_f1_delta_pp,known_recall_delta_pp,false_accept_delta_pp
banking77,0.25,13,0.9154867256637168,0.7691237472003842,0.7614204325444194,0.8717532467532467,0.8276315789473684,0.10818965517241379,0.1723684210526316,0.9256567604355717,0.968786301571126,0.8895941963273634,,,,0.8302631578947368,0.1543103448275862,0.16973684210526316,0.911461547186933,0.9632987574174235,0.025892529336353443,,,,-0.0026315789473684292,-0.04612068965517242,0.0026315789473684292,0.014195213248638705,0.0054875441537024505,frozen_k1,2.5892529336353443,-0.2631578947368429,-4.612068965517242
banking77,0.25,42,0.9191208791208791,0.7939882940487182,0.7874023685186046,0.8801948051948052,0.8171052631578948,0.09870689655172414,0.18289473684210528,0.9272203947368423,0.96790581565507,0.8845276129621178,,,,0.8368421052631578,0.1646551724137931,0.1631578947368421,0.907635549001815,0.9605283530961284,0.03459326615876135,,,,-0.019736842105263053,-0.06594827586206896,0.019736842105263164,0.01958484573502728,0.007377462558941561,frozen_k1,3.459326615876135,-1.9736842105263053,-6.594827586206896
banking77,0.25,87,0.9304952215464813,0.8149099652712799,0.8088265307304798,0.8954545454545455,0.8131578947368421,0.07672413793103448,0.1868421052631579,0.9331040154264973,0.9722067940438386,0.9068681929317626,,,,0.8171052631578948,0.1206896551724138,0.18289473684210528,0.9185163339382939,0.9660947820999632,0.02362702861471877,,,,-0.003947368421052699,-0.043965517241379315,0.003947368421052616,0.014587681488203441,0.0061120119438753395,frozen_k1,2.362702861471877,-0.39473684210526994,-4.3965517241379315
banking77,0.25,100,0.9308176100628931,0.7976710049892831,0.7906632889327773,0.8918831168831168,0.8092105263157895,0.075,0.19078947368421054,0.9305064655172413,0.9694606522842194,0.9114710450410473,,,,0.825,0.1146551724137931,0.175,0.9159363656987296,0.961606704072764,0.01934656502184584,,,,-0.015789473684210464,-0.0396551724137931,0.015789473684210548,0.01457009981851165,0.007853948211455353,frozen_k1,1.934656502184584,-1.5789473684210464,-3.96551724137931
banking77,0.25,123,0.8867710460630814,0.7498148479796339,0.7426066270278735,0.837012987012987,0.825,0.15775862068965518,0.175,0.8983904264972776,0.9567111504764729,0.866635687732342,,,,0.843421052631579,0.1961206896551724,0.15657894736842104,0.8926145644283121,0.9541436705449695,0.020135358330739428,,,,-0.018421052631579005,-0.03836206896551722,0.01842105263157895,0.0057758620689655205,0.0025674799315034136,frozen_k1,2.013535833073943,-1.8421052631579005,-3.836206896551722
banking77,0.5,13,0.8462021343377275,0.8199086432567366,0.819216709280921,0.8314935064935065,0.8171052631578948,0.1358974358974359,0.18289473684210528,0.911104504048583,0.8997160473749267,0.773972602739726,,,,0.8486842105263158,0.27564102564102566,0.1513157894736842,0.8681954284750337,0.8498182373414507,0.0722295315980015,,,,-0.03157894736842104,-0.13974358974358977,0.03157894736842107,0.04290907557354928,0.04989781003347604,frozen_k1,7.2229531598001495,-3.157894736842104,-13.974358974358978
banking77,0.5,42,0.8414403032217309,0.8168639763258652,0.8162172308812371,0.824025974025974,0.8197368421052631,0.14615384615384616,0.18026315789473685,0.9006448211875844,0.8851886213770147,0.7993366500829188,,,,0.8355263157894737,0.22756410256410256,0.16447368421052633,0.8768286099865048,0.8503524307621577,0.04210365313881215,,,,-0.015789473684210575,-0.0814102564102564,0.01578947368421052,0.023816211201079573,0.03483619061485699,frozen_k1,4.210365313881215,-1.5789473684210575,-8.14102564102564
banking77,0.5,87,0.8554480174836091,0.8324583407388371,0.8318533492455537,0.839935064935065,0.8203947368421053,0.12179487179487179,0.17960526315789474,0.9123578778677464,0.8918112259260201,0.8142344107084558,,,,0.8315789473684211,0.20064102564102565,0.16842105263157894,0.8862580128205129,0.8580995580422193,0.04121360677515329,,,,-0.011184210526315796,-0.07884615384615386,0.011184210526315796,0.026099865047233495,0.03371166788380087,frozen_k1,4.121360677515328,-1.1184210526315796,-7.884615384615386
banking77,0.5,100,0.8259473346178549,0.8064088330915219,0.8058946619987237,0.8107142857142857,0.8236842105263158,0.17564102564102563,0.1763157894736842,0.8979318488529016,0.8847468854188911,0.7850151873101586,,,,0.8421052631578947,0.25448717948717947,0.15789473684210525,0.871411943319838,0.8523515755254054,0.04093214730769623,,,,-0.018421052631578894,-0.07884615384615384,0.01842105263157895,0.026519905533063604,0.03239530989348571,frozen_k1,4.093214730769623,-1.8421052631578894,-7.884615384615384
banking77,0.5,123,0.809165302782324,0.8080381054482829,0.8080084423605449,0.8022727272727272,0.8296052631578947,0.2076923076923077,0.17039473684210527,0.8850476551956815,0.8700534389761899,0.7698686938493434,,,,0.8552631578947368,0.2858974358974359,0.14473684210526316,0.8661192645074224,0.8458697234375155,0.03929660893298059,,,,-0.025657894736842102,-0.07820512820512818,0.025657894736842102,0.018928390688259134,0.024183715538674377,frozen_k1,3.9296608932980592,-2.56578947368421,-7.820512820512818
banking77,0.75,13,0.6601269474899019,0.8297927993746245,0.8327180726829818,0.7824675324675324,0.8271551724137931,0.24736842105263157,0.1728448275862069,0.8678890653357532,0.6486885732336582,0.582798459563543,,,,0.8517241379310345,0.4026315789473684,0.1482758620689655,0.8305365245009074,0.5717198846903272,0.07732848792635882,,,,-0.024568965517241415,-0.15526315789473683,0.024568965517241387,0.03735254083484574,0.07696868854333105,frozen_k1,7.732848792635883,-2.4568965517241415,-15.526315789473683
banking77,0.75,42,0.7272727272727273,0.8465133935600306,0.8485692671167083,0.812012987012987,0.8297413793103449,0.13157894736842105,0.17025862068965517,0.9112760889292197,0.7352194854120246,0.6482504604051565,,,,0.8530172413793103,0.30526315789473685,0.14698275862068966,0.8655024954627948,0.6246403013347436,0.07902226686757075,,,,-0.02327586206896548,-0.1736842105263158,0.023275862068965508,0.045773593466424956,0.11057918407728107,frozen_k1,7.902226686757075,-2.327586206896548,-17.36842105263158
