dataset,mode,ball_id,center_l2,majority_label,purity,radius,sample_count,kir
stackoverflow,official_fixed,0,11.64144257631621,1,1.0,2.2417101860046387,398,0.5
stackoverflow,official_fixed,1,12.451386041162294,4,1.0,1.7365286350250244,521,0.5
stackoverflow,official_fixed,2,11.333675370387516,7,1.0,2.466075897216797,544,0.5
stackoverflow,official_fixed,3,12.084224229859515,8,1.0,2.4238905906677246,519,0.5
stackoverflow,official_fixed,4,11.086722593792851,9,1.0,2.5959155559539795,449,0.5
stackoverflow,official_fixed,5,11.533566489489038,5,1.0,2.381686210632324,406,0.5
stackoverflow,official_fixed,6,12.324684139930662,0,1.0,2.462751865386963,403,0.5
stackoverflow,official_fixed,7,10.214300447864,0,1.0,3.6574227809906006,11,0.5
stackoverflow,official_fixed,8,11.100230315191734,1,1.0,2.8191335201263428,32,0.5
stackoverflow,official_fixed,9,11.144529550941083,2,1.0,2.1381678581237797,18,0.5
stackoverflow,official_fixed,10,11.08860897731689,2,1.0,2.436459541320801,27,0.5
stackoverflow,official_fixed,11,11.772626097579904,3,1.0,1.9321963787078855,517,0.5
stackoverflow,official_fixed,12,10.653782844126626,4,1.0,3.1658315658569336,11,0.5
stackoverflow,official_fixed,13,11.835957905018883,6,1.0,2.2671847343444824,252,0.5
stackoverflow,official_fixed,14,11.265844280678651,6,1.0,3.4598424434661865,29,0.5
stackoverflow,official_fixed,15,9.83372128528202,9,1.0,4.055078506469727,11,0.5
stackoverflow,official_fixed,16,11.390523543484209,5,1.0,2.368513584136963,26,0.5
stackoverflow,official_fixed,17,11.359559632453914,5,1.0,2.160452127456665,11,0.5
stackoverflow,official_fixed,18,11.766104614365895,0,1.0,2.6304547786712646,51,0.5
stackoverflow,official_fixed,19,11.59163703981266,6,1.0,2.260561943054199,183,0.5
stackoverflow,official_fixed,20,7.325812011375992,6,1.0,3.2898941040039062,10,0.5
stackoverflow,official_fixed,21,11.416620989773474,5,1.0,2.07576847076416,15,0.5
stackoverflow,official_fixed,22,11.522294509894046,2,1.0,1.9045261144638064,431,0.5
stackoverflow,official_fixed,23,11.061904734691822,1,1.0,2.8962326049804688,15,0.5
stackoverflow,official_fixed,24,10.469153338319703,2,1.0,3.5590803623199463,22,0.5
