dataset,kir,seed,known_f1,f1_u,f1_all,accuracy,epochs,wait_patient,freeze_bert_parameters,strict_official_reproduction,runtime_repair,result_path
banking,0.5,100,21.3006,69.5771,22.5384,56.3,5.0,3,True,False,True,artifacts/s2c/external/mogb_official_converged_v1/banking77/kir_0.50/seed_100/results/results.csv
banking,0.5,123,14.5293,68.69,15.9181,54.42,5.0,3,True,False,True,artifacts/s2c/external/mogb_official_converged_v1/banking77/kir_0.50/seed_123/results/results.csv
banking,0.5,13,16.8773,68.7205,18.2066,54.71,5.0,3,True,False,True,artifacts/s2c/external/mogb_official_converged_v1/banking77/kir_0.50/seed_13/results/results.csv
banking,0.5,42,16.3184,69.468,17.6812,55.39,5.0,3,True,False,True,artifacts/s2c/external/mogb_official_converged_v1/banking77/kir_0.50/seed_42/results/results.csv
banking,0.5,87,20.8168,69.9661,22.0771,56.62,5.0,3,True,False,True,artifacts/s2c/external/mogb_official_converged_v1/banking77/kir_0.50/seed_87/results/results.csv
stackoverflow,0.5,100,39.8639,72.5564,42.8359,62.37,5.0,3,True,False,True,artifacts/s2c/external/mogb_official_converged_v1/stackoverflow/kir_0.50/seed_100/results/results.csv
stackoverflow,0.5,123,35.1217,71.5217,38.4308,60.58,5.0,3,True,False,True,artifacts/s2c/external/mogb_official_converged_v1/stackoverflow/kir_0.50/seed_123/results/results.csv
stackoverflow,0.5,13,37.2067,71.968,40.3668,61.27,5.0,3,True,False,True,artifacts/s2c/external/mogb_official_converged_v1/stackoverflow/kir_0.50/seed_13/results/results.csv
stackoverflow,0.5,42,37.4249,71.9309,40.5618,61.27,5.0,3,True,False,True,artifacts/s2c/external/mogb_official_converged_v1/stackoverflow/kir_0.50/seed_42/results/results.csv
stackoverflow,0.5,87,38.3409,72.2792,41.4262,61.95,5.0,3,True,False,True,artifacts/s2c/external/mogb_official_converged_v1/stackoverflow/kir_0.50/seed_87/results/results.csv
